anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,1,motorimagery_train_253,0,0.10738235574070507,0.10738235574070507,0.9999999999989999,5.191633618292209,10,0.0007169564566096644,8.885252017823432e-05,1.0654047415600154,0.1740261405351773,-0.024764105677604675,1.0,0.6890361309051514,0.6895644068717957,0.0005282759666442871,0.5123820528388023,0.0005282759666442871,1.0,1.0,1.0,0.9999111514270901,0.9999111514260901,1,1
1,3,motorimagery_train_45,1,0.11819468956414796,0.11819468956414796,0.9999999999989999,5.933630580153005,10,0.0007173874694420674,0.00010799867425877854,1.1269539491289418,0.2276619478206218,-0.014544293284416199,1.0,0.24901655316352844,0.25041472911834717,0.0013981759548187256,0.5072721466422081,0.0013981759548187256,1.0,1.0,1.0,0.9998920071573881,0.9998920071563882,1,1
2,1,motorimagery_train_169,1,0.2557712967862595,0.2557712967862595,0.9999999999989999,4.961788672741905,10,0.0007282066628455678,6.554892295794976e-05,1.2857810044391598,0.5092296137107571,-0.03282681107521057,1.0,0.555833101272583,0.5477780103683472,-0.00805509090423584,0.5164134055376053,0.0,1.0,0.0,0.7,0.9999344532253258,0.6999541172570279,1,1
3,0,motorimagery_train_107,0,0.14613015310190308,0.14613015310190308,0.9999999999989999,5.968356738294744,10,0.0007111586642970539,0.00010553478801076148,1.062042062321963,0.18775636639261295,-0.1409887671470642,1.0,0.6858282089233398,0.6813646554946899,-0.004463553428649902,0.5704943835735321,0.0,1.0,0.0,0.7,0.9998944707805891,0.6999261295457123,1,1
4,3,motorimagery_train_193,0,0.23383652384979473,0.23383652384979473,0.9999999999989999,5.157665047919663,10,0.0007123604861705204,9.523615061553662e-05,1.131809550154209,0.35880205830417816,-0.025780636817216873,1.0,0.5290477275848389,0.5236128568649292,-0.005434870719909668,0.5128903184086084,0.0,1.0,0.0,0.7,0.9999047683842027,0.6999333378682419,1,1
5,1,motorimagery_train_50,1,0.18376124314060474,0.18376124314060474,0.9999999999989999,6.335207484687489,10,0.0007153692845025252,0.00013516310490272157,1.1388539334972017,0.3094729189486135,-0.06277821958065033,1.0,0.5822975635528564,0.5903424024581909,0.008044838905334473,0.5313891097903252,0.008044838905334473,1.0,1.0,1.0,0.9998648460292182,0.9998648460282182,1,1
6,3,motorimagery_train_109,1,0.2194396443505034,0.2194396443505034,0.9999999999989999,5.788561608027553,10,0.0007329189253743175,0.0001353924712974692,1.2007915911267464,0.3834515199130479,0.0038889218121767044,0.0,0.29099640250205994,0.29049718379974365,-0.0004992187023162842,0.49805553909391165,0.0,1.0,0.0,0.7,0.9998646166938496,0.6999052316849946,1,1
7,2,motorimagery_train_143,1,0.12796660329137935,0.12796660329137935,0.9999999999989999,5.581615301777731,10,0.000725099876467454,0.00011572780602497337,1.0715043716821537,0.19523100673841626,-0.13156862556934357,1.0,0.6128350496292114,0.6264950037002563,0.013659954071044922,0.5657843127846718,0.013659954071044922,1.0,1.0,1.0,0.9998842788901793,0.9998842788891793,1,1
8,3,motorimagery_train_195,1,0.15780424193249581,0.15780424193249581,0.9999999999989999,5.429304710853633,10,0.0007286648516960764,0.0001113704367637253,1.0997266276743392,0.26311950770610343,-0.06433434784412384,1.0,0.6703429222106934,0.6656376719474792,-0.004705250263214111,0.5321671739220619,0.0,1.0,0.0,0.7,0.9998886357646932,0.6999220450345852,1,1
9,0,motorimagery_train_218,1,0.1868045537592261,0.1868045537592261,0.9999999999989999,5.9923708472788375,10,0.0007172946952592956,0.0001288451012102966,1.1407174469882377,0.30133999751250223,-0.10771482437849045,1.0,0.43782544136047363,0.47566163539886475,0.03783619403839111,0.5538574121892452,0.03783619403839111,1.0,1.0,1.0,0.9998711631989633,0.9998711631979633,1,1
