anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,2,pendigits_train_4435,5,0.041498969707911115,0.013206513850739681,0.31823715007095377,0.026413027702115836,3,0.0001273431767855152,1.0597950939285101e-07,1.0125963832879734,0.017727206812448226,-0.2839958369731903,1.0,0.00214777747169137,0.0022202618420124054,7.248437032103539e-05,0.6419979184865952,7.248437032103539e-05,1.0,1.0,1.0,0.9999998940204963,0.31823711634433854,1,1
1,1,pendigits_train_4601,6,0.07061630079635683,0.01324335675478744,0.18753965593532526,0.02648671350994996,3,0.00012643757137147704,1.0028849292952512e-07,1.0107561358670123,0.016937957332746296,-0.1795397400856018,1.0,0.0009170464472845197,0.0009369871695525944,1.994072226807475e-05,0.5897698700428009,1.994072226807475e-05,1.0,1.0,1.0,0.9999998997115122,0.18753963712725677,1,1
2,1,pendigits_train_6713,7,0.06294366350501311,0.050611238391717356,0.8040720157261874,0.10122247678504288,3,0.00012299839383334322,1.5122436547550575e-07,1.0303008090762322,0.0570737259075533,-0.2490060031414032,1.0,0.00425539119169116,0.005020507611334324,0.0007651164196431637,0.6245030015707016,0.0007651164196431637,1.0,1.0,1.0,0.999999848775646,0.8040718941309162,1,1
3,1,pendigits_train_1743,8,0.09096880288365922,0.006042573159366235,0.06642467491946762,0.012085146318865321,3,0.00012751562976682466,8.261179757680308e-08,1.0056310947187304,0.008244955876087732,-0.0006357189267873764,1.0,0.0016775233671069145,0.0016774568939581513,-6.647314876317978e-08,0.5003178594633937,0.0,1.0,0.0,0.7,0.9999999173882059,0.04649726860240423,1,1
4,1,pendigits_train_5269,0,0.008368619258836765,0.006591752867710885,0.7876750828093647,0.013183505736997121,3,0.00012752846912020887,9.162949102247861e-08,1.004439132408369,0.006678134719564602,0.11583970487117767,0.0,0.0006458234274759889,0.0006430997746065259,-2.723652869462967e-06,0.44208014756441116,0.0,0.7103413521350478,0.0,0.49723894649453343,0.9999999083705132,0.39166269246826807,1,1
5,0,pendigits_train_360,2,0.037945834742961516,0.010480419552261748,0.2761942021632626,0.020960839105075887,3,0.00012623333097403112,1.0065240237598203e-07,1.0034234721746589,0.010666675769258678,-0.2806412875652313,1.0,0.000285508343949914,0.00028925566584803164,3.7473218981176615e-06,0.6403206437826157,3.7473218981176615e-06,1.0,1.0,1.0,0.9999998993476027,0.27619417436365407,1,1
6,2,pendigits_train_1112,6,0.0642618662427152,0.02841746700370483,0.44221353448317957,0.05683493400829409,3,0.00012525726235539274,2.3367442381160675e-07,1.0168669528599001,0.029869696221066618,-0.3143261671066284,1.0,0.0004518203204497695,0.00046917330473661423,1.735298428684473e-05,0.6571630835533142,1.735298428684473e-05,1.0,1.0,1.0,0.9999997663256035,0.44221343114919875,1,1
7,3,pendigits_train_4881,1,0.02458366879992844,0.018486263789867906,0.7519733502878638,0.036972527581239756,3,0.000128874204829275,2.08756288446283e-07,1.009398085828818,0.01967229045651394,-0.0451369509100914,1.0,0.0007315094117075205,0.0007402980118058622,8.788600098341703e-06,0.5225684754550457,8.788600098341703e-06,1.0,1.0,1.0,0.9999997912437334,0.7519731933087146,1,1
8,3,pendigits_train_1693,5,0.04837087462263435,0.00886738422022286,0.18332073359005682,0.01773476844081236,3,0.0001277393635204655,1.2342613104003415e-07,1.0074771066204449,0.011359058400797484,-0.2752780318260193,1.0,0.021348517388105392,0.022426847368478775,0.0010783299803733826,0.6376390159130096,0.0010783299803733826,1.0,1.0,1.0,0.9999998765738767,0.18332071096348934,1,1
9,3,pendigits_train_5410,3,0.03826155322852301,0.010413152579471587,0.2721570793863756,0.020826305159487486,3,0.0001262744400776565,9.221349172400128e-08,1.0047514661818082,0.011328643751435347,0.045347169041633606,0.0,0.0040906271897256374,0.004063648637384176,-2.697855234146118e-05,0.4773264154791832,0.0,0.4454388651065933,0.0,0.3118072055746153,0.9999999077865126,0.08486053057552834,1,1
10,1,pendigits_train_3329,1,0.08433762030700873,0.03883868072754706,0.46051430649959413,0.07767736145601514,3,0.00012986604551116202,4.843793128865479e-07,1.031448017217202,0.049937954142481825,-0.14143234491348267,1.0,0.00014503645070362836,0.00014986662426963449,4.830173566006124e-06,0.5707161724567413,4.830173566006124e-06,1.0,1.0,1.0,0.9999995156208045,0.46051408343604483,1,1
11,1,pendigits_train_1839,8,0.04493437497172469,0.01577533064066254,0.35107488755709887,0.03155066128202723,3,0.00012663347748768648,1.393224638118468e-07,1.011191830991227,0.016786935029696,-0.27470436692237854,1.0,0.048991356045007706,0.0506538450717926,0.0016624890267848969,0.6373521834611893,0.0016624890267848969,0.9527413048393584,0.9036844290096895,0.9380242420904576,0.999999860677546,0.3293167094365218,1,1
