anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,2,selfregulationscp2_train_104,1,0.06707477879587129,0.06707477879587129,0.9999999999989999,0.4775394453214645,10,0.00024428658440774114,1.0378566234551154e-05,1.034195811494566,0.08023126449831805,-0.29968008399009705,1.0,0.6875348091125488,0.686771035194397,-0.0007637739181518555,0.6498400419950485,0.0,1.0,0.0,0.7,0.9999896214876226,0.6999927350406356,1,1
1,2,selfregulationscp2_train_69,0,0.04444030806581895,0.04444030806581895,0.9999999999989999,0.2506224518059771,10,0.00023559885286764739,1.3040824932505678e-05,1.0289221721148598,0.05768398046424623,-0.1359424591064453,1.0,0.6898783445358276,0.6900210380554199,0.00014269351959228516,0.5679712295532227,0.00014269351959228516,1.0,0.569728700618753,0.8709186101856259,0.9999869592600987,0.8709072527616843,1,1
2,3,selfregulationscp2_train_172,1,0.16726252534938815,0.16726252534938815,0.9999999999989999,0.505184112101323,10,0.00022454984694560677,8.913920020517446e-06,1.0865208832853346,0.19040817307750652,0.017642833292484283,0.0,0.6922565698623657,0.6923058032989502,4.9233436584472656e-05,0.49117858335375786,4.9233436584472656e-05,0.8900116341534305,0.44408602150537635,0.7562339503590143,0.9999910861197084,0.7562272093793521,1,1
3,3,selfregulationscp2_train_75,0,0.10479535805111888,0.10479535805111888,0.9999999999989999,0.4131730295317682,10,0.00023126278440095932,1.2998412384008065e-05,1.0695669596484751,0.12494970757511567,-0.0714523047208786,1.0,0.6928560733795166,0.6929417848587036,8.571147918701172e-05,0.5357261523604393,8.571147918701172e-05,1.0,1.0,1.0,0.9999870016720951,0.999987001671095,1,1
4,1,selfregulationscp2_train_31,0,0.12175558196082399,0.12175558196082399,0.9999999999989999,0.4190233150343563,10,0.0002492046705581271,1.4689571495515624e-05,1.0601524984993496,0.15014219152441868,-0.10949209332466125,1.0,0.6913437247276306,0.6910502910614014,-0.00029343366622924805,0.5547460466623306,0.0,1.0,0.0,0.7,0.9999853105363957,0.6999897173747769,1,1
5,2,selfregulationscp2_train_112,1,0.13018418196293408,0.13018418196293408,0.9999999999989999,0.39693270103571815,10,0.0002394381968420546,1.4438959671438977e-05,1.1149151281203273,0.19064495398031833,-0.04826431721448898,1.0,0.6925753355026245,0.692672848701477,9.751319885253906e-05,0.5241321586072445,9.751319885253906e-05,1.0,1.0,1.0,0.9999855611445699,0.9999855611435698,1,1
6,1,selfregulationscp2_train_97,0,0.04061823694808058,0.04061823694808058,0.9999999999989999,0.47915822874767705,10,0.00024012711251535237,1.0752504411680872e-05,1.0295661308196542,0.05473875986456887,-0.09665074944496155,1.0,0.6879268288612366,0.6880130767822266,8.624792098999023e-05,0.5483253747224808,8.624792098999023e-05,1.0,0.817976257772753,0.9453928773318259,0.9999892475533964,0.9453827120444475,1,1
7,1,selfregulationscp2_train_37,0,0.14095964276617493,0.14095964276617493,0.9999999999989999,0.4854330288986828,10,0.0002484054470181471,9.961238042151025e-06,1.1014464921017313,0.19333005380960125,-0.09108000248670578,1.0,0.6826279759407043,0.6835073828697205,0.0008794069290161133,0.5455400012433529,0.0008794069290161133,1.0,1.0,1.0,0.9999900388115709,0.9999900388105708,1,1
8,1,selfregulationscp2_train_125,1,0.14926219925951617,0.14926219925951617,0.9999999999989999,0.4907560371979394,10,0.0002538990032239663,8.147422851217969e-06,1.061956885992276,0.16909411588071496,-0.07957614958286285,1.0,0.6910736560821533,0.6907685995101929,-0.0003050565719604492,0.5397880747914314,0.0,1.0,0.0,0.7,0.999991852610339,0.6999942968265371,1,1
9,3,selfregulationscp2_train_141,1,0.08096144729986421,0.08096144729986421,0.9999999999989999,0.44111915255366035,10,0.0002439295694159874,8.417708958893618e-06,1.0563011806603628,0.1074477881679079,-0.029783209785819054,1.0,0.6931215524673462,0.693132758140564,1.1205673217773438e-05,0.5148916048929095,1.1205673217773438e-05,0.989020950427309,1.0,0.9923146652991163,0.99999158232647,0.9923063123172323,1,1
