anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,3,uwavegesturelibrary_train_99,6,0.15894351068849774,0.157971535451974,0.9938847755880601,0.31594307090593576,6,0.00014955197280929286,0.00031620818294233056,1.12524276570059,0.18459694733156742,-0.2850677967071533,1.0,1.9218007326126099,1.9336215257644653,0.011820793151855469,0.6425338983535767,0.011820793151855469,1.0,1.0,1.0,0.9996838418055961,0.9935705507719647,1,1
1,3,uwavegesturelibrary_train_43,2,0.13716464060681247,0.13359510938326316,0.9739763017065375,0.2671902187684743,6,0.00016328154341614673,0.00017107598605361953,1.1306141754232668,0.18712404537110258,-0.2462594360113144,1.0,2.0164403915405273,2.0221545696258545,0.0057141780853271484,0.6231297180056572,0.0057141780853271484,1.0,1.0,1.0,0.9998289386466085,0.9738096920021964,1,1
2,0,uwavegesturelibrary_train_83,5,0.0998066786615778,0.0998066786615778,0.9999999999989999,0.5458737257256172,6,0.0001617695204984584,0.0012071434035506629,1.1015742000605513,0.1475384910477022,-0.18425656855106354,1.0,1.8842793703079224,1.8898324966430664,0.005553126335144043,0.5921282842755318,0.005553126335144043,1.0,1.0,1.0,0.9987935849009623,0.9987935848999634,1,1
3,1,uwavegesturelibrary_train_76,5,0.09533831247435377,0.09533831247435377,0.9999999999989999,0.4931028486885391,6,0.0001642504806269187,0.0010216021130134128,1.0668456777432374,0.1262900753923034,-0.13414078950881958,1.0,2.0237579345703125,2.026238441467285,0.0024805068969726562,0.5670703947544098,0.0024805068969726562,1.0,1.0,1.0,0.998978919544768,0.9989789195437689,1,1
4,0,uwavegesturelibrary_train_47,3,0.20438569014189734,0.20438569014189734,0.9999999999989999,0.7956079673027853,6,0.00017289187951847847,0.0013643746383584763,1.1758380163152047,0.2864518409427105,-0.6022177338600159,1.0,1.7575325965881348,1.7922492027282715,0.03471660614013672,0.8011088669300079,0.03471660614013672,1.0,1.0,1.0,0.9986365556975615,0.9986365556965627,1,1
5,2,uwavegesturelibrary_train_110,7,0.06316352951610796,0.06316352951610796,0.9999999999989999,0.47509523946749727,6,0.000159831049607109,0.0010347100045714453,1.0523877979025489,0.08348881749307965,-0.21616537868976593,1.0,1.9531687498092651,1.9544332027435303,0.0012644529342651367,0.608082689344883,0.0012644529342651367,1.0,0.22577212064451588,0.7677316361933547,0.9989658251232422,0.7669376674223444,1,1
6,3,uwavegesturelibrary_train_91,6,0.02783164783793733,0.02783164783793733,0.9999999999989999,0.16117233478181112,6,0.00015423209058139817,0.0004528871961695233,1.022266833194658,0.03488731905650972,-0.03627518564462662,1.0,1.96061110496521,1.9627275466918945,0.0021164417266845703,0.5181375928223133,0.0021164417266845703,0.6437107554705713,1.0,0.7505975288294,0.9995472153417568,0.7502576697830805,1,1
7,1,uwavegesturelibrary_train_62,4,0.0648742532724077,0.0648742532724077,0.9999999999989999,0.5180589601988701,6,0.00015898434155299488,0.0016228759182436916,1.058222706663209,0.09285292012798459,-0.03222072497010231,1.0,1.9121921062469482,1.9138150215148926,0.001622915267944336,0.5161103624850512,0.001622915267944336,0.9660572527773116,0.7522378163332964,0.901911421844107,0.9983784402327999,0.9004489185679658,1,1
8,1,uwavegesturelibrary_train_35,2,0.0602532596981597,0.0602532596981597,0.9999999999989999,0.14205306574168458,6,0.00015638489059054917,0.0003085005163349245,1.0592930659591147,0.08549782025506857,-0.1739562451839447,1.0,1.8612284660339355,1.864750623703003,0.003522157669067383,0.5869781225919724,0.003522157669067383,1.0,1.0,1.0,0.9996915470650564,0.9996915470640566,1,1
9,3,uwavegesturelibrary_train_10,0,0.1462156857969046,0.08058616739035442,0.5511458428763176,0.16117233478181112,6,0.00015803689405597911,0.000496283545184123,1.0792255800787953,0.11505512378409102,-0.1132359579205513,1.0,2.020587921142578,2.0249438285827637,0.004355907440185547,0.5566179789602757,0.004355907440185547,0.9275845773307279,0.8474025974025974,0.9035299833522887,0.9995038395831248,0.4977297178648988,1,1
10,0,uwavegesturelibrary_train_51,3,0.31973963819947976,0.31973963819947976,0.9999999999989999,0.9879770946532713,6,0.00018659855339503282,0.003676960394912673,1.2828524344651286,0.4705983927486392,-0.4373059868812561,1.0,1.6336017847061157,1.677294373512268,0.043692588806152344,0.718652993440628,0.043692588806152344,1.0,1.0,1.0,0.9963297913461304,0.996329791345134,1,1
11,3,uwavegesturelibrary_train_7,0,0.039348329111658246,0.039348329111658246,0.9999999999989999,0.09942527876040824,6,0.0001546565071824081,0.00019530193175598277,1.0370141736773066,0.053827534735612914,-0.027485191822052002,1.0,2.0503320693969727,2.049494504928589,-0.0008375644683837891,0.513742595911026,0.0,1.0,0.0,0.7,0.9998047171384249,0.6998633019961974,1,1
12,1,uwavegesturelibrary_train_44,2,0.21832381871081713,0.14834793867936089,0.6794858186119774,0.2966958773600808,6,0.00016347765559442224,0.0005462984701464686,1.1689571635539246,0.23182809075294378,-0.14038653671741486,1.0,1.976959466934204,1.9831868410110474,0.006227374076843262,0.5701932683587074,0.006227374076843262,1.0,1.0,1.0,0.9994538507236935,0.679114717923882,1,1
13,2,uwavegesturelibrary_train_49,3,0.030333503353952122,0.030333503353952122,0.9999999999989999,0.9373156826812208,6,0.0001570834519221782,0.00279364908760153,1.025299871002241,0.03940638098050285,-0.084592804312706,1.0,1.7985479831695557,1.799365520477295,0.0008175373077392578,0.542296402156353,0.0008175373077392578,0.7564535307466518,1.0,0.8295174715226562,0.9972102495187198,0.8272033247564183,1,1
14,1,uwavegesturelibrary_train_8,0,0.14441858166193747,0.12230302606223431,0.8468648885391028,0.24460605212616235,6,0.00015240539350861053,0.0002988140550909861,1.117330264901213,0.15754225906834093,-0.06626468151807785,1.0,1.9764090776443481,1.9798420667648315,0.0034329891204833984,0.5331323407590389,0.0034329891204833984,1.0,1.0,1.0,0.9997012305853823,0.8466118712120937,1,1
15,0,uwavegesturelibrary_train_31,2,0.07626769125793281,0.07426478943776221,0.9737385282390262,0.1485295788774719,6,0.00015567817074961884,0.0008938370773349803,1.0788699643134503,0.1068694721261273,-0.2959056794643402,1.0,1.9256885051727295,1.9294495582580566,0.0037610530853271484,0.6479528397321701,0.0037610530853271484,0.9452560852734766,0.5463581893118138,0.8255867164849777,0.999106562276031,0.8031873546593653,1,1
16,3,uwavegesturelibrary_train_3,0,0.07802875106870888,0.07802875106870888,0.9999999999989999,0.3187703729575081,6,0.0001560376442200795,0.00018490088599486056,1.077045592387346,0.10755382158211547,-0.34040457010269165,1.0,1.9792941808700562,1.9913781881332397,0.012084007263183594,0.6702022850513458,0.012084007263183594,1.0,1.0,1.0,0.9998151162071205,0.9998151162061206,1,1
17,1,uwavegesturelibrary_train_16,1,0.1088701012969983,0.1088701012969983,0.9999999999989999,0.3335315245521815,6,0.00016586474115759748,0.0002561546144074232,1.070569095823431,0.13614556801090674,0.04064096510410309,0.0,2.054962158203125,2.057255268096924,0.002293109893798828,0.47967951744794846,0.002293109893798828,0.6039635031564144,1.0,0.7227744522094901,0.9997438781903848,0.7225893339081239,1,1
18,2,uwavegesturelibrary_train_32,2,0.20584245599221593,0.20584245599221593,0.9999999999989999,1.2461829687241546,6,0.00016655362945609695,0.000752858186980308,1.2263691856673882,0.30813510810407585,-0.007939852774143219,1.0,1.8349709510803223,1.849748134613037,0.014777183532714844,0.5039699263870716,0.014777183532714844,0.9569614932330913,1.0,0.969873045263164,0.9992474251396386,0.9691431431905875,1,1
19,2,uwavegesturelibrary_train_103,6,0.1075092306357931,0.1075092306357931,0.9999999999989999,0.6514095557768634,6,0.0001537644068345253,0.0009802359098972304,1.1099109268437046,0.14688424736084518,0.008622437715530396,0.0,2.0362911224365234,2.035473346710205,-0.0008177757263183594,0.4956887811422348,0.0,1.0,0.0,0.7,0.9990202443643822,0.6993141710543681,1,1
20,3,uwavegesturelibrary_train_2,0,0.1736730599767674,0.1736730599767674,0.9999999999989999,0.5395629141292108,6,0.00015760754708940878,0.00040140766234336445,1.1872673278648023,0.23938154420111257,-0.3950836658477783,1.0,1.9743459224700928,1.9925050735473633,0.018159151077270508,0.6975418329238892,0.018159151077270508,1.0,1.0,1.0,0.9995986728909338,0.9995986728899342,1,1
21,3,uwavegesturelibrary_train_50,3,0.10292185131769681,0.10292185131769681,0.9999999999989999,0.6220940589404561,6,0.00016412383972293557,0.0016864299804037538,1.0949539826334689,0.15162003712272049,-0.35703736543655396,1.0,1.9843766689300537,1.9887926578521729,0.004415988922119141,0.678518682718277,0.004415988922119141,0.9863317533149416,1.0,0.9904322273204591,0.9983149912435919,0.9887633403438065,1,1
22,3,uwavegesturelibrary_train_61,4,0.14342580420052917,0.14342580420052917,0.9999999999989999,0.4985354439269609,6,0.00016626035906538555,0.002099205563880354,1.1490578460568355,0.22628335306329456,-0.032790470868349075,1.0,1.902235746383667,1.9040119647979736,0.0017762184143066406,0.5163952354341745,0.0017762184143066406,0.9215781711813008,0.5788206044596379,0.818750901164802,0.9979029962271793,0.817033977435242,1,1
23,2,uwavegesturelibrary_train_15,1,0.01767653490032899,0.01767653490032899,0.9999999999989999,0.23728131382010056,6,0.0001540742239709377,0.00018711303260155853,1.0048828993750933,0.01786037009569953,-0.22543233633041382,1.0,2.0636746883392334,2.063988447189331,0.00031375885009765625,0.6127161681652069,0.00031375885009765625,1.0,0.1110642248290995,0.7333192674487298,0.9998129044719501,0.733182066692424,1,1
24,3,uwavegesturelibrary_train_115,7,0.19814113337048891,0.19814113337048891,0.9999999999989999,0.9437039696637195,6,0.00017674113508251617,0.003938928196736978,1.2124740218972123,0.3632708986632501,-0.30795037746429443,1.0,1.8951995372772217,1.904115080833435,0.008915543556213379,0.6539751887321472,0.008915543556213379,1.0,1.0,1.0,0.996068819205441,0.9960688192044448,1,1
25,2,uwavegesturelibrary_train_33,2,0.1136082165909283,0.1136082165909283,0.9999999999989999,0.4610986727592667,6,0.00016288929223660722,0.00029257035701683355,1.1010990178667888,0.15922518283814552,-0.2469751387834549,1.0,1.9410743713378906,1.957403540611267,0.016329169273376465,0.6234875693917274,0.016329169273376465,1.0,1.0,1.0,0.9997074724375166,0.9997074724365168,1,1
26,1,uwavegesturelibrary_train_107,7,0.0808846307589831,0.0808846307589831,0.9999999999989999,0.33976410018613623,6,0.00015499531100331013,0.0004425397358378825,1.085187811839118,0.11513360862667077,-0.24035397171974182,1.0,1.9004167318344116,1.9074465036392212,0.00702977180480957,0.6201769858598709,0.00702977180480957,1.0,0.5097771399920469,0.852933141997614,0.9995575581704281,0.8525557686969135,1,1
27,1,uwavegesturelibrary_train_0,0,0.12559740598255187,0.11864065690910568,0.944610726478449,0.23728131382010056,6,0.0001600800199034331,0.00016794784782017116,1.1237320294622777,0.171223484750506,-0.0534297414124012,1.0,2.0249133110046387,2.0279381275177,0.0030248165130615234,0.5267148707062006,0.0030248165130615234,1.0,1.0,1.0,0.9998320662546302,0.944452094461235,1,1
28,0,uwavegesturelibrary_train_64,4,0.11994079008656978,0.11994079008656978,0.9999999999989999,1.1760905693342698,6,0.00015050563201374957,0.00782843690418767,1.1380152308309515,0.18962734333967382,-0.3153586983680725,1.0,1.9356482028961182,1.9418132305145264,0.006165027618408203,0.6576793491840363,0.006165027618408203,1.0,1.0,1.0,0.9922021255040318,0.9922021255030394,1,1
