dataset,seed,status,algo,model,pipeline,acl_aug_ce_mode,base_f1,act_f1,gain,warmup_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,act_stop_epoch,warmup_stop_epoch,f1_gain_pct,base_best_val_f1,act_best_val_f1,warmup_best_val_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss
articularywordrecognition,1,success,lraes,resnet1d,gcg_acl,selected,0.9866084524171481,0.9768293368467282,-0.009779115570419883,0.9867665551839464,0.00027412992436108417,0.027110897210790495,1.1826126161681056,0.29618901105059087,0.9999999999989999,3.9131129696159497,0.0031698690182317725,0.4875,20,20,10,-0.991184958458091,0.9786666666666668,0.9786666666666668,0.9786666666666668,220,220,880,0.9541366725919481,0.9735148327574747,0.008045089431107044,1.4446580111980438
articularywordrecognition,2,success,lraes,resnet1d,gcg_acl,selected,0.969224877537921,0.9696678567809002,0.0004429792429792023,0.962552413769805,0.00027440548023742873,0.025866036896374615,1.1944545075271977,0.31200625134164395,0.9999999999989999,3.9518871110753726,0.0021400316528425636,0.5034090909090909,20,20,10,0.04570448071865449,0.9649523809523809,0.9649523809523809,0.9626666666666666,220,220,880,0.9560298452828158,0.9747104762654079,0.005303175654262304,1.4269856810569763
articularywordrecognition,3,success,lraes,resnet1d,gcg_acl,selected,0.9702815734989647,0.9773233954451345,0.007041821946169757,0.9703207729468599,0.0002742661944109485,0.02619234256095273,1.1866226436899192,0.30066269401141865,0.9999999999989999,3.9383159926398705,-0.007178571850950406,0.5102272727272728,20,20,10,0.7257502783471125,0.980952380952381,0.9786666666666666,0.9626666666666667,220,220,880,0.9568509713394516,0.9743779617290926,0.007566303014755249,1.393221601843834
atrialfibrillation,1,success,lraes,resnet1d,gcg_acl,selected,0.26406926406926406,0.2074074074074074,-0.05666185666185666,0.32051282051282054,0.0001300630075070886,0.027068364455769513,1.0282001095990856,0.08665044501802525,0.9999999999989999,1.0436398834191232,-0.027025927639139507,0.5416666666666666,20,20,10,-21.45718677422745,0.5555555555555555,0.5555555555555555,0.5555555555555555,12,12,48,0.8488994029771163,0.9737893928062046,0.008477063849568367,1.9482531547546387
atrialfibrillation,2,success,lraes,resnet1d,gcg_acl,selected,0.32051282051282054,0.10822510822510822,-0.21228771228771232,0.16666666666666666,0.00012797879547462438,0.0330714942028984,1.04422300658384,0.10730709603791495,0.9999999999989999,1.0337744319694806,-0.015080470281342665,0.5,20,20,10,-66.23374556883762,0.5555555555555555,0.5555555555555555,0.16666666666666666,12,12,48,0.7640013915880779,0.9680399531569535,0.021388262510299683,1.9524545669555664
atrialfibrillation,3,success,lraes,resnet1d,gcg_acl,selected,0.3333333333333333,0.26406926406926406,-0.06926406926406925,0.24444444444444446,0.00012517377302764622,0.03218694968861726,1.0474206154254098,0.11330617385544688,0.9999999999989999,0.8437962472454096,-0.08061005326453596,0.6041666666666666,20,20,10,-20.779214545456412,0.5555555555555555,1.0,0.5555555555555555,12,12,48,0.827923696920613,0.9686294985597089,0.00998393353074789,1.9475511312484741
basicmotions,1,success,lraes,resnet1d,gcg_acl,selected,1.0,1.0,0.0,0.8593073593073592,0.00022218537816339384,0.007457285452066803,1.1104752561895934,0.18399580028040358,0.9999999999989999,4.414288785911918,-0.02954463195783319,0.515625,20,20,10,0.0,1.0,1.0,0.6666666666666666,32,32,128,0.9550124990889588,0.9927030007723592,0.0005096087115816772,2.7080984115600586
basicmotions,2,success,lraes,resnet1d,gcg_acl,selected,1.0,1.0,0.0,1.0,0.00022208505960712264,0.008750492084581835,1.1146706811351423,0.18561483732703987,0.9999999999989999,4.578642753863139,-0.05759311202564277,0.625,20,20,10,0.0,1.0,1.0,1.0,32,32,128,0.9544017189669924,0.9914770781086077,0.00033862178679555655,2.708083152770996
basicmotions,3,success,lraes,resnet1d,gcg_acl,selected,1.0,1.0,0.0,1.0,0.00022317223611390745,0.00846444213848401,1.1187502891181271,0.19697191497247268,0.9999999999989999,4.5031797822586626,0.012859650309110293,0.484375,20,20,10,0.0,0.8666666666666666,1.0,1.0,32,32,128,0.9581640792044357,0.9917635192087959,0.0004715141258202493,2.7081031799316406
cricket,1,success,lraes,resnet1d,gcg_acl,selected,0.9860139860139862,0.9705128205128205,-0.015501165501165648,0.9575396825396826,0.00022314238787485136,0.013102197907112681,1.137418588111707,0.21097292006235785,0.9999999999989999,2.0181944375652283,-0.0009264564290534446,0.5436046511627907,20,20,10,-1.5721038594722236,1.0,1.0,1.0,86,86,344,0.9420478475841786,0.9871822256327358,0.02930353581905365,1.7422764897346497
