dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1
articularywordrecognition,1,success,,10,10,25,45,220,220,lraes,resnet1d,0.9599653254957602,0.9661837988098858,0.0062184733141256165,0.6477809667899421,17,30,0.9786666666666668,1.0
articularywordrecognition,2,success,,10,10,25,45,220,220,lraes,resnet1d,0.9630880308097699,0.9736425120772947,0.010554481267524785,1.0958998382266967,23,19,1.0,0.9840000000000001
articularywordrecognition,3,success,,10,10,25,45,220,220,lraes,resnet1d,0.9801626701800614,0.9799630089717047,-0.00019966120835668288,-0.020370209360227386,30,30,0.9786666666666666,1.0
atrialfibrillation,1,success,,10,9,3,3,12,12,lraes,resnet1d,0.20833333333333334,0.15584415584415584,-0.0524891774891775,-25.194793101304512,25,18,1.0,0.2222222222222222
atrialfibrillation,2,success,,10,9,3,3,12,12,lraes,resnet1d,0.32051282051282054,0.32051282051282054,0.0,0.0,15,27,0.5555555555555555,0.5555555555555555
atrialfibrillation,3,success,,10,9,3,3,12,12,lraes,resnet1d,0.16666666666666666,0.26406926406926406,0.09740259740259741,58.44152337664442,13,29,0.5555555555555555,0.5555555555555555
basicmotions,1,success,,10,10,4,21,32,32,lraes,resnet1d,1.0,1.0,0.0,0.0,30,30,1.0,1.0
basicmotions,2,success,,10,10,4,21,32,32,lraes,resnet1d,1.0,1.0,0.0,0.0,30,30,1.0,1.0
basicmotions,3,success,,10,10,4,21,32,32,lraes,resnet1d,0.974937343358396,1.0,0.02506265664160401,2.570693823725749,16,30,1.0,1.0
cricket,1,success,,10,10,12,21,86,86,lraes,resnet1d,0.9721250971250971,0.9860139860139862,0.013888888888889062,1.4287140102903622,20,30,1.0,1.0
cricket,2,success,,10,10,12,21,86,86,lraes,resnet1d,0.9860139860139859,0.9720279720279721,-0.013986013986013845,-1.4184395724561145,30,30,1.0,1.0
cricket,3,success,,10,10,12,21,86,86,lraes,resnet1d,0.9860139860139859,0.9860139860139859,0.0,0.0,30,30,1.0,1.0
epilepsy,1,success,,10,10,4,6,109,109,lraes,resnet1d,0.9576709062003179,0.9353117230348114,-0.022359183165506558,-2.3347457551439796,30,30,1.0,0.9666666666666667
epilepsy,2,success,,10,10,4,6,109,109,lraes,resnet1d,0.9707501241927472,0.9567195281436176,-0.014030596049129596,-1.445335339561431,30,21,1.0,1.0
epilepsy,3,success,,10,10,4,6,109,109,lraes,resnet1d,0.9858903020667726,0.9575358851674641,-0.02835441689930851,-2.876021192605962,30,30,1.0,1.0
ering,1,success,,10,10,6,10,24,24,lraes,resnet1d,0.8344489278619783,0.861800710383449,0.027351782521470636,3.277825440284982,30,30,0.5555555555555555,0.5555555555555555
ering,2,success,,10,10,6,10,24,24,lraes,resnet1d,0.8314800650261813,0.8628512900009934,0.03137122497481204,3.7729372622886608,30,30,0.7777777777777778,0.7777777777777778
ering,3,success,,10,10,6,10,24,24,lraes,resnet1d,0.8334914020870358,0.832853380617561,-0.000638021469474781,-0.07654804732588105,30,30,0.5555555555555555,0.5555555555555555
