dataset,seed,base_f1_mba_core_lraes,base_f1_mba_feedback_lraes,base_f1_rc4_osf,baseline_span,baseline_drift_tol,baseline_drift_flag
articularywordrecognition,1,,,,0.0,0.0001,False
articularywordrecognition,2,,,,0.0,0.0001,False
articularywordrecognition,3,,,,0.0,0.0001,False
atrialfibrillation,1,,,,0.0,0.0001,False
atrialfibrillation,2,,,,0.0,0.0001,False
atrialfibrillation,3,,,,0.0,0.0001,False
basicmotions,1,,,,0.0,0.0001,False
basicmotions,2,,,,0.0,0.0001,False
basicmotions,3,,,,0.0,0.0001,False
epilepsy,1,,,,0.0,0.0001,False
epilepsy,2,,,,0.0,0.0001,False
epilepsy,3,,,,0.0,0.0001,False
ering,1,,,,0.0,0.0001,False
ering,2,,,,0.0,0.0001,False
ering,3,,,,0.0,0.0001,False
ethanolconcentration,1,,,,0.0,0.0001,False
ethanolconcentration,2,,,,0.0,0.0001,False
ethanolconcentration,3,,,,0.0,0.0001,False
fingermovements,1,,,,0.0,0.0001,False
fingermovements,2,,,,0.0,0.0001,False
fingermovements,3,,,,0.0,0.0001,False
handmovementdirection,1,,,,0.0,0.0001,False
handmovementdirection,2,,,,0.0,0.0001,False
handmovementdirection,3,,,,0.0,0.0001,False
handwriting,1,,,,0.0,0.0001,False
handwriting,2,,,,0.0,0.0001,False
handwriting,3,,,,0.0,0.0001,False
har,1,,,,0.0,0.0001,False
har,2,,,,0.0,0.0001,False
har,3,,,,0.0,0.0001,False
heartbeat,1,,,,0.0,0.0001,False
heartbeat,2,,,,0.0,0.0001,False
heartbeat,3,,,,0.0,0.0001,False
japanesevowels,1,,,,0.0,0.0001,False
japanesevowels,2,,,,0.0,0.0001,False
japanesevowels,3,,,,0.0,0.0001,False
libras,1,,,,0.0,0.0001,False
libras,2,,,,0.0,0.0001,False
libras,3,,,,0.0,0.0001,False
motorimagery,1,,,,0.0,0.0001,False
motorimagery,2,,,,0.0,0.0001,False
motorimagery,3,,,,0.0,0.0001,False
natops,1,,,,0.0,0.0001,False
natops,2,,,,0.0,0.0001,False
natops,3,,,,0.0,0.0001,False
pendigits,1,,,,0.0,0.0001,False
pendigits,2,,,,0.0,0.0001,False
pendigits,3,,,,0.0,0.0001,False
racketsports,1,,,,0.0,0.0001,False
racketsports,2,,,,0.0,0.0001,False
racketsports,3,,,,0.0,0.0001,False
selfregulationscp2,1,,,,0.0,0.0001,False
selfregulationscp2,2,,,,0.0,0.0001,False
selfregulationscp2,3,,,,0.0,0.0001,False
uwavegesturelibrary,1,,,,0.0,0.0001,False
uwavegesturelibrary,2,,,,0.0,0.0001,False
uwavegesturelibrary,3,,,,0.0,0.0001,False
