dataset,regime,tie_eps,best_arm,mba_core_rc4_fused_concat_minus_mba_core_lraes,mba_core_rc4_fused_concat_minus_rc4_osf,mba_feedback_lraes_minus_mba_core_lraes,rc4_osf_minus_mba_feedback_lraes
articularywordrecognition,saturated_or_near_tie,0.005,mba_core_rc4_fused_concat,0.0021274577274578155,0.023507079072296544,-0.009055412220629666,-0.012324209124209062
atrialfibrillation,feedback_beneficial_pathological,0.005,mba_feedback_lraes,0.0732804232804233,-0.006476856476856474,0.07975727975727978,0.0
basicmotions,saturated_or_near_tie,0.005,baseline_ce,0.0,0.0,0.0,0.0
epilepsy,saturated_or_near_tie,0.005,mba_core_lraes,-0.002403067471735687,0.0026251072786539487,-0.002385311950720004,-0.002642862799669632
ering,rc4_fused_dominant,0.005,mba_core_rc4_fused_concat,0.08893868965864271,0.10250322111249432,-0.007195424209176515,-0.0063691072446750985
ethanolconcentration,feedback_beneficial_pathological,0.005,baseline_ce,-0.008477015532714322,-0.013607944943150124,0.01266904220010645,-0.007538112789670648
fingermovements,rc4_fused_dominant,0.005,mba_core_rc4_fused_concat,0.017277820183388748,0.013583056909830749,-0.01393174721186613,0.01762651048542413
handmovementdirection,rc4_fused_dominant,0.005,mba_core_rc4_fused_concat,0.04922248288121883,0.11752264734966655,-0.09210158766380522,0.023801423195357496
handwriting,lraes_core_dominant,0.005,mba_core_lraes,-0.02178525620804117,0.05204776140495626,-0.0764604584242854,0.002627440811287962
har,saturated_or_near_tie,0.005,mba_core_lraes,-0.0008792249391658125,0.01911079147020167,-0.017318212752803763,-0.0026718036565637204
heartbeat,rc4_fused_dominant,0.005,baseline_ce,0.010975108009647072,0.02513775219788572,-0.014376784726168435,0.0002141405379297856
japanesevowels,lraes_core_dominant,0.005,mba_core_lraes,-0.015370924893604032,-0.006809486387271746,-0.005969714426516393,-0.0025917240798158936
libras,rc4_fused_dominant,0.005,mba_core_rc4_fused_concat,0.006475204881002061,0.02475328424215384,-0.050904880711070466,0.03262680134991869
motorimagery,feedback_beneficial_pathological,0.005,rc4_osf,0.008336888742516424,-0.016963647280824445,0.008989109935121087,0.016311426088219783
natops,saturated_or_near_tie,0.005,mba_core_lraes,-0.0015828778783396613,0.008316987717245206,-0.009103088957399197,-0.00079677663818567
pendigits,saturated_or_near_tie,0.005,mba_feedback_lraes,-0.0008080890129482654,0.005097179077241609,0.0016791062321103167,-0.007584374322300191
racketsports,lraes_core_dominant,0.005,mba_core_lraes,-0.02691639335416074,-0.007259185997555928,-0.014795026557062774,-0.004862180799542037
selfregulationscp2,rc4_fused_dominant,0.005,mba_core_rc4_fused_concat,0.045538036297714024,0.015438376331956494,7.201616629343155e-05,0.0300276437994641
uwavegesturelibrary,rc4_fused_dominant,0.005,mba_core_rc4_fused_concat,0.0051060362312665974,0.03420485388264505,-0.012619681677131012,-0.01647913597424744
