dataset,baseline_ce,mba_core_lraes,mba_core_rc4_fused_concat,mba_core_spectral_osf_concat,mba_feedback_lraes,rc4_osf,spectral_vs_mba_core_lraes,spectral_vs_rc4_osf,spectral_vs_rc4_fused
articularywordrecognition,0.9631069387938952,0.9822884046710133,0.9844158623984711,,0.9732329924503836,0.9609087833261746,,,
atrialfibrillation,0.23454323454323447,0.1706589706589706,0.2439393939393939,0.31986531986531985,0.2504162504162504,0.2504162504162504,0.14920634920634926,0.06944906944906948,0.07592592592592595
basicmotions,1.0,1.0,1.0,,1.0,1.0,,,
cricket,0.9906759906759909,0.9813843563843565,,,0.9766899766899767,0.9813519813519814,,,
epilepsy,0.9584462387451697,0.978540586312359,0.9761375188406233,,0.976155274361639,0.9735124115619693,,,
ering,0.7469214078445964,0.7450199977352021,0.8339586873938448,0.8266896444022085,0.7378245735260256,0.7314554662813505,0.08166964666700638,0.09523417812085799,-0.007269042991636332
ethanolconcentration,0.27915369510542803,0.25292335102659563,0.2444463354938813,,0.2655923932267021,0.25805428043703144,,,
fingermovements,0.4806203341936231,0.5059496248012548,0.5232274449846436,,0.4920178775893887,0.5096443880748128,,,
handmovementdirection,0.20969127456801662,0.2951664327545012,0.34438891563572005,0.27834179583215346,0.203064845090696,0.2268662682860535,-0.016824636922347758,0.051475527546099964,-0.06604711980356659
handwriting,0.40010001768777625,0.4666066839969773,0.44482142778893613,0.4343263638899067,0.3901462255726919,0.39277366638397987,-0.032280320107070604,0.04155269750592683,-0.010495063899029433
har,0.9348949434714856,0.9524599756167369,0.9515807506775711,,0.9351417628639331,0.9324699592073694,,,
heartbeat,0.6530270182885037,0.6295510260623881,0.6405261340720352,,0.6151742413362197,0.6153883818741495,,,
japanesevowels,0.9661509590323788,0.9869551751517734,0.9715842502581694,0.9770227826077825,0.980985460725257,0.9783937366454412,-0.00993239254399092,-0.0013709540376586338,0.005438532349613112
libras,0.5604970086490186,0.9043082895103551,0.9107834943913572,,0.8534034087992847,0.8860302101492034,,,
motorimagery,0.436153208624094,0.43632710335615266,0.4446639920986691,,0.44531621329127374,0.4616276393794935,,,
natops,0.9216425322831762,0.9661931507992642,0.9646102729209245,0.9406715372667668,0.957090061841865,0.9562932852036793,-0.025521613532497378,-0.015621747936912511,-0.023938735654157717
pendigits,0.9830244122278083,0.9874479498101292,0.9866398607971809,,0.9891270560422395,0.9815426817199393,,,
racketsports,0.8696074996720241,0.8882678810488659,0.8613514876947052,0.865219238094054,0.8734728544918031,0.8686106736922611,-0.023048642954811904,-0.003391435598207093,0.003867750399348835
selfregulationscp2,0.45074054270119185,0.4639236200975001,0.5094616563952141,,0.46399563626379353,0.49402328006325763,,,
uwavegesturelibrary,0.7093520964994626,0.7705063103845049,0.7756123466157715,,0.7578866287073739,0.7414074927331264,,,
