anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight,margin_aug,feedback_weight
0,0,atrialfibrillation_train_1,0,0.06162205893989584,0.06162205893989584,0.24999999999898576,0.4929764715196597,6,1.0,0,small,0.25,0.2464882408344944,0.0616220602086236,0,0.0001275689791519827,0.027440742441641942,1.0719204046115531,0.0979835063854113,-0.04324454814195633,1.0,0.04953553155064583,0.045604147017002106,-0.0039313845336437225,-6.0652570724487305,0.002316781086847186,-6.0652570724487305,0.002316781086847186
0,1,atrialfibrillation_train_1,0,0.12324411787979168,0.12324411787979168,0.4999999999979715,0.4929764715196597,6,1.0,0,mid,0.5,0.2464882408344944,0.1232441204172472,1,0.00012949247796197971,0.027538691794401618,1.148924092453434,0.1956468545698764,-0.03923289477825165,1.0,0.04953553155064583,0.0421651192009449,-0.007370412349700928,-6.097075939178467,0.0022443870548158884,-6.097075939178467,0.0022443870548158884
0,2,atrialfibrillation_train_1,0,0.22183941218362502,0.22183941218362502,0.8999999999963487,0.4929764715196597,6,1.0,0,edge,0.9,0.2464882408344944,0.22183941675104496,2,0.00013580125146613606,0.027646525185881864,1.283506320817529,0.3532111033109505,-0.032685864716768265,1.0,0.04953553155064583,0.03737884759902954,-0.012156683951616287,-6.136661529541016,0.0021574650891125202,-6.136661529541016,0.0021574650891125202
1,0,atrialfibrillation_train_14,2,0.17152206185517782,0.17152206185517782,0.24999999999963562,1.3721764948427948,5,1.0,1,small,0.25,0.6860882668363445,0.17152206670908612,3,0.0001338384356403043,0.12015315593205418,1.1874229914332648,0.24883848639804182,0.08278226852416992,0.0,0.01616203784942627,0.013885637745261192,-0.002276400104165077,6.574344158172607,0.998606264591217,6.574344158172607,0.998606264591217
1,1,atrialfibrillation_train_14,2,0.34304412371035564,0.34304412371035564,0.49999999999927125,1.3721764948427948,5,1.0,1,mid,0.5,0.6860882668363445,0.34304413341817225,4,0.00015041977955672093,0.11704172818462961,1.411245206647884,0.5187933580404545,0.0779593214392662,0.0,0.01616203784942627,0.012606443837285042,-0.0035555940121412277,6.681549549102783,0.998747706413269,6.681549549102783,0.998747706413269
1,2,atrialfibrillation_train_14,2,0.6174794226786401,0.6174794226786401,0.8999999999986883,1.3721764948427948,5,1.0,1,edge,0.9,0.6860882668363445,0.6174794401527101,5,0.0001962386540024455,0.1110521987720515,1.8615319404284245,1.0271623661425815,0.0707564502954483,0.0,0.01616203784942627,0.01250782236456871,-0.003654215484857559,6.668156147003174,0.9987308382987976,6.668156147003174,0.9987308382987976
2,0,atrialfibrillation_train_0,0,0.06278900497678656,0.06278900497678656,0.24999999999900463,0.5023120398147947,1,1.0,2,small,0.25,0.2511560233836816,0.0627890058459204,6,0.00013431027001795028,0.024256930375701997,1.0074230324908353,0.06480072075052744,0.09853030741214752,0.0,0.03131766617298126,0.03415903449058533,0.002841368317604065,-5.827702522277832,0.0029361883644014597,-5.827702522277832,0.0029361883644014597
2,1,atrialfibrillation_train_0,0,0.12557800995357313,0.12557800995357313,0.49999999999800926,0.5023120398147947,1,1.0,2,mid,0.5,0.2511560233836816,0.1255780116918408,7,0.00014167996400957718,0.024474362464267214,1.0149120671546081,0.13270018590217827,0.09849813580513,0.0,0.03131766617298126,0.03750958293676376,0.006191916763782501,-5.684671401977539,0.003386144293472171,-5.684671401977539,0.003386144293472171
2,2,atrialfibrillation_train_0,0,0.2260404179164316,0.2260404179164316,0.8999999999964167,0.5023120398147947,1,1.0,2,edge,0.9,0.2511560233836816,0.22604042104531344,8,0.0001542182156415375,0.02480314155861859,1.027012027309874,0.24817203517502304,0.09844594448804855,0.0,0.03131766617298126,0.044160790741443634,0.012843124568462372,-5.440615653991699,0.004318085499107838,-5.440615653991699,0.004318085499107838
3,0,atrialfibrillation_train_2,0,0.1440862128317739,0.1440862128317739,0.24999999999956624,1.1526897026553438,3,1.0,3,small,0.25,0.5763448587120009,0.14408621467800023,9,0.0001351191469202879,0.005368898267759207,1.1699939105552406,0.23341416692841202,0.047834351658821106,0.0,0.28456658124923706,0.249506875872612,-0.03505970537662506,2.84024715423584,0.9448123574256897,2.84024715423584,0.9448123574256897
3,1,atrialfibrillation_train_2,0,0.2881724256635478,0.2881724256635478,0.49999999999913247,1.1526897026553438,3,1.0,3,mid,0.5,0.5763448587120009,0.28817242935600046,10,0.0001516906419006226,0.005287267809288926,1.3691690121361852,0.49230678306181785,0.04695197194814682,0.0,0.28456658124923706,0.22717152535915375,-0.05739505589008331,3.002087116241455,0.9526683688163757,3.002087116241455,0.9526683688163757
3,2,atrialfibrillation_train_2,0,0.518710366194386,0.518710366194386,0.8999999999984384,1.1526897026553438,3,1.0,3,edge,0.9,0.5763448587120009,0.5187103728408008,11,0.000195835899389642,0.00511301608543782,1.7604207387808881,0.9863471971527251,0.045605920255184174,0.0,0.28456658124923706,0.22390201687812805,-0.06066456437110901,3.0541443824768066,0.9549611806869507,3.0541443824768066,0.9549611806869507
4,0,atrialfibrillation_train_12,2,0.14908549427620577,0.14908549427620577,0.24999999999958078,1.1926839542108387,5,1.0,4,small,0.25,0.5963419939807236,0.1490854984951809,12,0.00013080546849305433,0.002156443376012624,1.1229779181519632,0.1669304612847533,0.019232504069805145,0.0,0.33750468492507935,0.34466224908828735,0.007157564163208008,2.821315288543701,0.9438168406486511,2.821315288543701,0.9438168406486511
4,1,atrialfibrillation_train_12,2,0.29817098855241153,0.29817098855241153,0.49999999999916156,1.1926839542108387,5,1.0,4,mid,0.5,0.5963419939807236,0.2981709969903618,13,0.00013895781812772056,0.0021078664099313917,1.261093068092195,0.34156295935205383,0.020687062293291092,0.0,0.33750468492507935,0.39313000440597534,0.055625319480895996,2.7836687564849854,0.9417868852615356,2.7836687564849854,0.9417868852615356
4,2,atrialfibrillation_train_12,2,0.5367077793943408,0.5367077793943408,0.8999999999984909,1.1926839542108387,5,1.0,4,edge,0.9,0.5963419939807236,0.5367077945826513,14,0.00016116261625303784,0.002016800206485024,1.5182666389707575,0.6470627734330056,0.022886166349053383,0.0,0.33750468492507935,0.5708593130111694,0.2333546280860901,2.023625135421753,0.8832553625106812,2.023625135421753,0.8832553625106812
5,0,atrialfibrillation_train_7,1,0.10876184980902613,0.10876184980902613,0.24999999999942538,0.8700947984730791,6,-1.0,5,small,0.25,0.4350474081932332,0.1087618520483083,15,0.00013293859774963249,0.0283052274979872,1.1795963749411011,0.23778549653055828,-0.039725642651319504,1.0,0.7466076016426086,0.7458053231239319,-0.0008022785186767578,-0.10528600215911865,0.4737028181552887,-0.10528600215911865,0.4737028181552887
5,1,atrialfibrillation_train_7,1,0.21752369961805226,0.21752369961805226,0.49999999999885075,0.8700947984730791,6,-1.0,5,mid,0.5,0.4350474081932332,0.2175237040966166,16,0.00014770832172529525,0.02805640456349269,1.391534764846805,0.491251146894267,-0.03679895028471947,1.0,0.7466076016426086,0.7433834075927734,-0.003224194049835205,-0.18190932273864746,0.4546476900577545,-0.18190932273864746,0.4546476900577545
5,2,atrialfibrillation_train_7,1,0.39154265931249405,0.39154265931249405,0.8999999999979313,0.8700947984730791,6,-1.0,5,edge,0.9,0.4350474081932332,0.39154266737390986,17,0.00018833838706385555,0.02751923862865947,1.8100623366510773,0.9554545493921724,-0.032279811799526215,1.0,0.7466076016426086,0.7466007471084595,-6.854534149169922e-06,-0.12131226062774658,0.4697090983390808,-0.12131226062774658,0.4697090983390808
6,0,atrialfibrillation_train_11,2,0.07573257374964625,0.07573257374964625,0.24999999999917474,0.6058605899977758,2,-1.0,6,small,0.25,0.30293029232598945,0.07573257308149736,18,0.00011963020565865992,0.013561671743396739,1.0245747557029647,0.0772602793363065,-0.09886398166418076,1.0,0.17546606063842773,0.1581079363822937,-0.017358124256134033,-3.3340978622436523,0.03441977873444557,-3.3340978622436523,0.03441977873444557
6,1,atrialfibrillation_train_11,2,0.1514651474992925,0.1514651474992925,0.4999999999983495,0.6058605899977758,2,-1.0,6,mid,0.5,0.30293029232598945,0.15146514616299472,19,0.00011254536117573236,0.013361247291526485,1.0497644327223679,0.14932987386325994,-0.09856951981782913,1.0,0.17546606063842773,0.1422768086194992,-0.03318925201892853,-3.4790024757385254,0.029915617778897285,-3.4790024757385254,0.029915617778897285
6,2,atrialfibrillation_train_11,2,0.2726372654987265,0.2726372654987265,0.8999999999970292,0.6058605899977758,2,-1.0,6,edge,0.9,0.30293029232598945,0.27263726309339054,20,0.00010227650375648236,0.01301163839513822,1.0913615879949496,0.25477837369108475,-0.09809835255146027,1.0,0.17546606063842773,0.12026623636484146,-0.05519982427358627,-3.7059381008148193,0.023987604305148125,-3.7059381008148193,0.023987604305148125
7,0,atrialfibrillation_train_5,1,0.061622058939895835,0.061622058939895835,0.24999999999898576,0.4929764715196597,3,-1.0,7,small,0.25,0.24648823891792213,0.06162205972948053,21,0.00012681105788832464,0.03655111118160205,1.0800708732564428,0.10841674471431732,-0.07923147827386856,1.0,0.40772736072540283,0.43474918603897095,0.027021825313568115,1.7726600170135498,0.8547881245613098,1.7726600170135498,0.8547881245613098
7,1,atrialfibrillation_train_5,1,0.12324411787979167,0.12324411787979167,0.4999999999979715,0.4929764715196597,3,-1.0,7,mid,0.5,0.24648823891792213,0.12324411945896106,22,0.0001283254850235163,0.036524850209581926,1.1664173904857171,0.21467864019848454,-0.07846192270517349,1.0,0.40772736072540283,0.4606197774410248,0.05289241671562195,1.660995364189148,0.8403716087341309,1.660995364189148,0.8403716087341309
7,2,atrialfibrillation_train_5,1,0.22183941218362502,0.22183941218362502,0.8999999999963487,0.4929764715196597,3,-1.0,7,edge,0.9,0.24648823891792213,0.22183941502612992,23,0.0001345531136787483,0.036422746231551055,1.3186605431144967,0.3828219438917476,-0.07719133794307709,1.0,0.40772736072540283,0.49997571110725403,0.0922483503818512,1.4939271211624146,0.8166669607162476,1.4939271211624146,0.8166669607162476
8,0,atrialfibrillation_train_4,0,0.06617624773535143,0.06617624773535143,0.24999999999905556,0.529409981883341,2,-1.0,8,small,0.25,0.26470498860605207,0.06617624715151302,24,0.00012057746736740504,0.01768372276845957,1.023325000359425,0.06884536980019396,-0.157502681016922,1.0,0.9177049398422241,0.8895002007484436,-0.028204739093780518,-1.3579152822494507,0.20457933843135834,-1.3579152822494507,0.20457933843135834
