anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight,margin_aug,feedback_weight
0,0,natops_train_114,4,0.24999999963819822,0.24999999963819822,0.24999999999974998,5.498864345987586,6,-1.0,0,small,0.25,1.0,0.25,0,0.00045991989937565515,1.1164513428311436,1.7285226333759522,1.0147497534100973,-0.19584597647190094,1.0,0.22660808265209198,0.2658572196960449,0.03924913704395294,3.5564825534820557,0.9722528457641602,3.5564825534820557,0.9722528457641602
0,1,natops_train_114,4,0.49999999927639643,0.49999999927639643,0.49999999999949996,5.498864345987586,6,-1.0,0,mid,0.5,1.0,0.5,1,0.0005342228194053042,1.111621899895412,2.8785820313265,2.287295209310784,-0.1949792206287384,1.0,0.22660808265209198,0.31080207228660583,0.08419398963451385,3.312300205230713,0.9648483991622925,3.312300205230713,0.9648483991622925
0,2,natops_train_114,4,0.8999999986975136,0.8999999986975136,0.8999999999991,5.498864345987586,6,-1.0,0,edge,0.9,1.0,0.9,2,0.0007989241630379258,1.1026292428524354,5.819119753326384,5.3135175263938415,-0.19331881403923035,1.0,0.22660808265209198,0.3975073993206024,0.17089931666851044,2.912071704864502,0.9484399557113647,2.912071704864502,0.9484399557113647
1,0,natops_train_31,4,0.2500000011099728,0.2500000011099728,0.24999999999974998,6.548500007556777,9,-1.0,1,small,0.25,1.0,0.25,3,0.00046099128923863245,1.055580404504874,1.6973734389925084,0.9779098837361295,-0.016272781416773796,1.0,0.4471091330051422,0.4540786147117615,0.006969481706619263,2.823676347732544,0.9439419507980347,2.823676347732544,0.9439419507980347
1,1,natops_train_31,4,0.5000000022199456,0.5000000022199456,0.49999999999949996,6.548500007556777,9,-1.0,1,mid,0.5,1.0,0.5,4,0.0005304995311424177,1.054822694854469,2.79054149150581,2.1645243739158246,-0.013693958520889282,1.0,0.4471091330051422,0.4608018398284912,0.013692706823348999,2.8459789752960205,0.9451104998588562,2.8459789752960205,0.9451104998588562
1,2,natops_train_31,4,0.9000000039959022,0.9000000039959022,0.8999999999991,6.548500007556777,9,-1.0,1,edge,0.9,1.0,0.9,5,0.0007660914962198707,1.0524381943319228,5.585839155266943,4.891285982581024,-0.0094684399664402,1.0,0.4471091330051422,0.47120606899261475,0.024096935987472534,2.879551410675049,0.9468262791633606,2.879551410675049,0.9468262791633606
2,0,natops_train_157,4,0.2500000004675457,0.2500000004675457,0.24999999999974998,6.51330044996916,7,-1.0,2,small,0.25,1.0,0.25,6,0.0004528618869221359,1.3253732756207253,1.4556852756968308,0.7416655878844949,0.12554344534873962,0.0,0.2015405297279358,0.188676118850708,-0.012864410877227783,4.186034202575684,0.9850212931632996,4.186034202575684,0.9850212931632996
2,1,natops_train_157,4,0.5000000009350914,0.5000000009350914,0.49999999999949996,6.51330044996916,7,-1.0,2,mid,0.5,1.0,0.5,7,0.0004933673016568257,1.319483094822727,2.103315465615797,1.5833265003625798,0.12673993408679962,0.0,0.2015405297279358,0.1767972707748413,-0.024743258953094482,4.232187271118164,0.9856871962547302,4.232187271118164,0.9856871962547302
2,2,natops_train_157,4,0.9000000016831647,0.9000000016831647,0.8999999999991,6.51330044996916,7,-1.0,2,edge,0.9,1.0,0.9,8,0.0006291688662923527,1.308299598900707,3.652681572964704,3.3582291445755157,0.128526970744133,0.0,0.2015405297279358,0.1588822305202484,-0.04265829920768738,4.310644149780273,0.986752986907959,4.310644149780273,0.986752986907959
3,0,natops_train_130,0,0.25000000113260706,0.25000000113260706,0.24999999999974998,5.884451315127277,2,1.0,3,small,0.25,1.0,0.25,9,0.0004491196992949186,3.6772985081624867,1.5526519654726012,0.7300061471406981,-0.03426612913608551,1.0,0.0002026231086347252,0.0002096705575240776,7.047448889352381e-06,11.545215606689453,0.9999903440475464,11.545215606689453,0.9999903440475464
3,1,natops_train_130,0,0.5000000022652141,0.5000000022652141,0.49999999999949996,5.884451315127277,2,1.0,3,mid,0.5,1.0,0.5,10,0.00048560952625081063,3.680315825001612,2.3504980094929495,1.5769007616217565,-0.03441919758915901,1.0,0.0002026231086347252,0.00021668337285518646,1.406026422046125e-05,11.535426139831543,0.9999902248382568,11.535426139831543,0.9999902248382568
3,2,natops_train_130,0,0.9000000040773856,0.9000000040773856,0.8999999999991,5.884451315127277,2,1.0,3,edge,0.9,1.0,0.9,11,0.000616513852889705,3.6817839306198907,4.235455448321588,3.3885736808543627,-0.034653034061193466,1.0,0.0002026231086347252,0.00022932080901227891,2.66977003775537e-05,11.513869285583496,0.9999899864196777,11.513869285583496,0.9999899864196777
4,0,natops_train_178,3,0.25000000035802367,0.25000000035802367,0.24999999999974998,5.717903599158175,8,-1.0,4,small,0.25,1.0,0.25,12,0.0004603042831836323,0.9695756363300759,1.6305697535324166,0.9673393573420715,-0.17858853936195374,1.0,0.033663682639598846,0.04228594899177551,0.008622266352176666,5.568033218383789,0.9961965084075928,5.568033218383789,0.9961965084075928
4,1,natops_train_178,3,0.5000000007160473,0.5000000007160473,0.49999999999949996,5.717903599158175,8,-1.0,4,mid,0.5,1.0,0.5,13,0.0005255844520327613,0.9696940087978138,2.5890699060683677,2.08255079288788,-0.17967721819877625,1.0,0.033663682639598846,0.053618934005498886,0.01995525136590004,5.231088161468506,0.9946807026863098,5.231088161468506,0.9946807026863098
4,2,natops_train_178,3,0.9000000012888852,0.9000000012888852,0.8999999999991,5.717903599158175,8,-1.0,4,edge,0.9,1.0,0.9,14,0.0007358406194336181,0.9690822821780812,4.999186056343225,4.520236227593831,-0.18132717907428741,1.0,0.033663682639598846,0.07976510375738144,0.04610142111778259,4.662219524383545,0.9906429648399353,4.662219524383545,0.9906429648399353
5,0,natops_train_29,4,0.2499999982152293,0.2499999982152293,0.24999999999974998,6.186784408977205,1,1.0,5,small,0.25,1.0,0.25,15,0.0004683261251830076,1.405582422693833,1.498880649926603,0.8658948750819646,0.2866584360599518,0.0,0.4328167140483856,0.30766308307647705,-0.12515363097190857,3.529872417449951,0.9715258479118347,3.529872417449951,0.9715258479118347
5,1,natops_train_29,4,0.4999999964304586,0.4999999964304586,0.49999999999949996,6.186784408977205,1,1.0,5,mid,0.5,1.0,0.5,16,0.0005387049112369463,1.4184358130629993,2.2263255186644137,2.0284167165281866,0.28609204292297363,0.0,0.4328167140483856,0.21518443524837494,-0.21763227880001068,3.894509792327881,0.980052649974823,3.894509792327881,0.980052649974823
5,2,natops_train_29,4,0.8999999935748255,0.8999999935748255,0.8999999999991,6.186784408977205,1,1.0,5,edge,0.9,1.0,0.9,17,0.0007902045426185589,1.437597810006599,4.030728427052086,4.963724755019025,0.28509050607681274,0.0,0.4328167140483856,0.120921790599823,-0.3118949234485626,4.468768119812012,0.9886685013771057,4.468768119812012,0.9886685013771057
6,0,natops_train_68,1,0.2500000004879661,0.2500000004879661,0.24999999999974998,5.859848774131822,3,1.0,6,small,0.25,1.0,0.25,18,0.00046388856156998423,3.9059627951151725,1.7371399572261301,0.9802897055275697,0.017352472990751266,0.0,0.2873550057411194,0.2822231352329254,-0.00513187050819397,3.4201371669769287,0.9683279991149902,3.4201371669769287,0.9683279991149902
6,1,natops_train_68,1,0.5000000009759322,0.5000000009759322,0.49999999999949996,5.859848774131822,3,1.0,6,mid,0.5,1.0,0.5,19,0.0005463647302198778,3.8792548297195,2.9159222735957457,2.3823954355156545,0.017523959279060364,0.0,0.2873550057411194,0.2773847281932831,-0.009970277547836304,3.4827768802642822,0.9701936841011047,3.4827768802642822,0.9701936841011047
6,2,natops_train_68,1,0.9000000017566782,0.9000000017566782,0.8999999999991,5.859848774131822,3,1.0,6,edge,0.9,1.0,0.9,20,0.0008762551557256056,3.8331225818655996,5.972035438573604,6.132222590496498,0.017810553312301636,0.0,0.2873550057411194,0.2703218162059784,-0.01703318953514099,3.5899457931518555,0.9731414914131165,3.5899457931518555,0.9731414914131165
7,0,natops_train_28,4,0.24999999984942492,0.24999999984942492,0.24999999999974998,6.2982921019696,4,-1.0,7,small,0.25,1.0,0.25,21,0.00046587348132931896,0.8272849342337181,1.8239255949236794,1.0908094047789378,0.04060158506035805,0.0,0.1294439733028412,0.12512798607349396,-0.004315987229347229,4.254759788513184,0.9860022068023682,4.254759788513184,0.9860022068023682
7,1,natops_train_28,4,0.49999999969884984,0.49999999969884984,0.49999999999949996,6.2982921019696,4,-1.0,7,mid,0.5,1.0,0.5,22,0.0005572997772601511,0.8255428661871511,3.1771920230294173,2.5527364637403145,0.04541560634970665,0.0,0.1294439733028412,0.11993144452571869,-0.009512528777122498,4.289252281188965,0.9864704012870789,4.289252281188965,0.9864704012870789
7,2,natops_train_28,4,0.8999999994579299,0.8999999994579299,0.8999999999991,6.2982921019696,4,-1.0,7,edge,0.9,1.0,0.9,23,0.0008898201699525186,0.8217027382944367,6.741280957155138,6.222738983594627,0.052853792905807495,0.0,0.1294439733028412,0.11181870847940445,-0.017625264823436737,4.34474515914917,0.9871913194656372,4.34474515914917,0.9871913194656372
8,0,natops_train_44,0,0.2499999982152293,0.2499999982152293,0.24999999999974998,4.975266532659251,1,1.0,8,small,0.25,1.0,0.25,24,0.000510909979964915,4.471166572705222,2.366506800807904,1.7435151629717798,-0.006657127290964127,1.0,0.0009066223283298314,0.0009183990187011659,1.1776690371334553e-05,10.617959022521973,0.9999755620956421,10.617959022521973,0.9999755620956421
8,1,natops_train_44,0,0.4999999964304586,0.4999999964304586,0.49999999999949996,4.975266532659251,1,1.0,8,mid,0.5,1.0,0.5,25,0.0007724505691544657,4.517038249583149,4.9920527033084525,4.944761701826041,-0.006433121860027313,1.0,0.0009066223283298314,0.0009449234930798411,3.8301164750009775e-05,10.583797454833984,0.9999747276306152,10.583797454833984,0.9999747276306152
8,2,natops_train_44,0,0.8999999935748255,0.8999999935748255,0.8999999999991,4.975266532659251,1,1.0,8,edge,0.9,1.0,0.9,26,0.0018166411270161649,4.588308417225444,12.519657290251045,15.087120712373462,-0.006075140088796616,1.0,0.0009066223283298314,0.001013551838696003,0.0001069295103661716,10.506902694702148,0.9999727010726929,10.506902694702148,0.9999727010726929
