anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,feedback_weight,margin_aug,aug_seen_count,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight
0,0,natops_train_114,4,0.2500000011099728,0.2500000011099728,0.24999999999974998,5.498864345987586,9,1.0,0,small,0.25,1.0,0.25,0,0.0004662465395252286,1.1208845084598593,1.654804866099437,0.9903672119080542,0.8833082295381106,6.515054266899824,13,0.0732773095369339,0.0,1.1477854251861572,1.1384291648864746,-0.009356260299682617,1.9139654636383057,0.8714640140533447
0,1,natops_train_114,4,0.5000000022199456,0.5000000022199456,0.49999999999949996,5.498864345987586,9,1.0,0,mid,0.5,1.0,0.5,1,0.0005438286996380132,1.1203548054037575,2.6723441013057,2.2454609549930793,0.9209137558937073,7.138434814910094,15,0.07719194144010544,0.0,1.1477854251861572,1.129014015197754,-0.01877140998840332,1.9327354431152344,0.8735519051551819
0,2,natops_train_114,4,0.9000000039959022,0.9000000039959022,0.8999999999991,5.498864345987586,9,1.0,0,edge,0.9,1.0,0.9,2,0.0008092969098941499,1.1178596393840572,5.276955911218494,5.248543833555037,0.8918252289295197,6.873925954901746,14,0.08323420584201813,0.0,1.1477854251861572,1.1129953861236572,-0.0347900390625,1.9618594646453857,0.8767340183258057
1,0,natops_train_31,4,0.24999999963819822,0.24999999963819822,0.24999999999974998,6.548500007556777,6,1.0,1,small,0.25,1.0,0.25,3,0.00046586296414136044,1.05714346613502,1.506884168122654,0.9205200847844959,0.9006638761077609,5.302837361182485,14,0.2912028431892395,0.0,1.4744493961334229,1.4438714981079102,-0.030577898025512695,0.8383079767227173,0.6981087327003479
1,1,natops_train_31,4,0.49999999927639643,0.49999999927639643,0.49999999999949996,6.548500007556777,6,1.0,1,mid,0.5,1.0,0.5,4,0.0005345726293645479,1.0579197808644074,2.2439767693227055,2.0462507444682685,0.7994327247142792,4.491359611803835,11,0.2941679358482361,0.0,1.4744493961334229,1.4114335775375366,-0.06301581859588623,0.8844132423400879,0.7077358961105347
1,2,natops_train_31,4,0.8999999986975136,0.8999999986975136,0.8999999999991,6.548500007556777,6,1.0,1,edge,0.9,1.0,0.9,5,0.000757960510342698,1.0578257124640345,4.057049667261406,4.617585140028706,0.92192485502788,6.477841044110911,14,0.29857969284057617,0.0,1.4744493961334229,1.355179786682129,-0.11926960945129395,0.9635330438613892,0.7238286733627319
2,0,natops_train_157,4,0.2500000004675457,0.2500000004675457,0.24999999999974998,6.51330044996916,7,-1.0,2,small,0.25,1.0,0.25,6,0.0004528618869221359,1.3253732756207253,1.4556852756968308,0.7416655878844949,0.876007596651713,7.169698499453564,12,0.1434471607208252,0.0,1.3600019216537476,1.3438293933868408,-0.01617252826690674,1.3651854991912842,0.7966011762619019
2,1,natops_train_157,4,0.5000000009350914,0.5000000009350914,0.49999999999949996,6.51330044996916,7,-1.0,2,mid,0.5,1.0,0.5,7,0.0004933673016568257,1.319483094822727,2.103315465615797,1.5833265003625798,0.8781731259077787,6.987124537816271,16,0.14616188406944275,0.0,1.3600019216537476,1.3268165588378906,-0.033185362815856934,1.4007128477096558,0.8022969961166382
2,2,natops_train_157,4,0.9000000016831647,0.9000000016831647,0.8999999999991,6.51330044996916,7,-1.0,2,edge,0.9,1.0,0.9,8,0.0006291688662923527,1.308299598900707,3.652681572964704,3.3582291445755157,0.9361160516738891,8.511640514433385,15,0.15029601752758026,0.0,1.3600019216537476,1.2975215911865234,-0.06248033046722412,1.46071457862854,0.8116419315338135
3,0,natops_train_130,0,0.25000000113260706,0.25000000113260706,0.24999999999974998,5.884451315127277,2,-1.0,3,small,0.25,1.0,0.25,9,0.0004591338109834737,3.668012711584913,1.5647309989291533,0.761031226704824,0.9347731200131503,9.367695286870003,11,0.0935039296746254,0.0,0.23748517036437988,0.23235008120536804,-0.005135089159011841,4.155928611755371,0.9845705628395081
