anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,feedback_weight,margin_aug,aug_seen_count,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight
0,0,atrialfibrillation_train_0,0,0.07073530618324787,0.07073530618324787,0.24999999999911646,0.565882449466549,1,1.0,0,small,0.25,0.2829412193730264,0.0707353048432566,0,0.00013513430726228205,0.02431769379760822,1.015630257250271,0.07483220770551342,0.48388995247131045,0.1335927126929164,22,0.09589922428131104,0.0,0.6799015402793884,0.7008510828018188,0.02094954252243042,-1.9368171691894531,0.8740020394325256
0,1,atrialfibrillation_train_0,0,0.14147061236649575,0.14147061236649575,0.4999999999982329,0.565882449466549,1,1.0,0,mid,0.5,0.2829412193730264,0.1414706096865132,1,0.00014347695485335824,0.024589571719832014,1.0315120714982735,0.15415415070836677,0.4827197588641535,0.1399698978797956,22,0.09590734541416168,0.0,0.6799015402793884,0.7235084772109985,0.04360693693161011,-1.8461800813674927,0.863677978515625
0,2,atrialfibrillation_train_0,0,0.25464710225969234,0.25464710225969234,0.8999999999968192,0.565882449466549,1,1.0,0,edge,0.9,0.2829412193730264,0.2546470974357238,2,0.00015792022401206072,0.02499342517149601,1.0574333534030085,0.29114254799433625,0.4807929833504287,0.15050258970057423,22,0.09592103958129883,0.0,0.6799015402793884,0.7613427639007568,0.08144122362136841,-1.6916444301605225,0.8444402813911438
1,0,atrialfibrillation_train_12,2,0.1632511210967253,0.1632511210967253,0.24999999999961717,1.3060089687751084,2,1.0,1,small,0.25,0.6530044893753824,0.1632511223438456,3,0.00014520263959863874,0.00226508859714766,1.0785864646355972,0.19729352131256794,0.4630880496380004,0.0859340163455768,22,-0.04840921610593796,1.0,0.03635244816541672,0.04189363494515419,0.0055411867797374725,5.154125213623047,0.005742365028709173
1,1,atrialfibrillation_train_12,2,0.3265022421934506,0.3265022421934506,0.49999999999923433,1.3060089687751084,2,1.0,1,mid,0.5,0.6530044893753824,0.3265022446876912,4,0.0001675105078973017,0.0023205519525029486,1.1633457623860823,0.43250042445552134,0.45852285403419624,0.11451703132214872,22,-0.048066265881061554,1.0,0.03635244816541672,0.05086500942707062,0.0145125612616539,4.917425632476807,0.0072647822089493275
1,2,atrialfibrillation_train_12,2,0.5877040359482112,0.5877040359482112,0.8999999999986219,1.3060089687751084,2,1.0,1,edge,0.9,0.6530044893753824,0.5877040404378442,5,0.00021453000395241215,0.0023913101505734714,1.3129846677069947,0.9068258461098491,0.45254676653580234,0.1508973203599453,22,-0.04752236604690552,1.0,0.03635244816541672,0.08020585775375366,0.043853409588336945,4.358270168304443,0.012638729065656662
2,0,atrialfibrillation_train_4,0,0.06617624773535144,0.06617624773535144,0.24999999999905556,0.529409981883341,6,1.0,2,small,0.25,0.26470498760185207,0.06617624690046302,6,0.00013147273424972874,0.01792110765963417,1.0727283049668197,0.10698753331935049,0.4932800917462869,0.07300546079535376,22,0.18748503923416138,0.0,0.12626099586486816,0.14866483211517334,0.022403836250305176,-3.6430869102478027,0.9744960069656372
2,1,atrialfibrillation_train_4,0,0.13235249547070288,0.13235249547070288,0.4999999999981111,0.529409981883341,6,1.0,2,mid,0.5,0.26470498760185207,0.13235249380092604,7,0.00013752087362536573,0.01796339393936576,1.1507485371192903,0.2212126017157689,0.491080065342513,0.08425448318435387,22,0.18949711322784424,0.0,0.12626099586486816,0.17419743537902832,0.047936439514160156,-3.440885066986084,0.9689581394195557
2,2,atrialfibrillation_train_4,0,0.2382344918472652,0.2382344918472652,0.8999999999966001,0.529409981883341,6,1.0,2,edge,0.9,0.26470498760185207,0.23823448884166687,8,0.00015118850235050886,0.017996834561611788,1.2874614614493105,0.4216743315834774,0.4878792217509313,0.10024989464066246,22,0.1926245391368866,0.0,0.12626099586486816,0.22031056880950928,0.09404957294464111,-3.1403346061706543,0.9585261940956116
3,0,atrialfibrillation_train_1,0,0.061857891885374834,0.061857891885374834,0.2499999999989896,0.49486313508349355,5,1.0,3,small,0.25,0.2474315693231571,0.061857892330789276,9,0.000129118183696046,0.027202969312268004,1.0597001658532152,0.08386962595582372,0.508918694305149,0.00544320038435134,22,-0.037825409322977066,1.0,0.04489336162805557,0.04446649178862572,-0.00042686983942985535,-5.507681369781494,0.9959608912467957
