anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,feedback_weight,margin_aug,aug_seen_count,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight
0,0,heartbeat_train_60,1,0.24999999538567177,0.24999999538567177,0.24999999999974998,3.9609733663277606,1,-1.0,0,small,0.25,1.0,0.25,0,0.0006880542879976297,9.507170406429202,1.05279557194729,0.24607310920117573,0.4469745606184006,0.21644946932792664,4,-0.044855449348688126,1.0,0.577763557434082,0.6003456711769104,0.02258211374282837,0.9051518440246582,0.2879929542541504
0,1,heartbeat_train_60,1,0.49999999077134355,0.49999999077134355,0.49999999999949996,3.9609733663277606,1,-1.0,0,mid,0.5,1.0,0.5,1,0.0006746992783912689,9.500495621517821,1.1083549028440292,0.4761505924735936,0.34644644134319746,0.8924323704380256,13,-0.045184820890426636,1.0,0.577763557434082,0.6182162761688232,0.04045271873474121,0.8052847981452942,0.30889618396759033
0,2,heartbeat_train_60,1,0.8999999833884185,0.8999999833884185,0.8999999999991,3.9609733663277606,1,-1.0,0,edge,0.9,1.0,0.9,2,0.0006560984978653351,9.489785876387781,1.2033331766283335,0.8139307046855144,0.3489208562033517,0.6781491935253143,7,-0.04570645093917847,1.0,0.577763557434082,0.6381334066390991,0.06036984920501709,0.6825705766677856,0.3356878459453583
1,0,heartbeat_train_103,1,0.25000000073097667,0.25000000073097667,0.24999999999974998,3.9252178766906924,5,1.0,1,small,0.25,1.0,0.25,3,0.0007043790308266412,11.246726074121662,1.189788824126723,0.32666975371069984,0.15974576386030426,2.6585017087107357,11,0.016741877421736717,0.0,0.07436472177505493,0.07266273349523544,-0.0017019882798194885,4.271726608276367,0.013765527866780758
1,1,heartbeat_train_103,1,0.5000000014619533,0.5000000014619533,0.49999999999949996,3.9252178766906924,5,1.0,1,mid,0.5,1.0,0.5,4,0.0007093707481148585,11.259016509338801,1.4151327030570384,0.670106594844807,0.03110996077561544,3.9745411607954235,9,0.016704335808753967,0.0,0.07436472177505493,0.07084531337022781,-0.003519408404827118,4.303430557250977,0.013341682963073254
1,2,heartbeat_train_103,1,0.900000002631516,0.900000002631516,0.8999999999991,3.9252178766906924,5,1.0,1,edge,0.9,1.0,0.9,5,0.0007261253841660797,11.279445894723942,1.8654861950789532,1.2882007030963392,0.18381613721139728,2.4023157984018324,10,0.01662726327776909,0.0,0.07436472177505493,0.06766486167907715,-0.006699860095977783,4.360805511474609,0.012607129290699959
2,0,heartbeat_train_151,1,0.25000000073097667,0.25000000073097667,0.24999999999974998,3.2694632099353886,5,1.0,2,small,0.25,1.0,0.25,6,0.0007044421049083256,11.22324087634898,1.195232889441403,0.3297551339990495,0.15651644145449004,2.009782463312149,6,0.011733450926840305,0.0,0.2522279918193817,0.2472604215145111,-0.0049675703048706055,2.6249189376831055,0.06755179911851883
2,1,heartbeat_train_151,1,0.5000000014619533,0.5000000014619533,0.49999999999949996,3.2694632099353886,5,1.0,2,mid,0.5,1.0,0.5,7,0.000709493315288121,11.234350495398177,1.4287032479449884,0.6700846263593335,0.28614491862910135,0.9927755030138152,7,0.01172123197466135,0.0,0.2522279918193817,0.24195510149002075,-0.010272890329360962,2.657240867614746,0.06554412096738815
2,2,heartbeat_train_151,1,0.900000002631516,0.900000002631516,0.8999999999991,3.2694632099353886,5,1.0,2,edge,0.9,1.0,0.9,8,0.0007259615237536172,11.253155120009012,1.8997233718817212,1.2691317220233755,0.16781401013334593,1.6612893342971802,6,0.011685114353895187,0.0,0.2522279918193817,0.23237654566764832,-0.0198514461517334,2.7169787883758545,0.06197887659072876
3,0,heartbeat_train_112,1,0.25000000193403127,0.25000000193403127,0.24999999999974998,2.701495411490223,2,1.0,3,small,0.25,1.0,0.25,9,0.0007176177034699352,10.122993385748863,1.0970145768954724,0.2982292109816725,0.49700479209423065,0.009832615653673807,6,0.0017754801083356142,0.0,0.670863151550293,0.6709477305412292,8.45789909362793e-05,-0.42617067694664,0.6049588918685913
