dataset,seed,base_f1_mba_core_lraes,base_f1_mba_feedback_lraes,base_f1_rc4_osf,baseline_span,baseline_drift_tol,baseline_drift_flag
articularywordrecognition,1,0.9730638636725591,0.9730638636725591,0.9730638636725591,0.0,0.0001,False
articularywordrecognition,2,0.952954070084505,0.952954070084505,0.952954070084505,0.0,0.0001,False
articularywordrecognition,3,0.9633028826246216,0.9633028826246216,0.9633028826246216,0.0,0.0001,False
atrialfibrillation,1,0.2164502164502164,0.2164502164502164,0.2164502164502164,0.0,0.0001,False
atrialfibrillation,2,0.3205128205128205,0.3205128205128205,0.3205128205128205,0.0,0.0001,False
atrialfibrillation,3,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0001,False
basicmotions,1,1.0,1.0,1.0,0.0,0.0001,False
basicmotions,2,1.0,1.0,1.0,0.0,0.0001,False
basicmotions,3,1.0,1.0,1.0,0.0,0.0001,False
cricket,1,0.9860139860139862,0.9860139860139862,0.9860139860139862,0.0,0.0001,False
cricket,2,1.0,1.0,1.0,0.0,0.0001,False
cricket,3,0.986013986013986,0.986013986013986,0.986013986013986,0.0,0.0001,False
epilepsy,1,0.9717806041335452,0.9717806041335452,0.9717806041335452,0.0,0.0001,False
epilepsy,2,0.9709217843885812,0.9709217843885812,0.9709217843885812,0.0,0.0001,False
epilepsy,3,0.9326363277133825,0.9326363277133825,0.9326363277133825,0.0,0.0001,False
ering,1,0.5424850558740912,0.5424850558740912,0.5424850558740912,0.0,0.0001,False
ering,2,0.848105426301868,0.848105426301868,0.848105426301868,0.0,0.0001,False
ering,3,0.8501737413578302,0.8501737413578302,0.8501737413578302,0.0,0.0001,False
ethanolconcentration,1,0.25302243628668,0.25302243628668,0.25302243628668,0.0,0.0001,False
ethanolconcentration,2,0.2957462456440558,0.2957462456440558,0.2957462456440558,0.0,0.0001,False
ethanolconcentration,3,0.2886924033855482,0.2886924033855482,0.2886924033855482,0.0,0.0001,False
fingermovements,1,0.4591346153846154,0.4591346153846154,0.4591346153846154,0.0,0.0001,False
fingermovements,2,0.537037037037037,0.537037037037037,0.537037037037037,0.0,0.0001,False
fingermovements,3,0.4456893501592169,0.4456893501592169,0.4456893501592169,0.0,0.0001,False
handmovementdirection,1,0.2384428967090257,0.2384428967090257,0.2384428967090257,0.0,0.0001,False
handmovementdirection,2,0.2030680813439434,0.2030680813439434,0.2030680813439434,0.0,0.0001,False
handmovementdirection,3,0.1875628456510809,0.1875628456510809,0.1875628456510809,0.0,0.0001,False
handwriting,1,0.382737297846506,0.382737297846506,0.382737297846506,0.0,0.0001,False
handwriting,2,0.4136709560472157,0.4136709560472157,0.4136709560472157,0.0,0.0001,False
handwriting,3,0.4038917991696072,0.4038917991696072,0.4038917991696072,0.0,0.0001,False
har,1,0.9355290262377642,0.9355290262377642,0.9355290262377642,0.0,0.0001,False
har,2,0.934283916923308,0.934283916923308,0.934283916923308,0.0,0.0001,False
har,3,0.9348718872533844,0.9348718872533844,0.9348718872533844,0.0,0.0001,False
heartbeat,1,0.6549286291408565,0.6549286291408565,0.6549286291408565,0.0,0.0001,False
heartbeat,2,0.6354209417494323,0.6354209417494323,0.6354209417494323,0.0,0.0001,False
heartbeat,3,0.6687314839752222,0.6687314839752222,0.6687314839752222,0.0,0.0001,False
japanesevowels,1,0.9561456014766324,0.9561456014766324,0.9561456014766324,0.0,0.0001,False
japanesevowels,2,0.9741476029508114,0.9741476029508114,0.9741476029508114,0.0,0.0001,False
japanesevowels,3,0.9681596726696928,0.9681596726696928,0.9681596726696928,0.0,0.0001,False
libras,1,0.8667137210615472,0.8667137210615472,0.8667137210615472,0.0,0.0001,False
libras,2,0.0190341332066207,0.0190341332066207,0.0190341332066207,0.0,0.0001,False
libras,3,0.7957431716788879,0.7957431716788879,0.7957431716788879,0.0,0.0001,False
motorimagery,1,0.4025735294117647,0.4025735294117647,0.4025735294117647,0.0,0.0001,False
motorimagery,2,0.4091067083767813,0.4091067083767813,0.4091067083767813,0.0,0.0001,False
motorimagery,3,0.4967793880837359,0.4967793880837359,0.4967793880837359,0.0,0.0001,False
natops,1,0.9373000436629222,0.9373000436629222,0.9373000436629222,0.0,0.0001,False
natops,2,0.9070392331641024,0.9070392331641024,0.9070392331641024,0.0,0.0001,False
natops,3,0.920588320022504,0.920588320022504,0.920588320022504,0.0,0.0001,False
pendigits,1,0.9857407704625456,0.9857407704625456,0.9857407704625456,0.0,0.0001,False
pendigits,2,0.9815965953307092,0.9815965953307092,0.9815965953307092,0.0,0.0001,False
pendigits,3,0.9817358708901702,0.9817358708901702,0.9817358708901702,0.0,0.0001,False
racketsports,1,0.8656212251404092,0.8656212251404092,0.8656212251404092,0.0,0.0001,False
racketsports,2,0.8588293650793651,0.8588293650793651,0.8588293650793651,0.0,0.0001,False
racketsports,3,0.8843719087962982,0.8843719087962982,0.8843719087962982,0.0,0.0001,False
selfregulationscp2,1,0.3849097867687261,0.3849097867687261,0.3849097867687261,0.0,0.0001,False
selfregulationscp2,2,0.4562610943290461,0.4562610943290461,0.4562610943290461,0.0,0.0001,False
selfregulationscp2,3,0.5110507470058032,0.5110507470058032,0.5110507470058032,0.0,0.0001,False
uwavegesturelibrary,1,0.7495563358211801,0.7495563358211801,0.7495563358211801,0.0,0.0001,False
uwavegesturelibrary,2,0.7165712186127566,0.7165712186127566,0.7165712186127566,0.0,0.0001,False
uwavegesturelibrary,3,0.6619287350644507,0.6619287350644507,0.6619287350644507,0.0,0.0001,False
