dataset,seed,reference_found,historical_path,historical_mba_act_f1,current_mba_core_act_f1,delta_repro,abs_delta_repro
articularywordrecognition,1,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/articularywordrecognition/s1_lraes_safe/final_results.csv,0.9765910611128004,0.9867665551839464,0.01017549407114604,0.01017549407114604
articularywordrecognition,2,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/articularywordrecognition/s2_lraes_safe/final_results.csv,0.96915629877369,0.9799301915475828,0.010773892773892735,0.010773892773892735
articularywordrecognition,3,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/articularywordrecognition/s3_lraes_safe/final_results.csv,0.9763753463927376,0.9801684672815107,0.0037931208887731493,0.0037931208887731493
atrialfibrillation,1,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/atrialfibrillation/s1_lraes_safe/final_results.csv,,0.2164502164502164,,
atrialfibrillation,2,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/atrialfibrillation/s2_lraes_safe/final_results.csv,,0.1558441558441558,,
atrialfibrillation,3,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/atrialfibrillation/s3_lraes_safe/final_results.csv,,0.1396825396825396,,
basicmotions,1,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/basicmotions/s1_lraes_safe/final_results.csv,1.0,1.0,0.0,0.0
basicmotions,2,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/basicmotions/s2_lraes_safe/final_results.csv,1.0,1.0,0.0,0.0
basicmotions,3,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/basicmotions/s3_lraes_safe/final_results.csv,1.0,1.0,0.0,0.0
cricket,1,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/cricket/s1_lraes_safe/final_results.csv,0.9415695415695416,0.9860139860139862,0.04444444444444451,0.04444444444444451
cricket,2,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/cricket/s2_lraes_safe/final_results.csv,0.9860139860139862,1.0,0.013986013986013845,0.013986013986013845
