dataset,seed,arm,f1,source_pipeline,base_f1,act_f1,gain,white_identity_error_mean,recolor_transport_error_logeuc_mean,edit_energy_mean,feedback_weight_mean,last_aug_margin_mean
atrialfibrillation,1,baseline_ce,0.2136752136752136,mba,0.2136752136752136,0.1581196581196581,0.0,,,,,
atrialfibrillation,1,mba,0.1581196581196581,mba,0.2136752136752136,0.1581196581196581,-0.0555555555555555,,,,,
atrialfibrillation,1,mba_white_edit,0.2433862433862433,mba_white_edit,0.2136752136752136,0.2433862433862433,0.0297110297110297,4.476358151258989e-17,0.5133431472457693,0.2499999999999901,0.8490834159155687,4.714163780212402
atrialfibrillation,2,baseline_ce,0.2401960784313725,mba,0.2401960784313725,0.2401960784313725,0.0,,,,,
atrialfibrillation,2,mba,0.2401960784313725,mba,0.2401960784313725,0.2401960784313725,0.0,,,,,
atrialfibrillation,2,mba_white_edit,0.3205128205128205,mba_white_edit,0.2401960784313725,0.3205128205128205,0.0803167420814479,4.8227568805003354e-17,0.4911328457032198,0.2499999999999901,0.8122048061754968,4.018950939178467
atrialfibrillation,3,baseline_ce,0.1666666666666666,mba,0.1666666666666666,0.1666666666666666,0.0,,,,,
atrialfibrillation,3,mba,0.1666666666666666,mba,0.1666666666666666,0.1666666666666666,0.0,,,,,
atrialfibrillation,3,mba_white_edit,0.1666666666666666,mba_white_edit,0.1666666666666666,0.1666666666666666,0.0,4.2227387124565386e-17,0.5243104242284701,0.2499999999999901,0.8476567606131236,4.777011871337891
handwriting,1,baseline_ce,0.2647332101658577,mba,0.2647332101658577,0.4239118892548552,0.0,,,,,
handwriting,1,mba,0.4239118892548552,mba,0.2647332101658577,0.4239118892548552,0.1591786790889975,,,,,
handwriting,1,mba_white_edit,0.2446083925417271,mba_white_edit,0.2647332101658577,0.2446083925417271,-0.0201248176241305,7.36782752683598e-16,0.5118583872473442,0.2499999999999796,0.5930616567283868,1.723578155040741
handwriting,2,baseline_ce,0.235855843616036,mba,0.235855843616036,0.4381383519126784,0.0,,,,,
handwriting,2,mba,0.4381383519126784,mba,0.235855843616036,0.4381383519126784,0.2022825082966424,,,,,
handwriting,2,mba_white_edit,0.2254926881168891,mba_white_edit,0.235855843616036,0.2254926881168891,-0.0103631554991468,7.802182578078829e-16,0.510765384252623,0.2499999999999796,0.5736252564667828,1.6338674426078796
handwriting,3,baseline_ce,0.2518382860113333,mba,0.2518382860113333,0.3880447854637638,0.0,,,,,
handwriting,3,mba,0.3880447854637638,mba,0.2518382860113333,0.3880447854637638,0.1362064994524305,,,,,
handwriting,3,mba_white_edit,0.26363040480016,mba_white_edit,0.2518382860113333,0.26363040480016,0.0117921187888266,7.53369600424089e-16,0.5118456409367709,0.2499999999999796,0.5813491923486193,1.6245614886283877
natops,1,baseline_ce,0.9373000436629222,mba,0.9373000436629222,0.9378532934319574,0.0,,,,,
natops,1,mba,0.9378532934319574,mba,0.9373000436629222,0.9378532934319574,0.0005532497690352,,,,,
natops,1,mba_white_edit,0.8777192469027412,mba_white_edit,0.9373000436629222,0.8777192469027412,-0.059580796760181,3.271772797781332e-15,2.9781441700676545,0.2499999999999646,0.8976965446137237,5.653453191121419
natops,2,baseline_ce,0.94962180852706,mba,0.94962180852706,0.966476799110864,0.0,,,,,
natops,2,mba,0.966476799110864,mba,0.94962180852706,0.966476799110864,0.0168549905838041,,,,,
natops,2,mba_white_edit,0.9384626314293834,mba_white_edit,0.94962180852706,0.9384626314293834,-0.0111591770976766,3.2097693089017485e-15,2.9823890521975707,0.2499999999999646,0.8772585435175441,5.067369778951009
natops,3,baseline_ce,0.8780165897375874,mba,0.8780165897375874,0.9664912444113264,0.0,,,,,
natops,3,mba,0.9664912444113264,mba,0.8780165897375874,0.9664912444113264,0.0884746546737388,,,,,
natops,3,mba_white_edit,0.932848226506187,mba_white_edit,0.8780165897375874,0.932848226506187,0.0548316367685995,3.2607826258716385e-15,2.9934472817968767,0.2499999999999646,0.893439939483263,4.654826323191325
