dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,result_arm,edit_mode,edit_basis,edit_alpha_scale,white_identity_error_mean,recolor_transport_error_logeuc_mean,recolor_transport_error_fro_mean,edit_energy_mean,edit_norm_mean,edit_alpha_mean,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean
atrialfibrillation,1,success,lraes,resnet1d,act,0.2136752136752136,0.1581196581196581,-0.0555555555555555,-25.999987832005694,15,15,0.2222222222222222,0.2222222222222222,0.0001304512305282,0.027007746557902,1.0698707727394805,0.1206388055884538,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,9,mba,,,,,,,,,,,,,,
atrialfibrillation,2,success,lraes,resnet1d,act,0.2401960784313725,0.2401960784313725,0.0,0.0,15,15,0.5555555555555555,0.1666666666666666,0.0001272645118441,0.0331988140980019,1.086073083108838,0.1303279088847803,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,9,mba,,,,,,,,,,,,,,
atrialfibrillation,3,success,lraes,resnet1d,act,0.1666666666666666,0.1666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.0001285761760369,0.0321105512402095,1.0741921661684215,0.1219492211683656,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,9,mba,,,,,,,,,,,,,,
atrialfibrillation,1,success,lraes,resnet1d,mba_white_edit,0.2136752136752136,0.2433862433862433,0.0297110297110297,13.904755397336377,15,15,0.2222222222222222,0.5555555555555555,0.0433899920122577,0.5133431472457693,1.0808210963643972,0.0,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,9,mba_white_edit,line,whitened_pca,0.25,4.476358151258989e-17,0.5133431472457693,0.0433899920122577,0.2499999999999901,6.319612329882268,6.319612329882269,0.8490834159155687,0.1883198239252987,0.0313186086714267,0.0211054012179374,4.714163780212402
atrialfibrillation,2,success,lraes,resnet1d,mba_white_edit,0.2401960784313725,0.3205128205128205,0.0803167420814479,33.437976659730914,15,15,0.5555555555555555,0.5555555555555555,0.0430078615684766,0.4911328457032198,1.0807680760969756,0.0,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,9,mba_white_edit,line,whitened_pca,0.25,4.8227568805003354e-17,0.4911328457032198,0.0430078615684766,0.2499999999999901,6.319612329882268,6.319612329882269,0.8122048061754968,0.1973643014684654,0.0342795103788375,0.0410577096045017,4.018950939178467
atrialfibrillation,3,success,lraes,resnet1d,mba_white_edit,0.1666666666666666,0.1666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.0330476800691484,0.5243104242284701,1.0814392942088196,0.0,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,9,mba_white_edit,line,whitened_pca,0.25,4.2227387124565386e-17,0.5243104242284701,0.0330476800691484,0.2499999999999901,6.319612329882269,6.319612329882269,0.8476567606131236,0.1817398094850938,0.0164945442229509,0.0143661126494407,4.777011871337891
handwriting,1,success,lraes,resnet1d,act,0.2647332101658577,0.4239118892548552,0.1591786790889975,60.127937428527865,15,15,0.2494047619047619,0.2416666666666666,0.0001565928083545,0.0003235549672479,1.078226550549398,0.1141334172511124,0.8510652896440948,0.2429830989517447,0.0,0.0,120,120,10,10,mba,,,,,,,,,,,,,,
handwriting,2,success,lraes,resnet1d,act,0.235855843616036,0.4381383519126784,0.2022825082966424,85.7652790916943,15,15,0.2262626262626262,0.386111111111111,0.0001565959204742,0.0003188433606455,1.080364081679959,0.1172962852685331,0.8748595243881438,0.2591882417685239,0.0,0.0,120,120,10,10,mba,,,,,,,,,,,,,,
handwriting,3,success,lraes,resnet1d,act,0.2518382860113333,0.3880447854637638,0.1362064994524305,54.084884202800176,15,15,0.1999999999999999,0.386111111111111,0.000156323555165,0.0003242662352519,1.08450574695746,0.119620408948954,0.8676174661389138,0.2621793509247431,0.0,0.0,120,120,10,10,mba,,,,,,,,,,,,,,
handwriting,1,success,lraes,resnet1d,mba_white_edit,0.2647332101658577,0.2446083925417271,-0.0201248176241305,-7.601921198175692,15,15,0.2494047619047619,0.2682539682539682,0.8359907166088217,0.5118583872473442,1.0768593484783977,0.0,0.8510652859712999,0.2429830989517447,0.0,0.0,120,120,10,10,mba_white_edit,line,whitened_pca,0.25,7.36782752683598e-16,0.5118583872473442,0.8359907166088217,0.2499999999999796,3.0720514318611265,3.072051431861127,0.5930616567283868,0.2404105184990639,0.9822717308998108,0.5861963629722595,1.723578155040741
