anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,edit_mode,edit_basis,edit_alpha_scale,edit_alpha,edit_norm,edit_energy,edit_basis_fro_norm,edit_status_code,transport_error_fro,transport_error_logeuc,recolor_transport_error_fro,recolor_transport_error_logeuc,bridge_cond_A,margin_aug
69,handwriting_train_0,20,0,2,-1.0,0.1,0.0503021320770675,0.9999999403953552,0.0503021320770675,0.5030213207656447,0.10060425815775417,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.5784702509590373,0.5754233188824465,0.5784702509590373,0.5754233188824465,1.0492619162424153,0.7145435810089111
66,handwriting_train_10,5,0,1,-1.0,0.1,0.03586295256003383,1.0,0.03586295256003383,0.35862952559675193,0.07172590512013939,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.5932891752653057,0.5754333503162155,0.5932891752653057,0.5754333503162155,1.029741887724495,1.8043582439422607
37,handwriting_train_101,12,0,9,-1.0,0.1,0.1,0.9999999403953552,0.1184576343715546,0.99999999999,0.23691525462209567,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.6741536452705632,0.5752718758435766,0.6741536452705632,0.5752718758435766,1.0977935823856695,0.665756344795227
24,handwriting_train_102,25,0,5,-1.0,0.1,0.1,1.0,0.23115477176660848,0.99999999999,0.4623095435336793,line,whitened_pca,0.25,3.072051431861127,3.0720514318611287,0.2499999999999798,1.0,1.0,1.159579293523603,0.5752318449555204,1.159579293523603,0.5752318449555204,1.116730616785933,1.2031118869781494
39,handwriting_train_103,8,0,4,1.0,0.1,0.1,0.9999999403953552,0.16472704510914218,0.99999999999,0.3294540705816198,line,whitened_pca,0.25,3.072051431861127,3.0720514318611287,0.2499999999999798,1.0,1.0,1.0814749370676864,0.446227027738258,1.0814749370676864,0.446227027738258,1.102245013855035,0.31683623790740967
111,handwriting_train_104,3,0,9,1.0,0.1,0.09371993277008196,0.9999999403953552,0.09371993277008196,0.9371993276914475,0.18743985436806476,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,0.9999999999999999,1.0,0.6431889721574896,0.5753550114573965,0.6431889721574896,0.5753550114573965,1.0917116914988052,-0.7057616710662842
7,handwriting_train_106,17,0,2,1.0,0.1,0.1,0.9999999403953552,0.19097435565360057,0.99999999999,0.3819486885416658,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.7299334760996715,0.5750935576454524,0.7299334760996715,0.5750935576454524,1.1039373943012856,0.37244248390197754
0,handwriting_train_108,14,0,1,1.0,0.1,0.1,1.0,0.16980564183318908,0.99999999999,0.3396112836667178,line,whitened_pca,0.25,3.072051431861127,3.0720514318611247,0.24999999999997946,1.0,1.0,0.8939164849507575,0.575400055195515,0.8939164849507575,0.575400055195515,1.0852448666075394,0.22853195667266846
115,handwriting_train_109,6,0,4,1.0,0.1,0.1,0.9999999403953552,0.11437286746417577,0.99999999999,0.228745721294272,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0,1.0,0.6072555962038338,0.5751457724697238,0.6072555962038338,0.5751457724697238,1.0995316666206632,-0.2952420115470886
58,handwriting_train_11,14,0,1,1.0,0.1,0.08482717974833648,1.0,0.08482717974833648,0.848271797474882,0.16965435949684263,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.9478616001812126,0.5754092287927275,0.9478616001812126,0.5754092287927275,1.0717696940168548,0.6441702842712402
33,handwriting_train_110,22,0,9,1.0,0.1,0.07091539402111073,0.9999999403953552,0.07091539402111073,0.7091539402040157,0.14183077958858956,line,whitened_pca,0.25,3.072051431861127,3.0720514318611287,0.2499999999999798,1.0,1.0,0.6821848918529738,0.5753167402413156,0.6821848918529738,0.5753167402413156,1.068869595207257,0.10914075374603271
17,handwriting_train_111,13,0,4,-1.0,0.1,0.07272216284330028,0.9999999403953552,0.07272216284330028,0.7272216284257306,0.14544431701758864,line,whitened_pca,0.25,3.072051431861127,3.0720514318611296,0.24999999999997988,1.0000000000000002,1.0,0.5005114671680163,0.5753725997769851,0.5005114671680163,0.5753725997769851,1.0712428443577102,-0.4650881886482239
47,handwriting_train_112,25,0,7,1.0,0.1,0.08114759826899061,1.0,0.08114759826899061,0.8114759826817912,0.16229519653814353,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.9430554145017354,0.4462338575052727,0.9430554145017354,0.4462338575052727,1.0741379862888762,2.443277359008789
22,handwriting_train_113,20,0,9,-1.0,0.1,0.1,0.9999999403953552,0.10734346696817677,0.99999999999,0.2146869211402298,line,whitened_pca,0.25,3.072051431861127,3.0720514318611305,0.24999999999997993,1.0,1.0,0.7664145952643894,0.5753900553879927,0.7664145952643894,0.5753900553879927,1.102087765659739,0.46735137701034546
67,handwriting_train_115,19,0,0,1.0,0.1,0.1,1.0,0.10918545826918458,0.99999999999,0.21837091653858753,line,whitened_pca,0.25,3.072051431861127,3.0720514318611305,0.24999999999997993,1.0000000000000002,1.0,0.8999673260767087,0.44623864027361737,0.8999673260767087,0.44623864027361737,1.0673665576167701,0.41563713550567627
92,handwriting_train_116,12,0,0,-1.0,0.1,0.1,1.0,0.11877989016042381,0.99999999999,0.2375597803210852,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0,1.0,0.6840885449899395,0.5754050048382793,0.6840885449899395,0.5754050048382793,1.0686901029580738,0.20158588886260986
84,handwriting_train_117,1,0,4,-1.0,0.1,0.04122317825445794,0.9999999403953552,0.04122317825445794,0.41223178254045706,0.08244635159481253,line,whitened_pca,0.25,3.072051431861127,3.0720514318611283,0.24999999999997977,1.0,1.0,0.7363944581894016,0.4462167783016364,0.7363944581894016,0.4462167783016364,1.0399418661029147,0.9847482442855835
87,handwriting_train_118,17,0,1,-1.0,0.1,0.1,1.0,0.16430754678334744,0.99999999999,0.3286150935670235,line,whitened_pca,0.25,3.072051431861127,3.0720514318611247,0.24999999999997946,1.0,1.0,0.5859119742828605,0.5753591665450469,0.5859119742828605,0.5753591665450469,1.0870007306972873,0.4663422107696533
108,handwriting_train_12,19,0,4,1.0,0.1,0.1,0.9999999403953552,0.1235379746156963,0.99999999999,0.24707593450476548,line,whitened_pca,0.25,3.072051431861127,3.072051431861127,0.24999999999997966,1.0,1.0,0.864880363203268,0.5752859366985797,0.864880363203268,0.5752859366985797,1.1027934232504952,0.2769935131072998
50,handwriting_train_120,5,0,9,1.0,0.1,0.06161966963497401,0.9999999403953552,0.06161966963497401,0.6161966963435781,0.12323933192443422,line,whitened_pca,0.25,3.072051431861127,3.0720514318611243,0.24999999999997943,1.0,1.0,0.5901923446646469,0.5753925609608044,0.5901923446646469,0.5753925609608044,1.0588901101572366,2.4352355003356934
61,handwriting_train_122,25,0,1,-1.0,0.1,0.1,1.0,0.10213280783904821,0.99999999999,0.2042656156783007,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,1.0,1.0,0.7854591315308663,0.5754041643799599,0.7854591315308663,0.5754041643799599,1.0851228396928394,1.228874921798706
117,handwriting_train_123,11,0,2,1.0,0.1,0.1,0.9999999403953552,0.17737564377626922,0.99999999999,0.3547512664080687,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,1.0,1.0,0.823160821495901,0.5753979218535882,0.823160821495901,0.5753979218535882,1.103543630517666,0.003300786018371582
45,handwriting_train_125,17,0,0,1.0,0.1,0.1,1.0,0.10271853977594787,0.99999999999,0.2054370795521012,line,whitened_pca,0.25,3.072051431861127,3.072051431861127,0.24999999999997966,1.0,1.0,0.6789215044180336,0.5752903999595557,0.6789215044180336,0.5752903999595557,1.0684956328055801,0.5850076079368591
68,handwriting_train_126,23,0,8,-1.0,0.1,0.03586295469763251,0.9999999403953552,0.03586295469763251,0.35862954697273874,0.07172590512013939,line,whitened_pca,0.25,3.072051431861127,3.072051431861127,0.24999999999997966,1.0,1.0,0.5647479396038214,0.5754335805656325,0.5647479396038214,0.5754335805656325,1.036373517208338,-0.18213146924972534
52,handwriting_train_127,16,0,1,1.0,0.1,0.08765756109296777,1.0,0.08765756109296777,0.8765756109209119,0.17531512218611087,line,whitened_pca,0.25,3.072051431861127,3.072051431861127,0.24999999999997966,1.0,1.0,0.8977630460928947,0.44624209171568907,0.8977630460928947,0.44624209171568907,1.073811680854445,0.7131060361862183
