dataset,arm,direction,utilization,n,f1_mean,f1_std,gain_mean,core_zpia_vs_core_lraes_mean_delta,feedback_zpia_vs_feedback_lraes_mean_delta,lraes_feedback_vs_lraes_core_mean_delta,zpia_feedback_vs_zpia_core_mean_delta,zpia_core_vs_baseline_mean_delta
atrialfibrillation,baseline_ce,none,core_ce_only,3,0.20684598625775089,0.037237378518841596,0.0,0.038936372269705595,-0.023752790419457104,0.08814790873614403,0.02545874604698133,0.0170940170940171
atrialfibrillation,mba_core_lraes,lraes,mba_core_ce_mix,3,0.18500363108206241,0.04868663641426622,-0.0218423551756885,0.038936372269705595,-0.023752790419457104,0.08814790873614403,0.02545874604698133,0.0170940170940171
atrialfibrillation,mba_core_zpia,zpia,mba_core_ce_mix,3,0.223940003351768,0.05112196603052591,0.017094017094017065,0.038936372269705595,-0.023752790419457104,0.08814790873614403,0.02545874604698133,0.0170940170940171
atrialfibrillation,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,3,0.27315153981820645,0.034598035095366395,0.06630555356045549,0.038936372269705595,-0.023752790419457104,0.08814790873614403,0.02545874604698133,0.0170940170940171
atrialfibrillation,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,3,0.24939874939874931,0.012773710173053874,0.0425527631409984,0.038936372269705595,-0.023752790419457104,0.08814790873614403,0.02545874604698133,0.0170940170940171
handwriting,baseline_ce,none,core_ce_only,3,0.250809113264409,0.014466166462489263,0.0,-0.032057889068918134,0.00836990317368605,-0.15113949250398076,-0.1107117002613766,0.12075980531534669
handwriting,mba_core_lraes,lraes,mba_core_ce_mix,3,0.4036268076486738,0.03511301090030837,0.15281769438426482,-0.032057889068918134,0.00836990317368605,-0.15113949250398076,-0.1107117002613766,0.12075980531534669
handwriting,mba_core_zpia,zpia,mba_core_ce_mix,3,0.3715689185797557,0.06058939715579279,0.12075980531534669,-0.032057889068918134,0.00836990317368605,-0.15113949250398076,-0.1107117002613766,0.12075980531534669
handwriting,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,3,0.2524873151446931,0.03894499956534393,0.0016782018802840328,-0.032057889068918134,0.00836990317368605,-0.15113949250398076,-0.1107117002613766,0.12075980531534669
handwriting,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,3,0.2608572183183791,0.028388654818407973,0.010048105053970099,-0.032057889068918134,0.00836990317368605,-0.15113949250398076,-0.1107117002613766,0.12075980531534669
natops,baseline_ce,none,core_ce_only,3,0.9216461473091898,0.03828328868791322,0.0,0.012392483334558927,0.0017263696088777314,0.013264010792937856,0.0025978970672566604,0.014486272245410511
natops,mba_core_lraes,lraes,mba_core_ce_mix,3,0.9237399362200415,0.031403882039970854,0.0020937889108516,0.012392483334558927,0.0017263696088777314,0.013264010792937856,0.0025978970672566604,0.014486272245410511
natops,mba_core_zpia,zpia,mba_core_ce_mix,3,0.9361324195546005,0.006286203779719198,0.014486272245410567,0.012392483334558927,0.0017263696088777314,0.013264010792937856,0.0025978970672566604,0.014486272245410511
natops,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,3,0.9370039470129793,0.03214785249245885,0.015357799703789435,0.012392483334558927,0.0017263696088777314,0.013264010792937856,0.0025978970672566604,0.014486272245410511
natops,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,3,0.9387303166218571,0.020751069726260424,0.017084169312667066,0.012392483334558927,0.0017263696088777314,0.013264010792937856,0.0025978970672566604,0.014486272245410511
