anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
4,atrialfibrillation_train_1,0,0,2,1.0,0.1,0.1,1.0,0.24648823566997005,0.99999999999,0.4929764713404331,lraes,lraes,0.00013629062206203964,0.027865118060632566,1.0509816503396647,0.10891587145310302,-4.57811164855957,0.010169792153499412
2,atrialfibrillation_train_10,2,0,5,-1.0,0.1,0.1,1.0,0.5333355512830343,0.99999999999,1.0666711025671354,lraes,lraes,0.0001294443253662418,0.09663713129773654,1.1994855228304493,0.25316064114595793,0.4739910662174225,0.6163279521802553
9,atrialfibrillation_train_11,2,0,2,-1.0,0.1,0.1,1.0,0.3029302949274423,0.99999999999,0.6058605898554905,lraes,lraes,0.0001195258808529902,0.013438439154761886,1.0486277460506186,0.0963855002141655,-3.434760808944702,0.031226588824437948
11,atrialfibrillation_train_13,2,0,6,-1.0,0.1,0.1,1.0,1.7141709886715508,0.99999999999,3.4283419773465305,lraes,lraes,0.00013170343775670312,0.00741273354412817,1.1486322160438969,0.1994256639588276,0.6066482663154602,0.6471758477221159
5,atrialfibrillation_train_14,2,0,6,-1.0,0.1,0.1,1.0,0.6860882464316801,0.99999999999,1.3721764928647324,lraes,lraes,0.0001322703484405388,0.12260767383229623,1.161756526311467,0.21594838699435828,-0.3695313334465027,0.4086542727818083
1,atrialfibrillation_train_2,0,0,6,1.0,0.1,0.1,1.0,0.6021979619697961,0.99999999999,1.2043959239407969,lraes,lraes,0.00012868541069423892,0.005386802145596693,1.128531246929632,0.17022906948304176,-3.9578447341918945,0.018746114322799576
6,atrialfibrillation_train_3,0,0,5,1.0,0.1,0.1,1.0,0.4088221747918195,0.99999999999,0.8176443495844566,lraes,lraes,0.00013287539367383148,0.00577380744032377,1.1160367212719693,0.1641040403788601,-2.1465327739715576,0.10465566705265256
0,atrialfibrillation_train_4,0,0,2,1.0,0.1,0.1,1.0,0.2647049908588184,0.99999999999,0.5294099817181662,lraes,lraes,0.00013626122793925521,0.018236004429002407,1.0488140171767544,0.10677495262523833,-4.109434127807617,0.01615189519459013
3,atrialfibrillation_train_5,1,0,0,1.0,0.1,0.1,1.0,0.24648823566997005,0.99999999999,0.4929764713404331,lraes,lraes,0.00013515546516166418,0.037327419750428956,1.054792599934319,0.1049750441206681,1.7906970977783203,0.8570127214792672
8,atrialfibrillation_train_6,1,0,8,1.0,0.1,0.1,1.0,0.3977408563020718,0.99999999999,0.7954817126049392,lraes,lraes,0.00013619112303113983,0.01057867882701568,1.047913509522991,0.10548547945582026,1.4494681358337402,0.8099165660768884
7,atrialfibrillation_train_7,1,0,1,1.0,0.1,0.1,1.0,0.5522474852403781,0.99999999999,1.104494970481861,lraes,lraes,0.00013862215934070548,0.028889606861249736,1.016184595243404,0.10572881019214715,0.7867088317871094,0.6871242164589437
10,atrialfibrillation_train_9,1,0,5,-1.0,0.1,0.1,1.0,0.24743156746443468,0.99999999999,0.49486313492936423,lraes,lraes,0.00012591594725224102,0.025513257264990118,1.1162344332448915,0.15408985015430515,3.9303269386291504,0.9807409436033697
