anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
112,natops_train_1,2,0,9,1.0,0.1,0.1,1.0,2.277368789568532,0.99999999999,4.554737579141619,lraes,lraes,0.0004438566896993948,4.569985827390326,1.179076298054482,0.2754292309468704,2.615610361099243,0.93185950373939
70,natops_train_100,5,0,7,1.0,0.1,0.1,1.0,3.86034130662901,0.99999999999,7.720682613265741,lraes,lraes,0.0004448148947031175,1.4703715263041646,1.2378964629415035,0.3693503123682901,3.8954625129699707,0.9800712627464315
39,natops_train_101,3,0,7,-1.0,0.1,0.1,1.0,2.792949072101968,0.99999999999,5.585898144209523,lraes,lraes,0.0004417318738915212,0.8004080391642101,1.105227762714359,0.23122194034984683,3.483229875564575,0.9702068234269962
96,natops_train_102,1,0,2,-1.0,0.1,0.1,1.0,2.4256249110926844,0.99999999999,4.851249822190221,lraes,lraes,0.0004444954811047568,4.781628481767773,1.1662374140415044,0.2639089598659882,0.780286431312561,0.6857418431605722
79,natops_train_103,0,0,1,-1.0,0.1,0.1,1.0,2.373890014111715,0.99999999999,4.747780028228179,lraes,lraes,0.00044205771813263494,4.32161823970507,1.3578364526212072,0.46243650022254856,3.100235939025879,0.9569024762633386
73,natops_train_104,1,0,4,1.0,0.1,0.1,1.0,2.31610784161473,0.99999999999,4.632215683234093,lraes,lraes,0.0004514026300389329,4.670646258527499,1.479384086649398,0.6316090368555319,1.378865122795105,0.798808672149944
133,natops_train_106,1,0,3,1.0,0.1,0.1,1.0,2.7337434955332967,0.99999999999,5.467486991072061,lraes,lraes,0.00044390015210555515,4.22619965274527,1.2031586985486173,0.315631892321054,1.2569936513900757,0.7785081475077069
27,natops_train_107,5,0,2,1.0,0.1,0.1,1.0,4.377186584315057,0.99999999999,8.75437316863887,lraes,lraes,0.00044127356312227277,1.2101456106176103,1.2046922385192025,0.301441521477506,4.229248523712158,0.9856457157498287
30,natops_train_108,4,0,0,-1.0,0.1,0.1,1.0,2.9619038556152817,0.99999999999,5.9238077112364875,lraes,lraes,0.00044051714905741184,0.8695997267638793,1.2233780757012205,0.34591320667838055,0.9865943193435669,0.7284147120640871
40,natops_train_109,3,0,1,-1.0,0.1,0.1,1.0,2.875117345822872,0.99999999999,5.750234691651495,lraes,lraes,0.000439885919545783,1.8855665393306411,1.2275577801597335,0.36317776877540175,3.105686902999878,0.9571267156741998
