anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
138,natops_train_0,3,0,4,-1.0,0.1,0.1,1.0,3.116367084942748,0.99999999999,6.232734169891729,zpia,zpia_telm2,0.00044328400953282473,0.9043744294100109,1.2639726863791483,0.39743820340291197,4.942436218261719,0.9929133890609299
121,natops_train_1,2,0,9,1.0,0.1,0.1,1.0,2.277368789568532,0.99999999999,4.554737579141619,zpia,zpia_telm2,0.00044745236064371686,4.56039397963434,1.425362953033431,0.5465671295676304,5.84102725982666,0.9971025635103622
22,natops_train_10,5,0,4,-1.0,0.1,0.1,1.0,3.68939525035967,0.99999999999,7.37879050072672,zpia,zpia_telm2,0.0004448606465869467,1.3208553466855293,1.3256245400263074,0.4759101424588405,5.992579460144043,0.997509006274458
37,natops_train_100,5,0,5,1.0,0.1,0.1,1.0,3.8524813929113866,0.99999999999,7.704962785830479,zpia,zpia_telm2,0.0004473909112618579,1.4691046534866323,1.379790087905652,0.5241745458762435,7.066170692443848,0.9991472326778393
143,natops_train_101,3,0,0,-1.0,0.1,0.1,1.0,2.792949072101968,0.99999999999,5.585898144209523,zpia,zpia_telm2,0.0004469532776168725,0.8017597115557183,1.2754073237123384,0.5184473067512477,4.570347785949707,0.9897517559960891
95,natops_train_102,1,0,1,1.0,0.1,0.1,1.0,2.3882374529028687,0.99999999999,4.776474905810514,zpia,zpia_telm2,0.00045198195528512255,4.800713900410237,1.3378745039711968,0.45031477830225686,-0.6413484811782837,0.3449417770253656
4,natops_train_103,0,0,3,1.0,0.1,0.1,1.0,2.373890014111715,0.99999999999,4.747780028228179,zpia,zpia_telm2,0.00045120763414186935,4.339257141197557,1.4379471226999043,0.642124253427056,5.025475025177002,0.9934743976272805
82,natops_train_104,1,0,5,1.0,0.1,0.1,1.0,2.31610784161473,0.99999999999,4.632215683234093,zpia,zpia_telm2,0.0004513406049728566,4.673929400737515,1.526057863397883,0.6709439854357878,0.98796546459198,0.728685876261952
90,natops_train_105,1,0,3,-1.0,0.1,0.1,1.0,1.8685916950471948,0.99999999999,3.737183390098127,zpia,zpia_telm2,0.00044532798574347537,4.7505824813367,1.294086958144066,0.4367795302839213,1.3769943714141846,0.7985078493058956
88,natops_train_106,1,0,3,1.0,0.1,0.1,1.0,2.7337434955332967,0.99999999999,5.467486991072061,zpia,zpia_telm2,0.00044855117797851023,4.227130928499821,1.4303185884398113,0.5456777612119825,0.11684322357177734,0.5291776182160296
79,natops_train_107,5,0,6,-1.0,0.1,0.1,0.9999999403953552,4.377186845215725,0.99999999999,8.75437316863887,zpia,zpia_telm2,0.0004516597977446694,1.213100582752686,1.4762008071866133,0.6387574450670218,7.296534538269043,0.9993225753252009
71,natops_train_11,0,0,6,-1.0,0.1,0.1,0.9999999403953552,2.502391073432338,0.99999999999,5.004781848561418,zpia,zpia_telm2,0.00045373032801384656,4.5591799400556265,1.5631049735377858,0.7070258054668812,6.588527202606201,0.9986258258161191
72,natops_train_110,2,0,6,1.0,0.1,0.1,0.9999999403953552,3.1399305252633964,0.99999999999,6.279860676224185,zpia,zpia_telm2,0.00044699994440642964,4.224647235051608,1.3661056062778396,0.5400013858367948,4.585179805755615,0.9899011127323796
114,natops_train_112,0,0,4,-1.0,0.1,0.1,1.0,2.6223533855690566,0.99999999999,5.244706771143359,zpia,zpia_telm2,0.00045212242653927553,3.8165859238590323,1.580101548673777,0.7326513701454349,6.0493035316467285,0.9976460494028726
31,natops_train_113,2,0,0,-1.0,0.1,0.1,1.0,1.961235473472027,0.99999999999,3.9224709469479766,zpia,zpia_telm2,0.00044965919433670237,5.220560633387242,1.494645450909948,0.6265917445871018,4.851346015930176,0.9922427971126071
129,natops_train_114,4,0,4,-1.0,0.1,0.1,1.0,2.749432165144368,0.99999999999,5.498864330294236,zpia,zpia_telm2,0.000443109709029715,1.1217446963003725,1.2249102081565004,0.3897780458108753,6.040469169616699,0.9976252112259053
67,natops_train_115,4,0,4,-1.0,0.1,0.1,1.0,3.2507766900013557,0.99999999999,6.501553380009214,zpia,zpia_telm2,0.000444620044475785,1.1984345822131266,1.2837368260308413,0.46193022383530347,4.244093894958496,0.9858542443711464
83,natops_train_116,4,0,7,-1.0,0.1,0.1,1.0,3.4088177450174215,0.99999999999,6.817635490041662,zpia,zpia_telm2,0.0004431270988093737,1.2024998780983498,1.225070642623468,0.4033066911133537,6.29111385345459,0.9981507309655748
19,natops_train_117,3,0,5,1.0,0.1,0.1,1.0,3.032380335967672,0.99999999999,6.06476067194141,zpia,zpia_telm2,0.00044520473107928754,1.1369750602139366,1.2591899792671817,0.42596627117921176,2.4074525833129883,0.9173938377127515
92,natops_train_119,5,0,6,1.0,0.1,0.1,0.9999999403953552,3.927893130473131,0.99999999999,7.855785792712768,zpia,zpia_telm2,0.0004456113235223564,1.9641453373524114,1.355156745862005,0.48535787103990546,5.7682318687438965,0.99688445840084
39,natops_train_12,3,0,2,1.0,0.1,0.1,1.0,2.6910328822415917,0.99999999999,5.382065764488566,zpia,zpia_telm2,0.0004498134380233515,1.122141504052428,1.4158229600028098,0.6203109714179673,4.1510210037231445,0.9844958355149002
