dataset,model,ACT_Bank_Gain,Random_Bank_Gain
articularywordrecognition,patchtst,-0.0411700536607977,
articularywordrecognition,resnet1d,-0.0037297118340596,
articularywordrecognition,timesnet,-1.8972332015865238e-05,
basicmotions,patchtst,0.0019606823382567,0.0257544387979171
basicmotions,resnet1d,0.0,
basicmotions,timesnet,0.1291208791208791,0.1021687365744439
cricket,patchtst,0.0270562770562773,
cricket,resnet1d,-0.0584304584304583,
cricket,timesnet,0.3712381186065396,
epilepsy,patchtst,-0.0139760838568372,
epilepsy,resnet1d,-0.0276107774633905,
epilepsy,timesnet,0.2891649881676823,
ethanolconcentration,patchtst,0.1440597549311039,
ethanolconcentration,resnet1d,0.038656860841914,
ethanolconcentration,timesnet,0.0565998542882104,
handmovementdirection,patchtst,0.0537925170068027,0.0519375473619399
handmovementdirection,resnet1d,0.0050430096559227,
handmovementdirection,timesnet,-0.0105609123176198,0.0490770331277078
har,patchtst,0.0051821588747558,-0.0027931949103774
har,resnet1d,0.0117374276610577,
har,timesnet,-0.01222102181681,
racketsports,patchtst,-0.0640506590033038,
racketsports,resnet1d,0.0076486202450969,
racketsports,timesnet,-0.053116447660268,
selfregulationscp2,patchtst,-0.0363351877286628,-0.0017954648539572
selfregulationscp2,resnet1d,0.1031612417409417,
selfregulationscp2,timesnet,0.0207715967230591,0.0308471230742676
uwavegesturelibrary,patchtst,0.0200808154138349,
uwavegesturelibrary,resnet1d,0.0189435423136044,
uwavegesturelibrary,timesnet,-0.0883612710218002,
