anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,heartbeat_train_60,1,0.02962949359159081,0.02962949359159081,0.9999999999989999,3.9609733663277606,10,0.0007025303587397856,9.514510536569128,1.0207644543984502,0.04524931993673757,-0.013709764927625656,1.0,0.6687328219413757,0.6688985228538513,0.00016570091247558594,0.5068548824638128,0.00016570091247558594,1.0,1.0,1.0,7.377353193387406e-05,7.377353193380028e-05,1,1
1,0,heartbeat_train_103,1,0.08958447378162143,0.08958447378162143,0.9999999999989999,3.9252178766906924,10,0.0007011064993114959,11.245583169150072,1.0441837946472603,0.10539517165756,-0.032706476747989655,1.0,0.6878030300140381,0.6878259181976318,2.288818359375e-05,0.5163532383739948,2.288818359375e-05,0.9668217032750844,0.39710444674250256,0.7959065263153099,1.306487575037167e-05,1.0398419875209045e-05,1,1
2,2,heartbeat_train_151,1,0.05974917221375051,0.05974917221375051,0.9999999999989999,3.2694632099353886,10,0.0007006364981484822,11.21735089845514,1.0176557873254528,0.06375215591650815,-0.025037914514541626,1.0,0.6665858030319214,0.6666789650917053,9.316205978393555e-05,0.5125189572572708,9.316205978393555e-05,1.0,0.7729970326409495,0.9318991097922849,1.3438982958609011e-05,1.2523776255628898e-05,1,1
3,1,heartbeat_train_112,1,0.054262788829911535,0.054262788829911535,0.9999999999989999,2.701495411490223,10,0.0007014198755354624,10.01993320977698,1.0257931508047156,0.06989115038937185,-0.01957697793841362,1.0,0.6912767291069031,0.6913458108901978,6.908178329467773e-05,0.5097884889692068,6.908178329467773e-05,0.9221280197545576,0.5740465577018325,0.8177035811387401,4.4503923249104294e-05,3.639101741547982e-05,1,1
4,1,heartbeat_train_130,1,0.11719762501246413,0.11719762501246413,0.9999999999989999,3.5253205950082807,10,0.0007079859484290398,10.04269579123433,1.0344329061767337,0.12534008523798654,-0.024689020588994026,1.0,0.5785113573074341,0.5816101431846619,0.003098785877227783,0.512344510294497,0.003098785877227783,1.0,1.0,1.0,4.3502341608658046e-05,4.350234160861454e-05,1,1
5,1,heartbeat_train_108,1,0.17478493780722879,0.17478493780722879,0.9999999999989999,3.4072751860797243,10,0.0007105240240015275,10.96416751404725,1.0613086262060287,0.1951228325228947,-0.04462812468409538,1.0,0.6542019844055176,0.6580058932304382,0.0038039088249206543,0.5223140623420477,0.0038039088249206543,1.0,1.0,1.0,1.7311015689354713e-05,1.73110156893374e-05,1,1
6,1,heartbeat_train_19,0,0.13462181907780707,0.13462181907780707,0.9999999999989999,3.0960623973475143,10,0.0006945082235134782,9.224785200762222,1.0459249509121533,0.15164498287895897,-0.009375627152621746,1.0,0.6667914390563965,0.667117714881897,0.0003262758255004883,0.5046878135763109,0.0003262758255004883,1.0,1.0,1.0,9.856589972357336e-05,9.856589972347478e-05,1,1
7,3,heartbeat_train_159,1,0.07733368401466335,0.07733368401466335,0.9999999999989999,2.3160291961575155,10,0.0007056012291560586,9.30642400683517,1.0327421816008797,0.08743046724759944,-0.01825442537665367,1.0,0.5760077238082886,0.5767415761947632,0.0007338523864746094,0.5091272126883268,0.0007338523864746094,1.0,1.0,1.0,9.083880399859956e-05,9.083880399850872e-05,1,1
8,3,heartbeat_train_56,0,0.15358798268933,0.15358798268933,0.9999999999989999,2.0563893569112217,10,0.000703512081952637,10.955239820047794,1.0620037897104264,0.1683762248392864,-0.013611827977001667,1.0,0.6320611238479614,0.631751298904419,-0.00030982494354248047,0.5068059139885008,0.0,1.0,0.0,0.7,1.746625507401552e-05,1.2226378551798635e-05,1,1
9,2,heartbeat_train_54,0,0.07845828110860276,0.07845828110860276,0.9999999999989999,3.3294594563574296,10,0.0007044591979822298,9.716339998042296,1.0499546133667672,0.12281499635591483,0.0006364885484799743,0.0,0.6908275485038757,0.690822422504425,-5.125999450683594e-06,0.49968175572576,0.0,1.0,0.0,0.7,6.0290259694951165e-05,4.2203181786423604e-05,1,1
10,2,heartbeat_train_111,1,0.17675813573053073,0.17675813573053073,0.9999999999989999,2.6705523842123986,10,0.000710808244060432,9.872016812614024,1.0491464875526966,0.1940504143852676,-0.021820930764079094,1.0,0.6637641191482544,0.6645166277885437,0.0007525086402893066,0.5109104653820395,0.0007525086402893066,0.9531861340244723,1.0,0.9672302938171305,5.159855897983888e-05,4.990768936256019e-05,1,1
11,1,heartbeat_train_125,1,0.12887293495232988,0.12887293495232988,0.9999999999989999,6.693580530395679,10,0.0006984461350944753,4.914871963457201,1.051180034991143,0.15077265364401043,-0.03958658128976822,1.0,0.6850995421409607,0.6845971345901489,-0.0005024075508117676,0.5197932906448841,0.0,1.0,0.0,0.7,0.007336657192502587,0.005135660034746674,1,1
12,1,heartbeat_train_184,1,0.10633325008670975,0.10633325008670975,0.9999999999989999,3.1628324893736273,10,0.0006989360001176115,9.75784852095388,1.0618088422958594,0.13389127681469776,-0.015667375177145004,1.0,0.6850031614303589,0.6855804920196533,0.0005773305892944336,0.5078336875885725,0.0005773305892944336,1.0,1.0,1.0,5.783892760774929e-05,5.783892760769145e-05,1,1
13,0,heartbeat_train_179,1,0.12125799880354562,0.12125799880354562,0.9999999999989999,2.7610981600291264,10,0.0006985990354524226,10.150391049324273,1.0505428762646984,0.1413539065363269,-0.025508778169751167,1.0,0.6482905149459839,0.6492540836334229,0.0009635686874389648,0.5127543890848756,0.0009635686874389648,1.0,1.0,1.0,3.906080398773302e-05,3.9060803987693954e-05,1,1
14,1,heartbeat_train_73,1,0.06673458858364675,0.06673458858364675,0.9999999999989999,3.762219138786608,10,0.0007056725393230946,9.996008463630288,1.024355353023414,0.0741101178662345,-0.03578796237707138,1.0,0.6167429685592651,0.6180744171142578,0.0013314485549926758,0.5178939811885357,0.0013314485549926758,1.0,1.0,1.0,4.558150737906447e-05,4.558150737901889e-05,1,1
15,1,heartbeat_train_3,0,0.17405667160220992,0.17405667160220992,0.9999999999989999,3.5675568783466454,10,0.0007169458530632592,9.576314207892288,1.0600840197944228,0.2142286045849413,-0.020416181534528732,1.0,0.692291259765625,0.6925080418586731,0.0002167820930480957,0.5102080907672644,0.0002167820930480957,1.0,1.0,1.0,6.935209463126017e-05,6.93520946311908e-05,1,1
