anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,1,heartbeat_train_39,0,0.11729748996696573,0.11729748996696573,0.9999999999989999,3.1829143260557156,10,0.0007083166014160606,10.470101983224325,1.0428833993454771,0.13228329039139725,-0.03511062264442444,1.0,0.6630606651306152,0.6611338257789612,-0.0019268393516540527,0.5175553113222122,0.0,1.0,0.0,0.7,2.8372165448966294e-05,1.986051581425654e-05,1,1
1,0,heartbeat_train_25,0,0.15822493319044947,0.15822493319044947,0.9999999999989999,6.281663671611269,10,0.0007153806899020195,7.77901384001018,1.0482876228445561,0.187152897350572,-0.028076985850930214,1.0,0.10270547866821289,0.10738414525985718,0.004678666591644287,0.5140384929254651,0.004678666591644287,1.0,1.0,1.0,0.0004184246048205334,0.000418424604820115,1,1
2,0,heartbeat_train_55,0,0.22038523924092368,0.22038523924092368,0.9999999999989999,5.3514362221741285,10,0.0007203067212491525,8.047587958008192,1.088326340193856,0.275770702518468,-0.005285602994263172,1.0,0.47929319739341736,0.4851113259792328,0.00581812858581543,0.5026428014971316,0.00581812858581543,1.0,1.0,1.0,0.00031987253872364606,0.00031987253872332617,1,1
3,0,heartbeat_train_87,1,0.07642422977804322,0.07642422977804322,0.9999999999989999,3.245714449919734,10,0.0007022924636193187,10.090747529658273,1.0644083935802555,0.11390688297761586,-0.03212755173444748,1.0,0.6920521259307861,0.6911330223083496,-0.0009191036224365234,0.5160637758672237,0.0,1.0,0.0,0.7,4.146140640088365e-05,2.9022984480589526e-05,1,1
4,1,heartbeat_train_4,0,0.0593667911038568,0.0593667911038568,0.9999999999989999,3.1628324893736277,10,0.0006995742358449625,9.383795188792156,1.036978616039346,0.08849767709188743,-0.025315094739198685,1.0,0.32368484139442444,0.32818603515625,0.0045011937618255615,0.5126575473695993,0.0045011937618255615,1.0,1.0,1.0,8.407551382978198e-05,8.40755138296979e-05,1,1
5,2,heartbeat_train_199,1,0.08314262694730898,0.08314262694730898,0.9999999999989999,3.4117116098402542,10,0.0007004206979024213,10.215214837921527,1.0429013371970777,0.10446836136365188,-0.05545938014984131,1.0,0.6067874431610107,0.603642463684082,-0.003144979476928711,0.5277296900749207,0.0,1.0,0.0,0.7,3.6609058875553976e-05,2.5626341212862152e-05,1,1
6,0,heartbeat_train_163,1,0.16032808563103293,0.16032808563103293,0.9999999999989999,2.971566740999869,10,0.0006973218132766795,10.640758398762244,1.0725356891356044,0.17164659097899307,0.0021189951803535223,0.0,0.3635644018650055,0.3665023446083069,0.0029379427433013916,0.49894050240982324,0.0029379427433013916,1.0,0.0,0.7,2.3920890561038543e-05,1.6744623392710233e-05,1,1
7,1,heartbeat_train_63,1,0.0982212846731462,0.0982212846731462,0.9999999999989999,2.8907372165269662,10,0.0006992857373992013,10.066521955301155,1.0401189213750475,0.10488309653574447,-0.028299005702137947,1.0,0.6758008003234863,0.6769101619720459,0.0011093616485595703,0.514149502851069,0.0011093616485595703,1.0,1.0,1.0,4.2478098031566353e-05,4.247809803152387e-05,1,1
8,2,heartbeat_train_42,0,0.1559311915171258,0.1559311915171258,0.9999999999989999,2.9842755317128287,10,0.0007124837730479884,9.726141422652043,1.0423789230238991,0.17039053234785523,-0.03131576627492905,1.0,0.0961710661649704,0.10031314939260483,0.00414208322763443,0.5156578831374645,0.00414208322763443,1.0,1.0,1.0,5.970221580146575e-05,5.970221580140605e-05,1,1
9,1,heartbeat_train_62,1,0.04535093999060281,0.04535093999060281,0.9999999999989999,2.859106434358257,10,0.0007034543543283844,11.092496114916518,1.0409144141701865,0.07800114529531353,-0.018152879551053047,1.0,0.4735208749771118,0.47441619634628296,0.0008953213691711426,0.5090764397755265,0.0008953213691711426,1.0,1.0,1.0,1.5226151501946772e-05,1.5226151501931544e-05,1,1
10,2,heartbeat_train_84,1,0.053671192972248254,0.053671192972248254,0.9999999999989999,2.8657763996183743,10,0.0007015441198463051,10.675713771545395,1.0382038081914977,0.07034374947133695,-0.02948751673102379,1.0,0.5438284277915955,0.5463247299194336,0.0024963021278381348,0.5147437583655119,0.0024963021278381348,1.0,0.6970756145869742,0.9091226843760922,2.3099172316213643e-05,2.0999981542961062e-05,1,1
11,2,heartbeat_train_159,1,0.0655396489165051,0.0655396489165051,0.9999999999989999,3.264876428792808,10,0.0007015479124612993,9.309725114440988,1.036503673328273,0.07791324299092449,-0.03392528370022774,1.0,0.6689296960830688,0.6721440553665161,0.0032143592834472656,0.5169626418501139,0.0032143592834472656,1.0,0.9972999963013648,0.9991899988904094,9.053942973700684e-05,9.046609269836768e-05,1,1
12,1,heartbeat_train_20,0,0.20356913113297137,0.20356913113297137,0.9999999999989999,6.256445840597055,10,0.0006953886447578233,8.051667022886503,1.08319776950638,0.22738563581201066,-0.03955008089542389,1.0,0.5978659987449646,0.608557939529419,0.010691940784454346,0.519775040447712,0.010691940784454346,1.0,1.0,1.0,0.0003185704154136097,0.0003185704154132911,1,1
