anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate
0,0,heartbeat_train_95,1,0.11427954125406417,0.11427954125406417,0.9999999999989999,6.477012995686705,10,0.00070862000897314,7.751585275544594,1.0690163584566283,0.15712498067474423,-0.007560625672340393,1.0,0.690974235534668,0.6909769773483276,2.7418136596679688e-06,0.5037803128361702,2.7418136596679688e-06,1.0,1.0,1.0,0.0004300602359234279,0.0004300602359229978,1
0,1,heartbeat_train_95,1,0.026599515584202017,0.026599515584202017,0.9999999999989999,6.477012995686705,10,0.0007039819265968049,7.7543526416390876,1.0346557090528974,0.05806360200852695,0.005945655517280102,0.0,0.690974235534668,0.6909735202789307,-7.152557373046875e-07,0.49702717224135995,0.0,0.4201332829954143,0.0,0.29409329809678997,0.00042887174705832297,0.00012612830655278834,1
0,2,heartbeat_train_95,1,0.04087702194931427,0.04087702194931427,0.9999999999989999,6.477012995686705,10,0.0007034739257211324,7.753782949486104,1.0537302324488302,0.09397506591407624,0.015731418505311012,0.0,0.690974235534668,0.6909716129302979,-2.6226043701171875e-06,0.4921342907473445,0.0,0.0,0.0,0.0,0.0004291161415354565,0.0,1
0,3,heartbeat_train_95,1,0.14411381477697796,0.14411381477697796,0.9999999999989999,6.477012995686705,10,0.0006966405848348857,7.755556967994547,1.0916005894394796,0.18271863443382175,0.0035686008632183075,0.0,0.690974235534668,0.690971851348877,-2.384185791015625e-06,0.49821569956839085,0.0,0.5221876426699751,0.0,0.36553134986898256,0.0004283555564036239,0.00015657738475593916,1
1,0,heartbeat_train_55,0,0.135966215580668,0.135966215580668,0.9999999999989999,5.3514362221741285,10,0.000711388164906586,8.032505773885294,1.0720798126678357,0.17828309963310418,0.02140156924724579,0.0,0.6921951770782471,0.6922094821929932,1.430511474609375e-05,0.4892992153763771,1.430511474609375e-05,0.0,1.0,0.30000000000000004,0.00032473347990976027,9.742004397283067e-05,1
1,1,heartbeat_train_55,0,0.09753713419322924,0.09753713419322924,0.9999999999989999,5.3514362221741285,10,0.0007092309002624083,8.032552986708716,1.0759849556563073,0.16179779833181224,0.010742230340838432,0.0,0.6921951770782471,0.6921976208686829,2.4437904357910156e-06,0.4946288848295808,2.4437904357910156e-06,0.3546088189741334,0.17083333333333334,0.29947617328189335,0.0003247181486872322,9.724534856393592e-05,1
1,2,heartbeat_train_55,0,0.04293457467081395,0.04293457467081395,0.9999999999989999,5.3514362221741285,10,0.000701600686851743,8.02598751488235,1.0531974397765598,0.08945032640006824,-0.008657860569655895,1.0,0.6921951770782471,0.6921941041946411,-1.0728836059570312e-06,0.504328930284828,0.0,1.0,0.0,0.7,0.0003268570904415342,0.0002287999633088451,1
1,3,heartbeat_train_55,0,0.06120089078445106,0.06120089078445106,0.9999999999989999,5.3514362221741285,10,0.000702509760328841,8.02444695997024,1.067251790270014,0.12696118301014697,0.002376169664785266,0.0,0.6921951770782471,0.6921956539154053,4.76837158203125e-07,0.49881191516760737,4.76837158203125e-07,0.6329261632156111,0.03333333333333333,0.4530483142509278,0.00032736101980353427,0.00014831035817330747,1
2,0,heartbeat_train_23,0,0.08642489445496224,0.08642489445496224,0.9999999999989999,3.219860862299911,10,0.0007050446824340295,8.830894851173365,1.0682574655491488,0.1384963470329469,0.012411270290613174,0.0,0.6924494504928589,0.6924517154693604,2.2649765014648438e-06,0.4937943648546934,2.2649765014648438e-06,0.17608623666179282,0.5277777777777778,0.2815936989965883,0.00014614740077951183,4.115418718419845e-05,1
2,1,heartbeat_train_23,0,0.15081361659225986,0.15081361659225986,0.9999999999989999,3.219860862299911,10,0.0006957165465010125,8.823430434452089,1.0874297077099824,0.18657120536516297,-0.009380307048559189,1.0,0.6924494504928589,0.6924458146095276,-3.635883331298828e-06,0.5046901535242796,0.0,1.0,0.0,0.7,0.00014724238751615774,0.00010306967126120733,1
2,2,heartbeat_train_23,0,0.09412779463624517,0.09412779463624517,0.9999999999989999,3.219860862299911,10,0.0007062715199438134,8.831339658735006,1.064099392215065,0.134463167289456,0.01706854999065399,0.0,0.6924494504928589,0.6924537420272827,4.291534423828125e-06,0.491465725004673,4.291534423828125e-06,0.0,1.0,0.30000000000000004,0.00014608240776629446,4.382472232984452e-05,1
2,3,heartbeat_train_23,0,0.17015727808530273,0.17015727808530273,0.9999999999989999,3.219860862299911,10,0.0006925388411976365,8.81687035158159,1.074936172220116,0.2043605985838652,-0.009110633283853531,1.0,0.6924494504928589,0.6924466490745544,-2.8014183044433594e-06,0.5045553166419268,0.0,0.9898039539362385,0.0,0.6928627677553669,0.00014821148498476755,0.00010269021969957636,1
3,0,heartbeat_train_34,0,0.12158905251034141,0.12158905251034141,0.9999999999989999,2.3160291961575155,10,0.0006954365235263613,10.955074035170389,1.043091891942974,0.13071260991664477,-0.034954752773046494,1.0,0.6899401545524597,0.6899359226226807,-4.231929779052734e-06,0.5174773763865232,0.0,0.9208258612898412,0.0,0.6445781029028889,1.7469150955011693e-05,1.1260232181894366e-05,1
3,1,heartbeat_train_34,0,0.07032305224712798,0.07032305224712798,0.9999999999989999,2.3160291961575155,10,0.0007010432966886086,10.973539196900774,1.0437962178738869,0.09988330216283726,-0.04156522452831268,1.0,0.6899401545524597,0.6899368166923523,-3.337860107421875e-06,0.5207826122641563,0.0,1.0,0.0,0.7,1.7149540170958732e-05,1.2004678119659105e-05,1
3,2,heartbeat_train_34,0,0.1161141493757548,0.1161141493757548,0.9999999999989999,2.3160291961575155,10,0.000710333782662854,10.996610571796982,1.0515975554137196,0.13888563888312389,0.04192759096622467,0.0,0.6899401545524597,0.6899490356445312,8.881092071533203e-06,0.47903620451688766,8.881092071533203e-06,0.0,1.0,0.30000000000000004,1.6758406050860403e-05,5.027521815253093e-06,1
3,3,heartbeat_train_34,0,0.03249694311544686,0.03249694311544686,0.9999999999989999,2.3160291961575155,10,0.0007040716066631087,10.979861728938006,1.01945798088802,0.04893120914502604,0.022164443507790565,0.0,0.6899401545524597,0.6899408102035522,6.556510925292969e-07,0.4889177782461047,6.556510925292969e-07,0.23670476724703504,0.0738255033557047,0.18784098807963595,1.7041453703936805e-05,3.20108350205766e-06,1
4,0,heartbeat_train_72,1,0.06777469178117981,0.06777469178117981,0.9999999999989999,3.087382050894861,10,0.0007057085212853599,10.143836274737291,1.0312555002629507,0.08030068253159912,-0.04033288359642029,1.0,0.6901168823242188,0.6901241540908813,7.271766662597656e-06,0.5201664417982101,7.271766662597656e-06,1.0,1.0,1.0,3.931767971457911e-05,3.931767971453979e-05,1
4,1,heartbeat_train_72,1,0.049820139476335845,0.049820139476335845,0.9999999999989999,3.087382050894861,10,0.0007025330059737078,10.144658705766547,1.0333008142774873,0.06417968946260612,0.03022175095975399,0.0,0.6901168823242188,0.6901118755340576,-5.0067901611328125e-06,0.484889124520123,0.0,0.020463254685551706,0.0,0.014324278279886193,3.9285356928236615e-05,5.627343849641536e-07,1
4,2,heartbeat_train_72,1,0.07582819714964227,0.07582819714964227,0.9999999999989999,3.087382050894861,10,0.0007018698125454293,10.141943915971211,1.0401536798612516,0.08828203208160586,0.031695690006017685,0.0,0.6901168823242188,0.6901117563247681,-5.125999450683594e-06,0.48415215499699116,0.0,0.0,0.0,0.0,3.93921533136086e-05,0.0,1
4,3,heartbeat_train_72,1,0.10497451501725118,0.10497451501725118,0.9999999999989999,3.087382050894861,10,0.0006983243617580277,10.147632246301582,1.0412640103576434,0.11186457592758241,0.021787580102682114,0.0,0.6901168823242188,0.6901109218597412,-5.9604644775390625e-06,0.48910620994865894,0.0,0.1375580468665592,0.0,0.09629063280659143,3.9168713834406985e-05,3.771580241331569e-06,1
5,0,heartbeat_train_130,1,0.15439846429003665,0.15439846429003665,0.9999999999989999,3.207549502955484,10,0.0006964024214515009,10.05091598579727,1.064762253907811,0.16942715478372108,0.020848892629146576,0.0,0.6912320852279663,0.6912225484848022,-9.5367431640625e-06,0.4895755536854267,0.0,0.07119278616624324,0.0,0.04983495031637026,4.3146209639096294e-05,2.150189213701909e-06,1
5,1,heartbeat_train_130,1,0.0748864380672031,0.0748864380672031,0.9999999999989999,3.207549502955484,10,0.0007062867073405386,10.050755196333313,1.0303965415361593,0.09001984123062523,-0.016576817259192467,1.0,0.6912320852279663,0.6912364959716797,4.410743713378906e-06,0.5082884086295962,4.410743713378906e-06,1.0,1.0,1.0,4.315314765278073e-05,4.315314765273757e-05,1
5,2,heartbeat_train_130,1,0.07696511167523765,0.07696511167523765,0.9999999999989999,3.207549502955484,10,0.0007004699619414675,10.045031102128261,1.042090472413557,0.09137169733213343,0.023687858134508133,0.0,0.6912320852279663,0.6912243366241455,-7.748603820800781e-06,0.48815607093274593,0.0,0.0007371649082322834,0.0,0.0005160154357625984,4.340086864795982e-05,2.2395518147829884e-08,1
5,3,heartbeat_train_130,1,0.10640230408932577,0.10640230408932577,0.9999999999989999,3.207549502955484,10,0.0006986580902052016,10.045546363152928,1.0462654038739798,0.11311966130982438,0.02371756173670292,0.0,0.6912320852279663,0.6912192106246948,-1.2874603271484375e-05,0.48814121913164854,0.0,0.0,0.0,0.0,4.337851163225289e-05,0.0,1
6,0,heartbeat_train_4,0,0.10036016854797385,0.10036016854797385,0.9999999999989999,3.1628324893736273,10,0.0007063753212348361,9.406774126818785,1.0707245068479037,0.15906323264981637,-0.010750247165560722,1.0,0.692359983921051,0.6923583745956421,-1.6093254089355469e-06,0.5053751235827804,0.0,0.5072104702997657,0.0,0.355047329209836,8.216557602075694e-05,2.9172668319128318e-05,1
6,1,heartbeat_train_4,0,0.058353288826552795,0.058353288826552795,0.9999999999989999,3.1628324893736273,10,0.0007043153149827613,9.400544893394871,1.048066696670892,0.10148229211011581,-0.03484836965799332,1.0,0.692359983921051,0.692355751991272,-4.231929779052734e-06,0.5174241848289967,0.0,1.0,0.0,0.7,8.267900203823532e-05,5.7875301426706834e-05,1
6,2,heartbeat_train_4,0,0.18514376634675858,0.18514376634675858,0.9999999999989999,3.1628324893736273,10,0.0007152942062506347,9.417215108062177,1.0608803218518192,0.2111684388025849,0.01405308023095131,0.0,0.692359983921051,0.692369818687439,9.834766387939453e-06,0.49297345988452435,9.834766387939453e-06,0.0,1.0,0.30000000000000004,8.131214983899239e-05,2.4393644951673324e-05,1
6,3,heartbeat_train_4,0,0.11618250985742692,0.11618250985742692,0.9999999999989999,3.1628324893736273,10,0.0006979721398682883,9.40063688375415,1.057602739086263,0.1498412450724659,0.0013180691748857498,0.0,0.692359983921051,0.6923602819442749,2.980232238769531e-07,0.4993409654125571,2.980232238769531e-07,0.2604219524162743,0.030303030303030304,0.1913862757823011,8.267139671694652e-05,1.5822170731361725e-05,1
7,0,heartbeat_train_53,0,0.17633922177540046,0.17633922177540046,0.9999999999989999,2.484779335036162,10,0.0006913834435145603,10.498012087817184,1.0472306919004395,0.1860711792315537,-0.03306512534618378,1.0,0.6909779906272888,0.6909663081169128,-1.1682510375976562e-05,0.5165325626730919,0.0,1.0,0.0,0.7,2.7591243838151833e-05,1.9313870686686964e-05,1
7,1,heartbeat_train_53,0,0.13820488501612166,0.13820488501612166,0.9999999999989999,2.484779335036162,10,0.0007108355937902638,10.524556477300596,1.0429046700743794,0.15439518672839514,0.03702373057603836,0.0,0.6909779906272888,0.6909866333007812,8.64267349243164e-06,0.4814881347119808,8.64267349243164e-06,0.0,1.0,0.30000000000000004,2.6868486134082287e-05,8.060545840216626e-06,1
7,2,heartbeat_train_53,0,0.09927234633020074,0.09927234633020074,0.9999999999989999,2.484779335036162,10,0.0007003118920091235,10.512622690919788,1.055087425375333,0.12363832047477684,-0.021639306098222733,1.0,0.6909779906272888,0.6909725666046143,-5.424022674560547e-06,0.5108196530491114,0.0,0.8369809422964427,0.0,0.5858866596075099,2.7191049782663998e-05,1.5930873328370584e-05,1
7,3,heartbeat_train_53,0,0.05424152957241313,0.05424152957241313,0.9999999999989999,2.484779335036162,10,0.0007026761262766434,10.52199121770227,1.0365418588866402,0.08218189488987228,-0.02990015223622322,1.0,0.6909779906272888,0.6909744143486023,-3.5762786865234375e-06,0.5149500761181116,0.0,0.954843418852881,0.0,0.6683903931970167,2.693749925647214e-05,1.800476571975975e-05,1
8,0,heartbeat_train_196,1,0.143870050246891,0.143870050246891,0.9999999999989999,3.2313563158830316,10,0.0006965328171866785,10.411226368508677,1.0439986724118206,0.15097677223051253,0.02843603491783142,0.0,0.690822184085846,0.6908094882965088,-1.2695789337158203e-05,0.4857819825410843,0.0,0.2634870210581763,0.0,0.18444091474072338,3.009274730671354e-05,5.550333840306135e-06,1
8,1,heartbeat_train_196,1,0.11958946645648291,0.11958946645648291,0.9999999999989999,3.2313563158830316,10,0.0006982997755954548,10.406600411800342,1.05588584398044,0.13445418831804676,0.02303449437022209,0.0,0.690822184085846,0.690809965133667,-1.2218952178955078e-05,0.48848275281488895,0.0,1.0,0.0,0.7,3.0232277534563302e-05,2.1162594274173144e-05,1
8,2,heartbeat_train_196,1,0.08194501950365163,0.08194501950365163,0.9999999999989999,3.2313563158830316,10,0.0007001644574952833,10.399727850097086,1.0460364675931664,0.09546346935347773,0.03036843240261078,0.0,0.690822184085846,0.6908093094825745,-1.2874603271484375e-05,0.4848157837986946,0.0,0.0,0.0,0.0,3.0440766332801636e-05,0.0,1
8,3,heartbeat_train_196,1,0.19092421654263844,0.19092421654263844,0.9999999999989999,3.2313563158830316,10,0.0006943631219675635,10.410978152151559,1.0499823842503901,0.19292883962813046,0.029649201780557632,0.0,0.690822184085846,0.6908025741577148,-1.9609928131103516e-05,0.4851753991097212,0.0,0.09806881635443689,0.0,0.06864817144810581,3.0100217745929936e-05,2.0663249084458487e-06,1
9,0,heartbeat_train_159,1,0.06530374242004619,0.06530374242004619,0.9999999999989999,2.3160291961575155,10,0.0007001757779177962,9.310029445629892,1.0286292949872122,0.07300909205209524,0.03944415971636772,0.0,0.6902554035186768,0.6902508735656738,-4.5299530029296875e-06,0.48027792014181614,0.0,0.29567078314369427,0.0,0.20696954820058597,9.051187995705358e-05,1.8733202901478315e-05,1
9,1,heartbeat_train_159,1,0.043710176267265546,0.043710176267265546,0.9999999999989999,2.3160291961575155,10,0.0007026789202901221,9.306155072710913,1.0307248766078447,0.059584310044273114,0.022419175133109093,0.0,0.6902554035186768,0.6902540922164917,-1.3113021850585938e-06,0.48879041243344545,0.0,1.0,0.0,0.7,9.086323693807983e-05,6.360426585659227e-05,1
9,2,heartbeat_train_159,1,0.01632823230810349,0.01632823230810349,0.9999999999989999,2.3160291961575155,10,0.0007028215372880933,9.312401204088125,1.0120419270326488,0.025316810260711635,0.04659108817577362,0.0,0.6902554035186768,0.6902545094490051,-8.940696716308594e-07,0.4767044559121132,0.0,0.0,0.0,0.0,9.029746201449194e-05,0.0,1
9,3,heartbeat_train_159,1,0.04836777636689337,0.04836777636689337,0.9999999999989999,2.3160291961575155,10,0.0007023495070120052,9.30749709286869,1.036973909155366,0.06829213254979064,0.027488084509968758,0.0,0.6902554035186768,0.6902532577514648,-2.1457672119140625e-06,0.4862559577450156,0.0,0.7902975503878071,0.0,0.5532082852714649,9.074137842908491e-05,5.0198882363872956e-05,1
10,0,heartbeat_train_112,1,0.0897552368679576,0.0897552368679576,0.9999999999989999,2.701495411490223,10,0.0006993032161837614,10.02498237437829,1.0323054050646134,0.0994685961231243,0.02100393921136856,0.0,0.6919388771057129,0.6919345855712891,-4.291534423828125e-06,0.4894980303943157,0.0,0.0,0.0,0.0,4.4279781954549737e-05,0.0,1
10,1,heartbeat_train_112,1,0.06382521155206226,0.06382521155206226,0.9999999999989999,2.701495411490223,10,0.0007040631397290609,10.007968561570127,1.037302726267923,0.08722076930448246,0.0071317460387945175,0.0,0.6919388771057129,0.6919382810592651,-5.960464477539062e-07,0.49643412698060274,0.0,0.4103996369454162,0.0,0.28727974586179134,4.5039595207643576e-05,1.293896346495686e-05,1
10,2,heartbeat_train_112,1,0.2840771012064579,0.2840771012064579,0.9999999999989999,2.701495411490223,10,0.0007179235037800303,10.00094840891404,1.0679298247187894,0.30815752173778055,-0.012797730974853039,1.0,0.6919388771057129,0.6919481754302979,9.298324584960938e-06,0.5063988654874265,9.298324584960938e-06,1.0,1.0,1.0,4.535689247610029e-05,4.535689247605493e-05,1
10,3,heartbeat_train_112,1,0.15539840432635668,0.15539840432635668,0.9999999999989999,2.701495411490223,10,0.0006965854508599515,10.027665113519076,1.0559642862376293,0.16490621836109118,0.014828397892415524,0.0,0.6919388771057129,0.6919332146644592,-5.662441253662109e-06,0.49258580105379224,0.0,0.18269929518069616,0.0,0.12788950662648732,4.4161150050731016e-05,5.647747692040617e-06,1
11,0,heartbeat_train_115,1,0.17229361493255624,0.17229361493255624,0.9999999999989999,3.0641148135797778,10,0.0007115848654974644,9.944642541834895,1.0445774246085564,0.18402841306847167,-0.025044184178113937,1.0,0.6898956298828125,0.6899063587188721,1.0728836059570312e-05,0.512522092089057,1.0728836059570312e-05,0.8946770609169267,1.0,0.9262739426418487,4.79840189115886e-05,4.444634638099375e-05,1
11,1,heartbeat_train_115,1,0.11057078876944322,0.11057078876944322,0.9999999999989999,3.0641148135797778,10,0.0006979081050230887,9.949202239373355,1.0352045362980065,0.11596108871262016,0.016895242035388947,0.0,0.6898956298828125,0.6898900866508484,-5.543231964111328e-06,0.4915523789823055,0.0,0.15111848048403173,0.0,0.1057829363388222,4.7765724355457656e-05,5.052798578666053e-06,1
