anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,2,motorimagery_train_253,0,0.13746466950056885,0.13746466950056885,0.9999999999989999,5.191633618292209,10,0.0007196745450798623,8.897737802459607e-05,1.090457967643638,0.21486828915035125,-0.06350991129875183,1.0,0.6861848831176758,0.6878619194030762,0.0016770362854003906,0.5317549556493759,0.0016770362854003906,1.0,1.0,1.0,0.9999110265803449,0.9999110265793449,1,1
1,0,motorimagery_train_45,1,0.18576756964163707,0.18576756964163707,0.9999999999989999,5.933630580153005,10,0.0007175069527356067,0.00010808673343970713,1.2283938903572946,0.36980950385312245,-0.06656120717525482,1.0,0.6330701112747192,0.6356706619262695,0.002600550651550293,0.5332806035876274,0.002600550651550293,1.0,0.7339673012841749,0.9201901903852525,0.9998919191077209,0.9200907354074891,1,1
2,3,motorimagery_train_169,1,0.1906243988919005,0.1906243988919005,0.9999999999989999,4.961788672741905,10,0.0007272851334597571,6.537475896587459e-05,1.3712057263071469,0.5360856948050278,-0.19063863158226013,1.0,0.03484136983752251,0.026610082015395164,-0.008231287822127342,0.5953193157911301,0.0,1.0,0.0,0.7,0.9999346273779172,0.6999542391638419,1,1
3,1,motorimagery_train_107,0,0.10652575375640558,0.10652575375640558,0.9999999999989999,5.968356738294744,10,0.0007160921666169009,0.00010563760928000844,1.056370784933657,0.1551378499398769,-0.14526358246803284,1.0,0.6372867822647095,0.6328766942024231,-0.004410088062286377,0.5726317912340164,0.0,1.0,0.0,0.7,0.9998943679701758,0.699926057578423,1,1
4,1,motorimagery_train_193,0,0.1929042702278619,0.1929042702278619,0.9999999999989999,5.157665047919663,10,0.0007058443202437466,9.509248657927957e-05,1.0845798341398345,0.24772944665223887,-0.11975973844528198,1.0,0.6394283771514893,0.6337292194366455,-0.00569915771484375,0.559879869222641,0.0,1.0,0.0,0.7,0.999904912034568,0.6999334384234975,1,1
5,1,motorimagery_train_50,1,0.3060082352421544,0.3060082352421544,0.9999999999989999,6.335207484687489,10,0.0007255087320517331,0.00013566874988583526,1.2052529019988565,0.5111301981823594,-0.03452267870306969,1.0,0.6664510369300842,0.6675547361373901,0.0011036992073059082,0.5172613393515348,0.0011036992073059082,1.0,1.0,1.0,0.9998643404527029,0.9998643404517029,1,1
6,0,motorimagery_train_109,1,0.15612864177764088,0.15612864177764088,0.9999999999989999,5.788561608027553,10,0.000717328090281682,0.00013489087692854926,1.096093273673644,0.24541111563947984,-0.05426452308893204,1.0,0.6363060474395752,0.6378595232963562,0.0015534758567810059,0.527132261544466,0.0015534758567810059,1.0,1.0,1.0,0.9998651182204368,0.9998651182194368,1,1
7,1,motorimagery_train_143,1,0.17862529343963252,0.17862529343963252,0.9999999999989999,5.581615301777731,10,0.000721699123737971,0.00011560248701977384,1.168655054692423,0.3061019773729217,0.029641665518283844,0.0,0.6878724098205566,0.6882328391075134,0.0003604292869567871,0.4851791672408581,0.0003604292869567871,1.0,0.017066121879515672,0.7051198365638547,0.9998844041946903,0.7050383276678021,1,1
8,2,motorimagery_train_195,1,0.18248252163972173,0.18248252163972173,0.9999999999989999,5.429304710853633,10,0.0007292184276482869,0.00011134455980731454,1.121345888972307,0.30919137920396156,-0.06714010238647461,1.0,0.6882210969924927,0.6865745782852173,-0.0016465187072753906,0.5335700511932373,0.0,1.0,0.0,0.7,0.9998886616387682,0.6999220631464377,1,1
9,1,motorimagery_train_218,1,0.14244332839743834,0.14244332839743834,0.9999999999989999,5.9923708472788375,10,0.0007255001154743704,0.00012947864043971887,1.0817050114842026,0.23196541947235508,-0.13100267946720123,1.0,0.653159499168396,0.6588188409805298,0.005659341812133789,0.5655013397336006,0.005659341812133789,1.0,1.0,1.0,0.9998705297415578,0.9998705297405578,1,1
10,3,motorimagery_train_126,0,0.11947726321897824,0.11947726321897824,0.9999999999989999,5.301887453568055,10,0.0007132433703951839,8.882842203234684e-05,1.0576824857509706,0.17210663628559025,-0.13642752170562744,1.0,0.6114727854728699,0.6177958846092224,0.006323099136352539,0.5682137608528137,0.006323099136352539,1.0,1.0,1.0,0.9999111755230952,0.9999111755220952,1,1
11,1,motorimagery_train_76,0,0.12389676622617811,0.12389676622617811,0.9999999999989999,6.352247319811301,10,0.0007095443730429562,9.169030425896736e-05,1.036853498023271,0.14620730703390672,-0.046735312789678574,1.0,0.6911303997039795,0.6913756132125854,0.00024521350860595703,0.5233676563948393,0.00024521350860595703,1.0,1.0,1.0,0.9999083138991686,0.9999083138981686,1,1
12,1,motorimagery_train_16,1,0.15544914072688917,0.15544914072688917,0.9999999999989999,5.036245920109834,10,0.0007205479294290659,8.533093238068153e-05,1.1484304348417795,0.29370527551413445,-0.04299810528755188,1.0,0.6067055463790894,0.6038024425506592,-0.0029031038284301758,0.5214990526437759,0.0,1.0,0.0,0.7,0.9999146727081998,0.6999402708950397,1,1
13,0,motorimagery_train_250,0,0.1578918346202254,0.1578918346202254,0.9999999999989999,5.454953700449757,10,0.0007104512162743814,0.00011974722308160893,1.1152123021761355,0.2328741571071179,-0.06853634119033813,1.0,0.6923495531082153,0.6919583082199097,-0.00039124488830566406,0.5342681705951691,0.0,1.0,0.0,0.7,0.999880259946331,0.6999161819617317,1,1
14,0,motorimagery_train_117,1,0.11088470517931481,0.11088470517931481,0.9999999999989999,5.133375301074025,10,0.000720820977442639,0.00010904147442405365,1.0640324721961896,0.17388495661188638,-0.23864203691482544,1.0,0.6917622089385986,0.6931436657905579,0.0013814568519592285,0.6193210184574127,0.0013814568519592285,0.7657458730212142,1.0,0.8360221111148499,0.9998909644703815,0.8359309550003557,1,1
15,3,motorimagery_train_49,1,0.24363085870237813,0.24363085870237813,0.9999999999989999,6.096840575034875,10,0.0007086141841314054,0.0001296768268510167,1.1506296766388786,0.3571476884808047,-0.01797398552298546,1.0,0.67710280418396,0.678433895111084,0.0013310909271240234,0.5089869927614927,0.0013310909271240234,1.0,1.0,1.0,0.9998703315808253,0.9998703315798253,1,1
16,1,motorimagery_train_166,0,0.24390570043314097,0.24390570043314097,0.9999999999989999,4.796443793676382,10,0.0007038080842213676,9.0915681987656e-05,1.2082627091333062,0.379477378102597,-0.10986706614494324,1.0,0.5968064069747925,0.6079462170600891,0.01113981008529663,0.5549335330724716,0.01113981008529663,1.0,1.0,1.0,0.9999090884507178,0.9999090884497178,1,1
17,2,motorimagery_train_190,1,0.18168199295874957,0.18168199295874957,0.9999999999989999,5.598218499769602,10,0.0007276085160747368,0.00010150967560796892,1.0753473409820005,0.2527639094021926,-0.04903416708111763,1.0,0.6577836275100708,0.6588898301124573,0.0011062026023864746,0.5245170835405588,0.0011062026023864746,1.0,1.0,1.0,0.9998984954763249,0.9998984954753249,1,1
18,3,motorimagery_train_48,1,0.14931488400296705,0.14931488400296705,0.9999999999989999,5.440409435924852,10,0.0007213639826880077,0.00012516984481609176,1.2682754758145471,0.39556867437578175,-0.15361163020133972,1.0,0.6731953620910645,0.666904091835022,-0.0062912702560424805,0.5768058151006699,0.0,1.0,0.0,0.7,0.9998748379886021,0.6999123865913214,1,1
19,1,motorimagery_train_9,0,0.15117410334610973,0.15117410334610973,0.9999999999989999,6.768718072527966,10,0.0007103230285901993,0.0001178383889446946,1.1169370514850459,0.23575374325975476,-0.033994391560554504,1.0,0.6856060028076172,0.6863572597503662,0.0007512569427490234,0.5169971957802773,0.0007512569427490234,1.0,1.0,1.0,0.9998821685537256,0.9998821685527256,1,1
20,2,motorimagery_train_97,1,0.10842115453134057,0.10842115453134057,0.9999999999989999,5.7220018697400405,10,0.0007176359867327606,0.00010795153912135563,1.1006621545064237,0.20334822072044792,0.019729411229491234,0.0,0.5371048450469971,0.5385849475860596,0.0014801025390625,0.4901352943852544,0.0014801025390625,1.0,0.0,0.7,0.9998920542874364,0.6999244380005054,1,1
21,0,motorimagery_train_153,1,0.3244524449347596,0.3244524449347596,0.9999999999989999,5.293171909046201,10,0.0007446767232935211,0.00010811333144515519,1.5607585303979779,0.8294236937184697,-0.04651342332363129,1.0,0.5512843728065491,0.5450038909912109,-0.006280481815338135,0.5232567116618156,0.0,1.0,0.0,0.7,0.9998918925125905,0.6999243247581133,1,1
22,0,motorimagery_train_181,0,0.10248699619492778,0.10248699619492778,0.9999999999989999,6.1080987154345925,10,0.0007148728526501995,9.601808825416454e-05,1.0692278804003617,0.16553096314199406,-0.15424060821533203,1.0,0.6851390600204468,0.6872354745864868,0.002096414566040039,0.577120304107666,0.002096414566040039,1.0,1.0,1.0,0.9999039865213349,0.999903986520335,1,1
23,0,motorimagery_train_270,0,0.1465687979584719,0.1465687979584719,0.9999999999989999,5.939826426676137,10,0.0007102525619823517,0.00011030137217751523,1.0759624017068414,0.21154944564018546,-0.05862053483724594,1.0,0.5148380398750305,0.5187950134277344,0.003956973552703857,0.529310267418623,0.003956973552703857,0.9904137407939506,1.0,0.9932896185557655,0.9998897047107952,0.9931800633890294,1,1
24,2,motorimagery_train_75,0,0.10002795971106972,0.10002795971106972,0.9999999999989999,5.345741648722199,10,0.0007216596087029703,9.012611398538057e-05,1.0609235692504866,0.17210939034652475,-0.06587134301662445,1.0,0.49952787160873413,0.5022990107536316,0.002771139144897461,0.5329356715083122,0.002771139144897461,1.0,1.0,1.0,0.9999098779472508,0.9999098779462509,1,1
25,2,motorimagery_train_239,1,0.17835474216175518,0.17835474216175518,0.9999999999989999,5.625208722731395,10,0.0007242186373324149,0.00014699086186118542,1.1624603117439256,0.33025142085564096,-0.07234511524438858,1.0,0.6579482555389404,0.6606502532958984,0.002701997756958008,0.5361725576221943,0.002701997756958008,1.0,0.9223757299529981,0.9767127189858995,0.9998530199407663,0.976569161691632,1,1
26,2,motorimagery_train_59,0,0.13038569001384964,0.13038569001384964,0.9999999999989999,5.367039268530121,10,0.0007142018627375765,0.00010207808207110404,1.0651386344379135,0.19016352380850057,0.050571806728839874,0.0,0.6503682136535645,0.649465024471283,-0.0009031891822814941,0.47471409663558006,0.0,1.0,0.0,0.7,0.9998979271277191,0.6999285489887033,1,1
27,3,motorimagery_train_276,1,0.1715763559655997,0.1715763559655997,0.9999999999989999,5.221531568498575,10,0.000727213226990615,0.00010917925849904525,1.1491172500841276,0.3129647344949272,-0.024876631796360016,1.0,0.6817566156387329,0.6824135184288025,0.0006569027900695801,0.51243831589818,0.0006569027900695801,1.0,0.7414558665231432,0.922436759956943,0.9998908267013393,0.9223360544921302,1,1
28,0,motorimagery_train_71,0,0.10547720264910614,0.10547720264910614,0.9999999999989999,5.963820498543657,10,0.0007130549423352638,5.599805714827709e-05,1.0968984813282212,0.1933965052228346,-0.22323903441429138,1.0,0.00034207411226816475,0.00039007238228805363,4.799827001988888e-05,0.6116195172071457,4.799827001988888e-05,1.0,1.0,1.0,0.9999440035107138,0.9999440035097138,1,1
29,3,motorimagery_train_24,0,0.15905578265979084,0.15905578265979084,0.9999999999989999,6.029864579770738,10,0.0007248465991611419,9.235549384546161e-05,1.0821087932243336,0.23738746647005204,-0.007545787841081619,1.0,0.691963791847229,0.6919847726821899,2.09808349609375e-05,0.5037728939205408,2.09808349609375e-05,1.0,1.0,1.0,0.999907648770792,0.999907648769792,1,1
30,2,motorimagery_train_144,1,0.11710403976327485,0.11710403976327485,0.9999999999989999,5.392805128331468,10,0.0007265414862016304,0.0001035806361256027,1.095103820491008,0.18650096650714784,-0.13353371620178223,1.0,0.6291606426239014,0.6322527527809143,0.0030921101570129395,0.5667668581008911,0.0030921101570129395,1.0,0.673359985462475,0.9020079956387425,0.9998964247281633,0.9019145699144934,1,1
31,1,motorimagery_train_175,1,0.2095555754873784,0.2095555754873784,0.9999999999989999,6.392280435868691,10,0.0007208448232352445,0.00010286258310588002,1.1653846705681454,0.3221047238971256,-0.02467101812362671,1.0,0.5923894643783569,0.5939012765884399,0.0015118122100830078,0.5123355090618134,0.0015118122100830078,1.0,1.0,1.0,0.9998971427070683,0.9998971427060683,1,1
32,1,motorimagery_train_225,1,0.2633604325548542,0.2633604325548542,0.9999999999989999,6.244670215601389,10,0.0007257903386918176,8.728003242724221e-05,1.6532186362666583,0.8539912149230151,-0.1004791185259819,1.0,0.661329448223114,0.6515859365463257,-0.00974351167678833,0.550239559262991,0.0,1.0,0.0,0.7,0.9999127237763641,0.6999389066427548,1,1
