anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,3,motorimagery_train_3,0,0.08527198910758982,0.08527198910758982,0.9999999999989999,6.859622348665318,10,0.0007234314461181784,8.259790557049242e-05,1.0436982546318774,0.13080902773882772,-0.05875314027070999,1.0,0.6926569938659668,0.692237913608551,-0.0004190802574157715,0.529376570135355,0.0,1.0,0.0,0.7,0.9999174055055426,0.6999421838531797,1,1
1,0,motorimagery_train_64,0,0.10348995851775357,0.10348995851775357,0.9999999999989999,5.237723012995851,10,0.0007239986018451657,8.920843741520253e-05,1.06559710859204,0.17781620800839187,-0.0718727558851242,1.0,0.5557877421379089,0.5606141090393066,0.004826366901397705,0.5359363779425621,0.004826366901397705,1.0,1.0,1.0,0.9999107955415392,0.9999107955405392,1,1
2,0,motorimagery_train_200,0,0.18540093885451647,0.18540093885451647,0.9999999999989999,6.46688084030632,10,0.0007351548752209009,0.00011531453364001298,1.1874461210091078,0.3577760207761908,-0.030844176188111305,1.0,0.46155261993408203,0.4731190800666809,0.011566460132598877,0.5154220880940557,0.011566460132598877,1.0,1.0,1.0,0.9998846921148253,0.9998846921138254,1,1
3,0,motorimagery_train_20,0,0.16892263404545196,0.16892263404545196,0.9999999999989999,4.984342617674452,10,0.0007097789647297682,0.0001044261593836962,1.1087067466586236,0.2382647958483864,-0.12568223476409912,1.0,0.6234168410301208,0.6352684497833252,0.011851608753204346,0.5628411173820496,0.011851608753204346,0.9801199469168251,1.0,0.9860839628417776,0.9998955792928379,0.9859809952560703,1,1
4,1,motorimagery_train_187,0,0.2575049578498408,0.2575049578498408,0.9999999999989999,5.834469324693655,10,0.0007016541240770487,0.0001315675305039823,1.2271051172130543,0.41792111886511396,-0.06088680401444435,1.0,0.4250965118408203,0.43532687425613403,0.01023036241531372,0.5304434020072222,0.01023036241531372,1.0,1.0,1.0,0.9998684411241241,0.9998684411231241,1,1
5,3,motorimagery_train_223,1,0.10383299190619356,0.10383299190619356,0.9999999999989999,5.610987999096157,10,0.0007173668110296113,0.00014182875700826303,1.0975330715366185,0.19497097177196313,-0.057164814323186874,1.0,0.5844904780387878,0.5883235931396484,0.0038331151008605957,0.5285824071615934,0.0038331151008605957,1.0,0.0,0.7,0.9998581813002145,0.6999007269094502,1,1
6,1,motorimagery_train_276,1,0.25373498824115864,0.25373498824115864,0.9999999999989999,5.81287441262511,10,0.000733243851662639,0.0001093755305943413,1.2270573005474175,0.46859423520136206,0.00495898025110364,0.0,0.6806022524833679,0.6790686249732971,-0.0015336275100708008,0.4975205098744482,0.0,1.0,0.0,0.7,0.999890630450691,0.6999234413147837,1,1
7,2,motorimagery_train_177,0,0.10514135806368563,0.10514135806368563,0.9999999999989999,7.01389382665401,10,0.0007166370781754545,0.00010481783671746153,1.0570103173960146,0.1649262723565286,-0.026435906067490578,1.0,0.2594478130340576,0.2615766227245331,0.002128809690475464,0.5132179530337453,0.002128809690475464,1.0,1.0,1.0,0.9998951876564801,0.9998951876554801,1,1
8,2,motorimagery_train_136,1,0.22154336764493304,0.22154336764493304,0.9999999999989999,5.363796331083107,10,0.0007286572392298244,7.845694182783002e-05,1.169922409229297,0.38593934949807657,-0.07521654665470123,1.0,0.5181275606155396,0.5027254819869995,-0.015402078628540039,0.5376082733273506,0.0,1.0,0.0,0.7,0.9999215461358376,0.6999450822943862,1,1
9,0,motorimagery_train_47,0,0.09297067605451588,0.09297067605451588,0.9999999999989999,5.8503214667545125,10,0.0007261151690880969,0.00010284472277713753,1.038468349980498,0.13639549923811306,0.0076589458622038364,0.0,0.4321649968624115,0.4318656027317047,-0.0002993941307067871,0.4961705270688981,0.0,1.0,0.0,0.7,0.9998971605655601,0.699928012395192,1,1
10,2,motorimagery_train_261,1,0.16085957611479673,0.16085957611479673,0.9999999999989999,6.036779702263149,10,0.0007237740367154462,0.0001255796939815866,1.1038952437115448,0.25446199549553905,-0.09167619794607162,1.0,0.5255182981491089,0.5303003787994385,0.00478208065032959,0.5458380989730358,0.00478208065032959,1.0,1.0,1.0,0.9998744281908182,0.9998744281898182,1,1
11,1,motorimagery_train_257,1,0.25606626865358983,0.25606626865358983,0.9999999999989999,6.4408527839117555,10,0.0007240244646757624,9.553645058725677e-05,1.2171548159307208,0.4270324836725428,-0.14667998254299164,1.0,0.6257215738296509,0.6533902287483215,0.027668654918670654,0.5733399912714958,0.027668654918670654,1.0,1.0,1.0,0.9999044681128741,0.9999044681118742,1,1
12,1,motorimagery_train_165,1,0.17202006274106862,0.17202006274106862,0.9999999999989999,5.973140458080275,10,0.0007246961054955495,8.221942683997848e-05,1.243051046018342,0.382240412449524,-0.023061972111463547,1.0,0.6637316346168518,0.6619099378585815,-0.0018216967582702637,0.5115309860557318,0.0,1.0,0.0,0.7,0.9999177839530845,0.6999424487664591,1,1
13,3,motorimagery_train_150,0,0.08914319212088428,0.08914319212088428,0.9999999999989999,5.371090876823187,10,0.0007243692122878972,0.00011089324241562353,1.0727281234700152,0.15787226284122763,0.012007670477032661,0.0,0.3425218462944031,0.34180957078933716,-0.000712275505065918,0.49399616476148367,0.0,1.0,0.0,0.7,0.9998891129060128,0.6999223790335088,1,1
14,0,motorimagery_train_139,1,0.18714791769606212,0.18714791769606212,0.9999999999989999,5.481195543640736,10,0.0007224570460849808,0.00010043214411717425,1.2332384564057342,0.36213475524676136,-0.0308851171284914,1.0,0.6909946203231812,0.6920125484466553,0.001017928123474121,0.5154425585642457,0.001017928123474121,1.0,1.0,1.0,0.9998995728990219,0.9998995728980219,1,1
15,1,motorimagery_train_247,1,0.18301154490296326,0.18301154490296326,0.9999999999989999,4.932767176933271,10,0.0007293943637293429,0.00011170812851310563,1.234490430703735,0.38371711566562483,-0.05966390669345856,1.0,0.6007586717605591,0.5879952907562256,-0.012763381004333496,0.5298319533467293,0.0,1.0,0.0,0.7,0.9998882981106076,0.6999218086767253,1,1
16,0,motorimagery_train_192,0,0.15977862168610696,0.15977862168610696,0.9999999999989999,6.046048356904099,10,0.0007126862880383378,0.00010496944512908981,1.138228604994415,0.2656299354543532,-0.005751917138695717,1.0,0.5926133394241333,0.593213677406311,0.0006003379821777344,0.5028759585693479,0.0006003379821777344,1.0,1.0,1.0,0.9998950360639705,0.9998950360629705,1,1
17,2,motorimagery_train_172,0,0.08129385699299883,0.08129385699299883,0.9999999999989999,5.302959822141939,10,0.0007176001890308,9.835010071809342e-05,1.0992230285518958,0.1694609892877998,0.007024358958005905,0.0,0.6455420255661011,0.645261287689209,-0.00028073787689208984,0.49648782052099705,0.0,1.0,0.0,0.7,0.9999016547354945,0.6999311583141461,1,1
18,0,motorimagery_train_36,1,0.22389490135673873,0.22389490135673873,0.9999999999989999,5.229909166439851,10,0.0007299645737815987,9.775047891155315e-05,1.228217613866963,0.42358244886829755,-0.037307001650333405,1.0,0.6798405647277832,0.6828868389129639,0.003046274185180664,0.5186535008251667,0.003046274185180664,1.0,1.0,1.0,0.9999022542985109,0.9999022542975109,1,1
19,1,motorimagery_train_147,1,0.1898441526968493,0.1898441526968493,0.9999999999989999,7.172730101537137,10,0.0007163089970911178,0.0001349704270221126,1.1157483461921875,0.3182734537392551,-0.039934344589710236,1.0,0.3777540922164917,0.38893425464630127,0.01118016242980957,0.5199671722948551,0.01118016242980957,1.0,1.0,1.0,0.9998650386810762,0.9998650386800763,1,1
20,2,motorimagery_train_107,0,0.07580470231099197,0.07580470231099197,0.9999999999989999,5.961876724245912,10,0.0007207645392407937,0.00010580443696745871,1.0402138153966503,0.11726439442552797,-0.04286830499768257,1.0,0.4921609163284302,0.4938463568687439,0.0016854405403137207,0.5214341524988413,0.0016854405403137207,1.0,1.0,1.0,0.9998942011601246,0.9998942011591246,1,1
21,3,motorimagery_train_12,1,0.1477100592042462,0.1477100592042462,0.9999999999989999,6.298036258391825,10,0.000722092114971828,9.387237765625441e-05,1.2146391965442098,0.3471537535196416,-0.022361276671290398,1.0,0.6207940578460693,0.6164981722831726,-0.0042958855628967285,0.5111806383356452,0.0,1.0,0.0,0.7,0.9999061320282175,0.6999342924190521,1,1
22,2,motorimagery_train_237,0,0.11431543404242303,0.11431543404242303,0.9999999999989999,5.523324588410799,10,0.0007172347661308893,0.00012346521728338712,1.066483505842542,0.19110971572119648,-0.09209402650594711,1.0,0.1380881518125534,0.143399178981781,0.0053110271692276,0.5460470132529736,0.0053110271692276,1.0,1.0,1.0,0.999876542404233,0.999876542403233,1,1
23,3,motorimagery_train_119,1,0.18233339247977773,0.18233339247977773,0.9999999999989999,5.71685259080582,10,0.0007290044874537601,0.00010817624812380739,1.1088815152962646,0.2814499221584424,-0.08035965263843536,1.0,0.5634596347808838,0.572238564491272,0.008778929710388184,0.5401798263192177,0.008778929710388184,1.0,1.0,1.0,0.9998918296027156,0.9998918296017156,1,1
24,0,motorimagery_train_178,0,0.15962008170802283,0.15962008170802283,0.9999999999989999,6.6669579176870215,10,0.0007081240418224638,0.00013072713937882882,1.1166424895784974,0.2440724552896404,-0.08144456148147583,1.0,0.2506820559501648,0.26120278239250183,0.010520726442337036,0.5407222807407379,0.010520726442337036,1.0,1.0,1.0,0.9998692814050414,0.9998692814040414,1,1
25,0,motorimagery_train_95,1,0.1728616603966838,0.1728616603966838,0.9999999999989999,5.604361647020211,10,0.0007215703058671077,9.260895950550553e-05,1.142348680267256,0.3100002136193011,-0.038922019302845,1.0,0.6734451055526733,0.6756646633148193,0.002219557762145996,0.5194610096514225,0.002219557762145996,1.0,0.9832594000844952,0.9949778200253485,0.9999073953285719,0.9948856804302518,1,1
26,3,motorimagery_train_205,0,0.12204246000071418,0.12204246000071418,0.9999999999989999,5.4517335067713715,10,0.0007134438951882814,0.0001083082047740223,1.0398793232189898,0.15618609487403254,-0.004278526175767183,1.0,0.6147016286849976,0.614574670791626,-0.00012695789337158203,0.5021392630878836,0.0,1.0,0.0,0.7,0.9998916976603479,0.6999241883615435,1,1
27,3,motorimagery_train_267,0,0.13635086666379473,0.13635086666379473,0.9999999999989999,5.1530762827326795,10,0.000710012382708933,0.00011066909910067521,1.04404949410639,0.1785750833003623,-0.0601360946893692,1.0,0.4004359245300293,0.40776580572128296,0.007329881191253662,0.5300680473446846,0.007329881191253662,1.0,0.5752866492330291,0.8725859947699087,0.9998893370244982,0.8724894318064738,1,1
