anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,3,natops_train_45,5,0.14619488954315926,0.14619488954315926,0.9999999999989999,8.56003059520893,10,0.0004505830314389132,2.328444804975663,1.336870817650192,0.5363868473279974,-0.11362258344888687,1.0,0.9314587116241455,0.937325656414032,0.005866944789886475,0.5568112917244434,0.005866944789886475,1.0,1.0,1.0,0.09744717867359713,0.09744717867349968,1,1
1,2,natops_train_2,2,0.16101264608619892,0.16101264608619892,0.9999999999989999,3.403803584599296,10,0.0004565239891609847,5.346172466867982,1.51459556131983,0.67766226910091,-0.048863623291254044,1.0,0.6648221015930176,0.676749587059021,0.011927485466003418,0.524431811645627,0.011927485466003418,1.0,1.0,1.0,0.004766359529323721,0.004766359529318954,1,1
2,3,natops_train_70,2,0.162841982586781,0.162841982586781,0.9999999999989999,3.7057251736594052,10,0.0004532638242553647,4.78168888819576,1.5220814679188288,0.7027143477161965,-0.02041694149374962,1.0,0.7565945386886597,0.7571303844451904,0.0005358457565307617,0.5102084707468748,0.0005358457565307617,1.0,1.0,1.0,0.008381831031341372,0.00838183103133299,1,1
3,3,natops_train_48,0,0.30934749192907096,0.30934749192907096,0.9999999999989999,5.125926047346305,10,0.00047130206396677496,4.445590508313862,1.9019443148272066,1.1820138350422653,-0.005575086921453476,1.0,0.05547430366277695,0.05569147318601608,0.00021716952323913574,0.5027875434607267,0.00021716952323913574,0.9749138831293004,1.0,0.9824397181905102,0.01173017721821261,0.011524192000574016,1,1
4,2,natops_train_58,1,0.2403288705736683,0.2403288705736683,0.9999999999989999,4.64570038529819,10,0.00045936559842286827,4.627572719630069,1.802234196608574,0.9738188921154934,-0.045136384665966034,1.0,0.1588859260082245,0.16043366491794586,0.0015477389097213745,0.522568192332983,0.0015477389097213745,1.0,1.0,1.0,0.009778465396897956,0.009778465396888177,1,1
5,3,natops_train_106,1,0.17391478904035565,0.17391478904035565,0.9999999999989999,5.467487014082286,10,0.0004544634357639815,4.228079840619344,1.523304628892098,0.6847554372067542,-0.302368700504303,1.0,0.04470040649175644,0.04808090254664421,0.0033804960548877716,0.6511843502521515,0.0033804960548877716,1.0,1.0,1.0,0.014580360302237493,0.01458036030222291,1,1
6,1,natops_train_50,3,0.24660196173971535,0.24660196173971535,0.9999999999989999,5.88439185467116,10,0.0004447036514587135,0.8818863030131681,1.475860617981969,0.7256537325572971,-0.2105281800031662,1.0,0.33778277039527893,0.36238980293273926,0.024607032537460327,0.6052640900015831,0.024607032537460327,1.0,1.0,1.0,0.41400124288933865,0.4140012428889246,1,1
7,3,natops_train_73,2,0.20043135374346424,0.20043135374346424,0.9999999999989999,6.19161671181926,10,0.00043839570574641964,3.739284603725476,1.2580504764773521,0.4274435591754656,-0.07457287609577179,1.0,0.3860217332839966,0.3949962854385376,0.008974552154541016,0.5372864380478859,0.008974552154541016,1.0,0.4794395796847636,0.843831873905429,0.02377110280821754,0.020058814227436755,1,1
8,3,natops_train_133,5,0.19773810843840542,0.19773810843840542,0.9999999999989999,7.5988793742812035,10,0.00044016877147464795,2.002738110737683,1.2993863449999585,0.5251208392945311,-0.034743890166282654,1.0,0.6120184063911438,0.6166931390762329,0.004674732685089111,0.5173719450831413,0.004674732685089111,1.0,1.0,1.0,0.134965227102932,0.13496522710279701,1,1
9,1,natops_train_145,5,0.1355556002953822,0.1355556002953822,0.9999999999989999,7.345372575857983,10,0.000448325893395287,1.0145974045262496,1.2803011945701193,0.4674909669233063,-0.18347345292568207,1.0,0.3554491400718689,0.36188364028930664,0.006434500217437744,0.591736726462841,0.006434500217437744,1.0,0.07725604494241839,0.7231768134827254,0.3625483607840163,0.2621865682849082,1,1
10,0,natops_train_44,0,0.1742288533839507,0.1742288533839507,0.9999999999989999,4.975266532659251,10,0.0004597924455967467,4.424303462917758,1.6486531090367031,0.9017194790617873,-0.011095003224909306,1.0,0.11327577382326126,0.11372390389442444,0.0004481300711631775,0.5055475016124547,0.0004481300711631775,1.0,1.0,1.0,0.01198255468840734,0.011982554688395356,1,1
11,3,natops_train_100,5,0.1419739201514895,0.1419739201514895,0.9999999999989999,7.720682627195307,10,0.00044310423712541126,1.4639034118016436,1.2759470187904665,0.4359502745661988,-0.06710317730903625,1.0,0.29735952615737915,0.3002367317676544,0.0028772056102752686,0.5335515886545181,0.0028772056102752686,0.9608383661944625,1.0,0.9725868563361237,0.23133152786278163,0.2249900034552702,1,1
12,0,natops_train_131,1,0.16576984329249964,0.16576984329249964,0.9999999999989999,4.49658668319937,10,0.00045144839811687705,5.172182148269999,1.4760198651090655,0.6124219030380301,-0.04473472014069557,1.0,0.29100772738456726,0.29330742359161377,0.002299696207046509,0.5223673600703478,0.002299696207046509,1.0,1.0,1.0,0.00567217777167347,0.005672177771667798,1,1
13,2,natops_train_85,1,0.2498418797786465,0.2498418797786465,0.9999999999989999,4.676362313912464,10,0.00046972472805259166,4.401180357930887,1.9946009373491733,1.1885392595671018,0.02790241688489914,0.0,0.3103301227092743,0.3069882392883301,-0.003341883420944214,0.48604879155755043,0.0,1.0,0.0,0.7,0.012262856796849849,0.008583999757786308,1,1
14,2,natops_train_111,3,0.1237820717283496,0.1237820717283496,0.9999999999989999,6.894502278677198,10,0.00044291487047136473,0.9627492583182383,1.161011206641053,0.330205859472024,-0.2265026867389679,1.0,0.2897763252258301,0.30078423023223877,0.011007905006408691,0.613251343369484,0.011007905006408691,1.0,1.0,1.0,0.38184166023104515,0.3818416602306633,1,1
15,3,natops_train_49,5,0.20891038165070236,0.20891038165070236,0.9999999999989999,8.370226390272217,10,0.0004507320572514247,2.1418756872284503,1.5162415049909466,0.7543044296710901,0.04341037571430206,0.0,0.37798088788986206,0.37583252787590027,-0.002148360013961792,0.47829481214284897,0.0,1.0,0.0,0.7,0.11743436617280299,0.08220405632087988,1,1
16,2,natops_train_78,2,0.18386453825659546,0.18386453825659546,0.9999999999989999,3.973017217025196,10,0.00045335904263992254,4.382908567494068,1.2338996630168522,0.4266501706244712,-0.07780072093009949,1.0,0.5120651125907898,0.5302298665046692,0.018164753913879395,0.5389003604650497,0.018164753913879395,1.0,1.0,1.0,0.012488980699603244,0.012488980699590754,1,1
17,2,natops_train_71,3,0.11075682759673688,0.11075682759673688,0.9999999999989999,6.631276359118053,10,0.0004412680919707683,0.8052045107289929,1.213441581329796,0.36962160736203437,-0.13964521884918213,1.0,0.42639413475990295,0.4321388900279999,0.005744755268096924,0.5698226094245911,0.005744755268096924,1.0,1.0,1.0,0.4469965016305799,0.4469965016301329,1,1
18,1,natops_train_60,3,0.23209433999605622,0.23209433999605622,0.9999999999989999,6.105773926929595,10,0.0004558533247484153,1.3437092817410463,1.4129248842087556,0.649968450563109,-0.05436728894710541,1.0,0.20438456535339355,0.20640239119529724,0.0020178258419036865,0.5271836444735527,0.0020178258419036865,1.0,1.0,1.0,0.2608762083350304,0.2608762083347695,1,1
19,3,natops_train_98,4,0.17160481975368722,0.17160481975368722,0.9999999999989999,6.22630189604209,10,0.00045074540321577377,0.7249528540037947,1.2905706012535074,0.4646495927708787,-0.09688782691955566,1.0,0.3284469246864319,0.3355656862258911,0.0071187615394592285,0.5484439134597778,0.0071187615394592285,1.0,1.0,1.0,0.48434740345792604,0.48434740345744165,1,1
20,2,natops_train_57,0,0.130985226121051,0.130985226121051,0.9999999999989999,4.068594733339137,10,0.000441908012122826,4.51065598733959,1.1906241572092293,0.3242597210911727,-0.13065481185913086,1.0,0.4109622836112976,0.4175570607185364,0.0065947771072387695,0.5653274059295654,0.0065947771072387695,1.0,1.0,1.0,0.010991247691084532,0.01099124769107354,1,1
21,1,natops_train_157,4,0.17497913571021562,0.17497913571021562,0.9999999999989999,5.3820657786474975,10,0.00045732673259879557,1.3370579496374133,1.5666094207481234,0.8169160129039944,-0.10868553072214127,1.0,0.34544938802719116,0.35262611508369446,0.007176727056503296,0.5543427653610706,0.007176727056503296,1.0,1.0,1.0,0.2626171660602498,0.2626171660599872,1,1
22,0,natops_train_9,1,0.22131264575241574,0.22131264575241574,0.9999999999989999,3.7057251736594052,10,0.00045611887436343825,4.407379919582136,1.3454268566749128,0.5523264718537677,-0.19415991008281708,1.0,0.07300269603729248,0.0758698508143425,0.0028671547770500183,0.5970799550414085,0.0028671547770500183,1.0,1.0,1.0,0.012187067632658755,0.012187067632646566,1,1
