dataset,seed,status,algo,model,pipeline,acl_aug_ce_mode,base_f1,act_f1,gain,warmup_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,act_stop_epoch,warmup_stop_epoch,f1_gain_pct,base_best_val_f1,act_best_val_f1,warmup_best_val_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss
natops,1,success,lraes,resnet1d,gcg_acl,none,0.910113241584289,0.9021615262663404,-0.0079517153179486,0.9555061179087876,0.0004504888421776,2.911263582551663,1.3850415145848904,0.5843854951835152,0.999999999999,5.820767181549379,0.0004060441800296,0.4947916666666667,20,14,10,-0.8737060489748085,0.972027972027972,0.9442501942501944,0.8396825396825397,144,144,576,0.1480874386450824,0.1511609121480389,0.0867640127738316,2.657723347345988
natops,2,success,lraes,resnet1d,gcg_acl,none,0.8433582372285975,0.9440270991443231,0.1006688619157257,0.9171351926380558,0.0004537384180382,2.9148733979302457,1.4791357762461097,0.6900754783526477,0.999999999999,5.736280706282663,0.0092276181530905,0.4618055555555556,13,20,10,11.936665290644878,0.9444444444444444,1.0,0.972027972027972,144,144,576,0.1452775391604466,0.1495156308807383,0.1491350059707959,2.795332988103231
natops,3,success,lraes,resnet1d,gcg_acl,none,0.9381984338268492,0.9437250696215737,0.0055266357947245,0.9220396705078122,0.0004543409021668,2.921775466195609,1.490301622705002,0.7066032627907562,0.999999999999,5.643837031040933,0.0030752246271327,0.5052083333333334,19,15,10,0.5890689012464972,0.972027972027972,0.945887445887446,0.945887445887446,144,144,576,0.1467871205743338,0.1512479189917571,0.051009298612674,2.6085711320241294
natops,1,success,lraes,resnet1d,gcg_acl,selected,0.931572372605434,0.9196156985653672,-0.011956674040067,0.9103098866026308,0.000450288804921,2.910797132809147,1.3825589208836218,0.5831015630386269,0.999999999999,5.820767181549379,-0.0003308122144921,0.5086805555555556,20,20,10,-1.2834937046418384,0.972027972027972,0.945887445887446,0.9442501942501944,144,144,576,0.1490968921009266,0.1513162788298178,0.0685419092575709,2.6254454851150517
natops,2,success,lraes,resnet1d,gcg_acl,selected,0.9493826180405786,0.9604845446950708,0.0111019266544923,0.8977767759094756,0.0004537361011863,2.913258925396687,1.4822348322800565,0.6929413534626518,0.999999999999,5.736280706282663,-0.001130133334502,0.5069444444444444,18,20,10,1.1693836893729797,0.9428571428571428,1.0,0.916083916083916,144,144,576,0.1453605423297864,0.149722791191928,0.0422799823184808,2.6514759063720703
natops,3,success,lraes,resnet1d,gcg_acl,selected,0.8981648601940991,0.9267537580066624,0.0285888978125632,0.8663700649306434,0.000454362184425,2.9211337793916763,1.487397629292692,0.7004409502710272,0.999999999999,5.643837031040933,-0.0008586876881761,0.4965277777777778,20,20,10,3.183034195231241,0.972027972027972,0.945887445887446,0.8873015873015874,144,144,576,0.147053296276922,0.1512363481019821,0.0340330051258206,2.5910032590230307
heartbeat,1,success,lraes,resnet1d,gcg_acl,none,0.6640445755490003,0.6365248226950355,-0.0275197528539647,0.6583333333333333,0.0007029030844687,9.577150961550704,1.0449577898918747,0.122481286649003,0.9999999999989998,4.12020843699955,-0.0004635011838703,0.504601226993865,20,11,10,-4.144262256332796,0.7152777777777778,0.7602339181286549,0.6440972222222222,163,163,652,0.0090997023317394,0.012142010559728,0.1958332409461339,4.346470355987549
heartbeat,2,success,lraes,resnet1d,gcg_acl,none,0.6445328437372502,0.6425641025641026,-0.0019687411731476,0.6446580523164198,0.0007033131008677,9.608810292654102,1.047157742519042,0.1253523857915456,0.9999999999989998,3.83564772513341,-0.0006397434910602,0.5337423312883436,15,12,10,-0.305452373269252,0.632051282051282,0.6962962962962963,0.6117424242424243,163,163,652,0.007889111727801,0.0081818389982826,0.1972838640213012,4.396399974822998
heartbeat,3,success,lraes,resnet1d,gcg_acl,none,0.5382882882882882,0.4725557461406517,-0.0657325421476364,0.6448133243907892,0.0007032777092407,9.523435426732044,1.0443074246620718,0.1205666886239178,0.9999999999989998,4.251664563565001,0.003001290549377,0.4846625766871165,18,20,10,-12.21139886681569,0.6703772418058133,0.6038647342995169,0.7119437939110069,163,163,652,0.0114512063598298,0.0114662364103535,0.1556164970000585,4.354061444600423
heartbeat,1,success,lraes,resnet1d,gcg_acl,selected,0.6402685587853818,0.6915213781652138,0.0512528193798319,0.5826581910341102,0.0007036393101108,9.577842725501126,1.0460161586282473,0.1248443758019972,0.9999999999989998,4.12020843699955,0.000590604950461,0.4831288343558282,13,20,10,8.00489273941049,0.6746031746031746,0.7184065934065934,0.6893939393939394,163,163,652,0.0102863362201219,0.0121414580302258,0.1295085400342941,4.254457394282023
