dataset,base_f1_mean,base_f1_std,act_f1_mean,act_f1_std,f1_gain_pct_mean,f1_gain_pct_std,host_conflict_rate_mean,host_conflict_rate_std,host_geom_cosine_mean_mean,host_geom_cosine_mean_std,fidelity_score_mean_mean,fidelity_score_mean_std,entropy_shift_mean_mean,v2_regime,conflict_regime
articularywordrecognition,0.975371634484678,0.009745702105242712,0.9746068630242543,0.004284432340297001,-0.07324339979744136,0.8646259888271278,0.5003787878787879,0.011662730544197471,-0.0006228903932920668,0.005700689500446583,0.9742010902506584,0.0006171332833580845,0.0,saturated,near_orthogonal
atrialfibrillation,0.30597180597180595,0.0368504905078066,0.19323392656725988,0.07888292525660355,-36.15671562950716,26.0496777151711,0.548611111111111,0.05242940580049132,-0.04090548372833933,0.03490004469069828,0.970152948174289,0.0031630188295706132,0.0,objective_mismatch,near_orthogonal
basicmotions,1.0,0.0,1.0,0.0,0.0,0.0,0.5416666666666666,0.073840869160197,-0.024759364558121864,0.035469310935149954,0.9919811993632542,0.0006412956273113837,0.0,saturated,near_orthogonal
cricket,0.9813519813519814,0.008074828939715077,0.9761849261849261,0.008545860627865177,-0.5172315530301679,1.6957567217062643,0.5135658914728682,0.02793320795620068,0.0008476920627926667,0.0039000249259000274,0.9873236025792842,0.0007293136842571227,0.0,saturated,near_orthogonal
epilepsy,0.9463053562368632,0.022398206417695514,0.9547159506411697,0.010068279030684388,0.9120191637706231,1.5803983870214,0.4885321100917431,0.04935191465905969,0.011901328128702699,0.022870715459839597,0.9961106350557696,0.00019791108367099488,0.0,variance_open,near_orthogonal
ering,0.767692569053119,0.04101289367408489,0.8160621557663529,0.05383911309681892,6.7367427586934765,12.330316224499871,0.5104166666666666,0.031249999999999993,-0.009687753753193366,0.020942851212453227,0.9986768343993407,2.493873695831927e-05,0.0,boundary_shaping,near_orthogonal
ethanolconcentration,0.2679692845607777,0.014143399239108167,0.25297139739546154,0.02705863150853492,-5.079276930352946,14.719921067626366,0.4987980769230769,0.006245375508060862,-0.002606907460059833,0.003430234900338342,0.9999999943884831,1.8247980009900353e-10,0.0,objective_mismatch,near_orthogonal
fingermovements,0.4435452702091789,0.04425915516831281,0.530887649002704,0.01794273083492638,20.29129891361238,9.210640762095636,0.49801587301587297,0.010730807367452366,-6.18212954828e-05,0.0013443822857868975,0.9999328873256106,5.049656790232048e-07,0.0,boundary_shaping,near_orthogonal
handmovementdirection,0.28384242733248327,0.027967196748811523,0.2719080177692817,0.05303634135239215,-4.699162920129067,10.21779657863396,0.5013020833333334,0.004065753905207275,-0.0022471986441511666,0.0022971003435844147,0.9999998886964226,1.8777618384995168e-10,0.0,objective_mismatch,near_orthogonal
handwriting,0.3999993695313348,0.03996224292729063,0.4316155731249727,0.043883240331723736,8.00417011765263,5.486945847843304,0.5097222222222222,0.020868026668495448,-0.0023395584575256335,0.006242934927991461,0.9996753641272257,2.157014495785109e-06,0.0,boundary_shaping,near_orthogonal
har,0.9216745763499548,0.01346988502347018,0.9351538941679657,0.00870506938909518,1.4731898678420692,1.3895872675618297,0.5002975684407414,0.003134501599358237,0.00040335191893576665,0.0008697607038043707,0.06700865354311343,8.498314491869518e-05,0.0,variance_open,near_orthogonal
heartbeat,0.6398065835335071,0.09184871119971486,0.6758968904367028,0.01624996532439986,7.267359348062608,17.143075549182534,0.483640081799591,0.016110379607963927,0.0028477718273640334,0.003645269786391603,0.010596785199644432,0.0021171654355197343,0.0,boundary_shaping,near_orthogonal
japanesevowels,0.9658673705725738,0.014124025182505712,0.9765105641629188,0.004407790582524313,1.1119402279116144,1.0268422107289508,0.4868827160493827,0.02215258830240061,0.0018464985683906666,0.004582194192087929,0.10755698788734518,0.0004237311477816247,0.0,saturated,near_orthogonal
libras,0.8204763451369096,0.015704865851282314,0.8365530988338618,0.035283283432404874,1.935584113827449,2.6734933417756626,0.5,0.00347222222222221,0.0008072579221334331,0.010319421795081747,0.8363272536290475,0.002395924071444687,0.0,variance_open,near_orthogonal
motorimagery,0.44058210008695703,0.096710782193145,0.4581554417797795,0.051866114461462144,5.773911633862009,13.623991113161638,0.506006006006006,0.015819299929208334,-0.0003739312142916667,0.0029189081375343953,0.9998943205028762,3.462077465990631e-07,0.0,boundary_shaping,near_orthogonal
natops,0.8991956839122234,0.03044104257310652,0.914125870153779,0.03912557524903743,1.8211259799500936,7.573868735728563,0.4884259259259259,0.009871945665064791,0.0027019426123404667,0.0009072784600688501,0.15076371437582636,0.000974803094340898,0.0,variance_open,near_orthogonal
pendigits,0.9858084291013731,0.004675682900703212,0.9870175898747563,0.0017119347935303265,0.12469388468012725,0.6449358064340206,0.4953155407283847,0.002438849705557994,0.0021959283932163334,0.0010677809712339164,0.9999998540227252,9.109979253648907e-10,0.0,saturated,near_orthogonal
