dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,wavelet_object_mode,wavelet_name,wavelet_level,wavelet_level_eff,wavelet_secondary_detail_level,wavelet_detail_gamma_scale,cA_length,cDm_length,cDm_energy_mean,cD_frozen_count,wavelet_recon_error_mean,cA_identity_bridge_error_mean,cDm_identity_bridge_error_mean,idwt_identity_recon_error_mean,cA_transport_error_fro_mean,cA_transport_error_logeuc_mean,cDm_transport_error_fro_mean,cDm_transport_error_logeuc_mean,dual_transport_error_logeuc_mean,step_tier_count,effective_k_dir_dm,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean,result_arm
atrialfibrillation,1,success,lraes,resnet1d,wavelet_mba,0.2649572649572649,0.199074074074074,-0.0658831908831908,-24.865582013097544,15,15,0.2222222222222222,0.5555555555555555,0.0,0.0,0.0,0.0,0.5499999999945,1.0983629036533549,0.0,0.0,36,36,10,9,ca_only,db4,2,2,2,0.5,165,165,0.0314130587198832,2,2.0137820097536843e-17,4.474557535705377e-09,0.0,1.0124480022253515e-09,0.0001288387521815,0.0087024869263806,0.0,0.0,0.0,3,0,0.8428505108864219,0.1868005282278993,0.0264665037393569,0.0256579387933015,4.202717781066895,ca_only
atrialfibrillation,2,success,lraes,resnet1d,wavelet_mba,0.1666666666666666,0.2,0.0333333333333333,19.999988000007228,15,13,0.1666666666666666,0.5555555555555555,0.0,0.0,0.0,0.0,0.5499999999945,1.0503525640763844,0.0,0.0,36,36,10,9,ca_only,db4,2,2,2,0.5,165,165,0.0280946657136684,2,1.960516872261189e-17,4.557308940848068e-09,0.0,9.86486838470797e-10,0.0001261468797465,0.0103486014566966,0.0,0.0,0.0,3,0,0.8103695345612673,0.190965986878976,0.0374146811664104,0.0352055951952934,3.95542311668396,ca_only
atrialfibrillation,3,success,lraes,resnet1d,wavelet_mba,0.3356643356643357,0.1403508771929824,-0.1953134584713532,-58.187117168012,15,14,0.2222222222222222,0.5555555555555555,0.0,0.0,0.0,0.0,0.5499999999945,0.8483650835112782,0.0,0.0,36,36,10,9,ca_only,db4,2,2,2,0.5,165,165,0.0258300383947561,2,1.841283573580148e-17,4.249906493691716e-09,0.0,9.646417723381961e-10,0.0001289916374221,0.0098870686014584,0.0,0.0,0.0,3,0,0.8645638826465796,0.1684982727183513,0.0150404423475265,0.0150075554847717,4.693169116973877,ca_only
handwriting,1,success,lraes,resnet1d,wavelet_mba,0.2100155489941941,0.2681257033923865,0.0581101543981924,27.669440194810868,15,15,0.224537037037037,0.2763888888888888,0.0,0.0,0.0,0.0,0.5499999999944999,0.4125538320134863,0.0,0.0,360,360,10,10,ca_only,db4,2,2,2,0.5,43,43,0.3577135894931976,2,1.0310145564637914e-16,2.292579526545762e-08,0.0,5.136738317352802e-09,0.0001567090639618,0.0001127241411902,0.0,0.0,0.0,3,0,0.5864959779273098,0.2450607425725208,0.988388329744339,0.6114942133426666,1.6729905605316162,ca_only
handwriting,2,success,lraes,resnet1d,wavelet_mba,0.2370798959683619,0.2877565634093179,0.0506766674409559,21.375345158905237,15,15,0.2390873015873016,0.308531746031746,0.0,0.0,0.0,0.0,0.5468350744817004,0.4132354381776418,0.0,0.0,360,360,10,10,ca_only,db4,2,2,2,0.5,43,43,0.3664647807411716,2,1.0248106989285571e-16,2.31172787849673e-08,0.0,5.1418961096746984e-09,0.0001565436641011,0.0001102991602821,0.0,0.0,0.0,3,0,0.5658100663684309,0.2378546724413978,1.0325459241867063,0.6210097670555115,1.3385924696922302,ca_only
handwriting,3,success,lraes,resnet1d,wavelet_mba,0.2395469079402597,0.2273723223623622,-0.0121745855778975,-5.082336733228463,15,15,0.1715007215007215,0.2634920634920635,0.0,0.0,0.0,0.0,0.5454052956752847,0.4125106048280573,0.0,0.0,360,360,10,10,ca_only,db4,2,2,2,0.5,43,43,0.3631890897833151,2,1.0249865251361343e-16,2.2553463364995625e-08,0.0,4.6341467583388615e-09,0.0001561369586224,0.0001119936497611,0.0,0.0,0.0,3,0,0.5772382891892145,0.2348571428777839,1.0470306277275083,0.5911592543125153,1.6002488136291504,ca_only
natops,1,success,lraes,resnet1d,wavelet_mba,0.9065101766571804,0.8964788109552798,-0.0100313657019006,-1.1065915037270202,15,14,0.972027972027972,0.9181818181818184,0.0,0.0,0.0,0.0,0.5499999999944999,8.620075367865658,0.0,0.0,432,432,10,10,ca_only,db4,2,2,2,0.5,18,18,0.009025268405234,2,1.3884415902139642e-16,3.381631421281793e-08,0.0,4.772586822475526e-09,0.00044910499604,5.757881448093754,0.0,0.0,0.0,3,0,0.8986968733976634,0.1865063775317574,0.0476883761584758,0.0307949483394622,5.388276100158691,ca_only
natops,2,success,lraes,resnet1d,wavelet_mba,0.908255976179048,0.9133594990757374,0.0051035228966894,0.5619035237462475,15,15,0.972027972027972,1.0,0.0,0.0,0.0,0.0,0.5499999999944999,8.55287210924561,0.0,0.0,432,432,10,10,ca_only,db4,2,2,2,0.5,18,18,0.0090313966531914,2,1.3931388231104186e-16,3.386008983417887e-08,0.0,4.523819050661276e-09,0.0004484688723476,5.753245590094294,0.0,0.0,0.0,3,0,0.8908709147278893,0.1924859072625712,0.0435258708894252,0.036465806265672,5.234081904093425,ca_only
natops,3,success,lraes,resnet1d,wavelet_mba,0.9067602240370476,0.928659932075091,0.0218997080380435,2.4151594922616813,15,15,0.972027972027972,0.972027972027972,0.0,0.0,0.0,0.0,0.5499999999944999,8.523012797986196,0.0,0.0,432,432,10,10,ca_only,db4,2,2,2,0.5,18,18,0.0089654719623918,2,1.386779426459054e-16,3.3897205748049714e-08,0.0,4.759184242050233e-09,0.0004482537889991,5.756556524070662,0.0,0.0,0.0,3,0,0.9018085347300964,0.1855419713945791,0.1939295021196206,0.0369463420162598,5.172300020853679,ca_only
atrialfibrillation,1,success,lraes,resnet1d,wavelet_mba,0.125,0.199074074074074,0.074074074074074,59.25921185188977,15,15,0.2222222222222222,0.5555555555555555,0.0,0.0,0.0,0.0,0.5499999999917501,1.0983629036533549,0.0,0.0,36,36,10,9,dual_a_dm,db4,2,2,2,0.5,165,165,0.0314130587198832,1,2.0137820097536843e-17,4.474557535705377e-09,0.0,1.1996303458922896e-09,0.0001288387521815,0.0087024869263806,0.0001274080635556,0.0790959395482986,0.0438992132373396,3,9,0.8337317951575474,0.1896596603583825,0.0287005994468927,0.0274979341775178,4.2339863777160645,dual_a_dm
