dataset,result_arm,tier_label,tier_ratio,n,safe_radius_ratio_mean,cA_transport_error_logeuc_mean,cA_transport_error_fro_mean,cDm_transport_error_logeuc_mean,cDm_transport_error_fro_mean,dual_transport_error_logeuc_mean
atrialfibrillation,ca_only,edge,0.9,36,0.899999999991,0.009639926140251947,0.00012877381675976388,,,
atrialfibrillation,ca_only,mid,0.5,36,0.49999999999499994,0.009647416936700702,0.00012777865868733335,,,
atrialfibrillation,ca_only,small,0.25,36,0.24999999999749997,0.009650813907582925,0.0001274247939029889,,,
atrialfibrillation,dual_a_dm,edge,0.9,36,0.8999999999865,0.009639926140251947,0.00012877381675976388,0.09695804333039434,0.0001281664267499139,0.05329898473532315
atrialfibrillation,dual_a_dm,mid,0.5,36,0.4999999999925,0.009647416936700702,0.00012777865868733335,0.09699347538327158,0.0001276884290214389,0.053320446159986136
atrialfibrillation,dual_a_dm,small,0.25,36,0.24999999999625,0.009650813907582925,0.0001274247939029889,0.09701242375370774,0.00012745767134266943,0.05333161883064534
handwriting,ca_only,edge,0.9,360,0.8957674746280828,0.00011164028084861435,0.0001570697693384775,,,
handwriting,ca_only,mid,0.5,360,0.4976485970156016,0.00011168203207397419,0.00015630194878664194,,,
handwriting,ca_only,small,0.25,360,0.2488242985078008,0.00011169463831090727,0.0001560179685601811,,,
handwriting,dual_a_dm,edge,0.9,360,0.8978837373050416,0.00011164028084861435,0.0001570697693384775,0.001416146351471072,0.00015627815975304666,0.0007638933161598241
handwriting,dual_a_dm,mid,0.5,360,0.4988242985028008,0.00011168203207397419,0.00015630194878664194,0.0014161408524054307,0.0001560646112970353,0.0007639114422396853
handwriting,dual_a_dm,small,0.25,360,0.2494121492514004,0.00011169463831090727,0.0001560179685601811,0.0014161103172728267,0.0001559625291043089,0.0007639024777918511
natops,ca_only,edge,0.9,432,0.899999999991,5.755966755752403,0.00045769885389314557,,,
natops,ca_only,mid,0.5,432,0.499999999995,5.7558732035825395,0.00044595774803694394,,,
natops,ca_only,small,0.25,432,0.2499999999975,5.755843602923769,0.0004421710554566389,,,
natops,dual_a_dm,edge,0.9,432,0.8999999999865002,5.755966755752403,0.00045769885389314557,5.860578154568179,0.00044120259818268564,5.8082724551602904
natops,dual_a_dm,mid,0.5,432,0.4999999999925,5.7558732035825395,0.00044595774803694394,5.860477371622985,0.0004410099562099421,5.808175287602762
natops,dual_a_dm,small,0.25,432,0.24999999999625,5.755843602923769,0.0004421710554566389,5.8604142521914415,0.00044093971267846225,5.808128927557606
