anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
0,handwriting_train_77,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,8,7.871783090492505e-05,0.00015473817260415842
0,handwriting_train_77,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,8,7.847957008931815e-05,0.00015372740049691218
0,handwriting_train_77,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,8,7.808045994133664e-05,0.00015238634831922938
1,handwriting_train_58,0.25,small,8,1.0,0.1,0.025,0.2499999999975,14,6.541168434893589e-05,0.0001571680572126241
1,handwriting_train_58,0.5,mid,8,1.0,0.1,0.05,0.499999999995,14,6.55701997611273e-05,0.00015858999432215095
1,handwriting_train_58,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,14,6.581076336901144e-05,0.00016115831826166483
2,handwriting_train_87,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,21,8.263604718895255e-05,0.00015429427577332981
2,handwriting_train_87,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,21,8.235585166356754e-05,0.0001528005346374359
2,handwriting_train_87,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,21,8.189323114401106e-05,0.0001506086981815922
3,handwriting_train_42,0.25,small,9,1.0,0.1,0.025,0.2499999999975,14,9.43984987274055e-05,0.0001562020509466473
3,handwriting_train_42,0.5,mid,9,1.0,0.1,0.05,0.499999999995,14,9.454310757718362e-05,0.00015668046891067784
3,handwriting_train_42,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,14,9.475815367452387e-05,0.00015777220964809552
4,handwriting_train_53,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,14,9.187087556811637e-05,0.00015573228355230098
4,handwriting_train_53,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,14,9.161370436531329e-05,0.00015574930275835764
4,handwriting_train_53,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,14,9.119215111055943e-05,0.00015613647814581133
5,handwriting_train_9,0.25,small,2,1.0,0.1,0.025,0.2499999999975,25,0.00010286029063619263,0.00015730927467106587
5,handwriting_train_9,0.5,mid,2,1.0,0.1,0.05,0.499999999995,25,0.00010338857148488851,0.000158881149912794
5,handwriting_train_9,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,25,0.00010420116680941986,0.00016171285049261427
6,handwriting_train_28,0.25,small,0,-1.0,0.1,0.025,0.2499999999975,7,0.00011021708993709052,0.00015391684139566853
6,handwriting_train_28,0.5,mid,0,-1.0,0.1,0.05,0.499999999995,7,0.00011001743829403824,0.00015204283293797702
6,handwriting_train_28,0.9,edge,0,-1.0,0.1,0.09000000000000001,0.899999999991,7,0.00010969185796848746,0.00014923190908352127
7,handwriting_train_18,0.25,small,7,1.0,0.1,0.025,0.2499999999975,15,0.00023950085077554856,0.00015677527071634138
7,handwriting_train_18,0.5,mid,7,1.0,0.1,0.05,0.499999999995,15,0.0002393308962829281,0.00015788940528963107
7,handwriting_train_18,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,15,0.00023901732395923683,0.00016015512972180054
8,handwriting_train_48,0.25,small,8,1.0,0.1,0.025,0.2499999999975,24,0.00018499596220159108,0.0001571682473264689
8,handwriting_train_48,0.5,mid,8,1.0,0.1,0.05,0.499999999995,24,0.00018605345853314823,0.0001585908199973067
8,handwriting_train_48,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,24,0.00018768564348071055,0.00016116120030672604
9,handwriting_train_72,0.25,small,3,1.0,0.1,0.025,0.2499999999975,20,5.6522687121412034e-05,0.00015678508428493705
9,handwriting_train_72,0.5,mid,3,1.0,0.1,0.05,0.499999999995,20,5.6519865084062394e-05,0.0001578245688525687
9,handwriting_train_72,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,20,5.651150138873729e-05,0.00015978517719872316
10,handwriting_train_20,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,0,8.383625210661094e-05,0.00015460332567207612
10,handwriting_train_20,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,0,8.367923524250403e-05,0.00015346188756204694
10,handwriting_train_20,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,0,8.341397687922712e-05,0.0001519162448977439
11,handwriting_train_36,0.25,small,1,1.0,0.1,0.025,0.2499999999975,24,7.441598195202064e-05,0.00015473435476155503
11,handwriting_train_36,0.5,mid,1,1.0,0.1,0.05,0.499999999995,24,7.443502312478324e-05,0.00015372710609619814
11,handwriting_train_36,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,24,7.446207287972562e-05,0.00015239921390654255
12,handwriting_train_73,0.25,small,2,1.0,0.1,0.025,0.2499999999975,0,6.84755058409288e-05,0.0001573085147438146
12,handwriting_train_73,0.5,mid,2,1.0,0.1,0.05,0.499999999995,0,6.869738265931038e-05,0.0001588780649874949
12,handwriting_train_73,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,0,6.903802441103336e-05,0.0001617024196886773
13,handwriting_train_2,0.25,small,7,1.0,0.1,0.025,0.2499999999975,21,0.00011469470287097733,0.0001567636777666327
13,handwriting_train_2,0.5,mid,7,1.0,0.1,0.05,0.499999999995,21,0.00011481896506061933,0.00015784265998461278
13,handwriting_train_2,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,21,0.00011499839983459546,0.0001600012582586979
14,handwriting_train_110,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,22,6.958893565269584e-05,0.00015429429641077589
14,handwriting_train_110,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,22,6.943003204869194e-05,0.00015280067130599376
14,handwriting_train_110,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,22,6.917024483570526e-05,0.0001506093230663718
15,handwriting_train_85,0.25,small,7,1.0,0.1,0.025,0.2499999999975,24,5.11408497600689e-05,0.000156741474322861
15,handwriting_train_85,0.5,mid,7,1.0,0.1,0.05,0.499999999995,24,5.117754406518631e-05,0.00015775206312002523
15,handwriting_train_85,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,24,5.1228936205557005e-05,0.00015969894851416492
16,handwriting_train_50,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,5,8.104315645155927e-05,0.00015718379900877698
16,handwriting_train_50,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,5,8.102072537333603e-05,0.00015863811000400052
16,handwriting_train_50,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,5,8.097795289456024e-05,0.0001613013652080603
