anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
0,natops_train_45,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,5,5.822895409924085,0.00044172397607768036
0,natops_train_45,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,5,5.825126151724518,0.0004442042029183677
0,natops_train_45,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,5,5.829615723203344,0.00045193955159951216
1,natops_train_2,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,2,6.2721606734761375,0.0004420665416681215
1,natops_train_2,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,2,6.273044492388973,0.0004461902053849105
1,natops_train_2,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,2,6.274425936458001,0.00045954660253360414
2,natops_train_70,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,2,6.001948078972571,0.0004419568335296426
2,natops_train_70,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,2,6.000955001140542,0.00044520126753029327
2,natops_train_70,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,2,5.999375797715226,0.00045534206033327306
3,natops_train_48,0.25,small,4,1.0,0.1,0.025,0.2499999999975,0,5.739119109234595,0.00044207073950073184
3,natops_train_48,0.5,mid,4,1.0,0.1,0.05,0.499999999995,0,5.738010602592249,0.0004459769628603091
3,natops_train_48,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,0,5.73702423474492,0.00045825598729794443
4,natops_train_58,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,1,5.846005782723087,0.0004414106084930811
4,natops_train_58,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,1,5.845117283818115,0.0004429612812297034
4,natops_train_58,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,1,5.8434469744379625,0.0004476675866368147
5,natops_train_106,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,1,5.723808410272611,0.00044128401154835967
5,natops_train_106,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,1,5.722774133846227,0.0004428318027341332
5,natops_train_106,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,1,5.721485490035355,0.00044793052581058564
6,natops_train_50,0.25,small,9,1.0,0.1,0.025,0.2499999999975,3,5.556274941115841,0.0004432768853620946
6,natops_train_50,0.5,mid,9,1.0,0.1,0.05,0.499999999995,3,5.556213824099671,0.0004511197171688261
6,natops_train_50,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,3,5.555986870817477,0.00047649507238700325
7,natops_train_73,0.25,small,4,1.0,0.1,0.025,0.2499999999975,2,5.716431347857201,0.0004414203447902932
7,natops_train_73,0.5,mid,4,1.0,0.1,0.05,0.499999999995,2,5.714573363828775,0.00044333062386471263
7,natops_train_73,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,2,5.711113203006197,0.0004493019872901048
8,natops_train_133,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,5,5.878646977727682,0.0004412317081915912
8,natops_train_133,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,5,5.877623315526466,0.0004431600582209107
8,natops_train_133,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,5,5.876711557609586,0.000449796927770482
9,natops_train_145,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,5,5.58998433658702,0.00044219377920354615
9,natops_train_145,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,5,5.590155281757405,0.00044663260542640343
9,natops_train_145,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,5,5.589035994249053,0.000460643283379417
10,natops_train_44,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,0,5.933500902280178,0.00044258067116749624
10,natops_train_44,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,0,5.931094237610609,0.0004483372363359734
10,natops_train_44,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.9264006046230175,0.00046685312463915586
11,natops_train_100,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,5,5.66616397287152,0.0004411379725443072
