anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
0,atrialfibrillation_train_4,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,0.004858286076546252,0.00012628837676094217,0.10694507748102781,0.0001285871589998144,0.05590168177878703
0,atrialfibrillation_train_4,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,0,0.004854595701378671,0.0001255345141310397,0.10717641983099672,0.00012991795653267263,0.056015507766187696
0,atrialfibrillation_train_4,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,0.004847327929733338,0.0001248075766132728,0.10754168446812057,0.00013209562196618135,0.056194506198926956
1,atrialfibrillation_train_2,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,0.0017692404726624236,0.00012752433863831854,0.008166400566543454,0.00012598388742072298,0.004967820519602938
1,atrialfibrillation_train_2,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,0,0.0017666966494652725,0.00012804241964529088,0.008149980903537156,0.00012470661281050247,0.0049583387765012145
1,atrialfibrillation_train_2,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,0.0017621093135241146,0.00012943740011272067,0.008123349411324985,0.00012269986489652762,0.0049427293624245494
2,atrialfibrillation_train_10,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,5,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,0.026912354123630647,0.00012505523721337175,0.38236304719093384,0.00012724328773287803,0.20463770065728223
2,atrialfibrillation_train_10,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,5,-1.0,0.05,0.025,0.49999999999,0.4999999999925,2,0.026885421585624004,0.00012289983170672234,0.38305954852994634,0.0001273092876317654,0.20497248505778518
2,atrialfibrillation_train_10,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,5,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,2,0.026842059528051947,0.00011958911248697221,0.38416097577630093,0.00012762463949603337,0.20550151765217645
3,atrialfibrillation_train_5,0.25,small,4,1.0,0.1,0.025,0.2499999999975,0,1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,0.010906804643515575,0.0001277198832945373,0.06853322923969772,0.00012831893453800778,0.03972001694160665
3,atrialfibrillation_train_5,0.5,mid,4,1.0,0.1,0.05,0.499999999995,0,1.0,0.05,0.025,0.49999999999,0.4999999999925,1,0.010915407031326816,0.00012857442173046726,0.06871966594770915,0.00012937812277370484,0.03981753648951798
