anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
0,handwriting_train_77,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,7,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,8,7.871783090492505e-05,0.00015473817260415842,0.0004323985000974805,0.00015548532554984546,0.00025555816550120277
0,handwriting_train_77,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,7,-1.0,0.05,0.025,0.49999999999,0.4999999999925,8,7.847957008931815e-05,0.00015372740049691218,0.0004324169506280732,0.00015510958494258662,0.0002554482603586957
0,handwriting_train_77,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,7,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,8,7.808045994133664e-05,0.00015238634831922938,0.00043244210365363104,0.00015455705208448025,0.00025526128179748385
1,handwriting_train_58,0.25,small,8,1.0,0.1,0.025,0.2499999999975,9,1.0,0.05,0.0125,0.249999999995,0.24999999999625,14,6.541168434893589e-05,0.0001571680572126241,0.0012210904980968456,0.00015686684830918087,0.0006432510912228907
1,handwriting_train_58,0.5,mid,8,1.0,0.1,0.05,0.499999999995,9,1.0,0.05,0.025,0.49999999999,0.4999999999925,14,6.55701997611273e-05,0.00015858999432215095,0.0012221110747706622,0.00015787392506547615,0.0006438406372658948
1,handwriting_train_58,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,9,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,14,6.581076336901144e-05,0.00016115831826166483,0.0012237098891355114,0.00015953739888919561,0.0006447603262522614
2,handwriting_train_87,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,5,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,21,8.263604718895255e-05,0.00015429427577332981,0.0012312854391143785,0.0001546964952843409,0.0006569607431516655
2,handwriting_train_87,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,5,-1.0,0.05,0.025,0.49999999999,0.4999999999925,21,8.235585166356754e-05,0.0001528005346374359,0.001230367015138692,0.00015352349594215787,0.0006563614334011297
2,handwriting_train_87,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,5,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,21,8.189323114401106e-05,0.0001506086981815922,0.0012288871950995148,0.00015167753195333936,0.0006553902131217629
3,handwriting_train_42,0.25,small,9,1.0,0.1,0.025,0.2499999999975,2,1.0,0.05,0.0125,0.249999999995,0.24999999999625,14,9.43984987274055e-05,0.0001562020509466473,0.0013920469746269311,0.00015660292066740154,0.0007432227366771682
3,handwriting_train_42,0.5,mid,9,1.0,0.1,0.05,0.499999999995,2,1.0,0.05,0.025,0.49999999999,0.4999999999925,14,9.454310757718362e-05,0.00015668046891067784,0.0013913005101317232,0.00015735194047066477,0.0007429218088544534
3,handwriting_train_42,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,2,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,14,9.475815367452387e-05,0.00015777220964809552,0.0013900705693768742,0.00015861501173131272,0.0007424143615256991
4,handwriting_train_53,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,5,1.0,0.05,0.0125,0.249999999995,0.24999999999625,14,9.187087556811637e-05,0.00015573228355230098,0.0009642819880374409,0.00015708765768000324,0.0005280764318027787
4,handwriting_train_53,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,5,1.0,0.05,0.025,0.49999999999,0.4999999999925,14,9.161370436531329e-05,0.00015574930275835764,0.0009659924447902634,0.00015830571537649784,0.0005288030745777883
4,handwriting_train_53,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,5,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,14,9.119215111055943e-05,0.00015613647814581133,0.0009686933971839133,0.0001602862714189412,0.0005299427741472364
