anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
0,natops_train_38,0.25,small,5,1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,5.685660078387796,0.00044111426272992694,5.93362966505571,0.0004408266430798116,5.809644871721753
0,natops_train_38,0.5,mid,5,1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.683101403437365,0.0004420850628463929,5.933240779599765,0.00044079553326196286,5.808171091518565
0,natops_train_38,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.679945996292383,0.0004454029076617969,5.932617991782316,0.0004408508207047343,5.80628199403735
1,natops_train_155,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,5.742742790714482,0.0004417649438210761,6.021706383022708,0.0004410275916613185,5.882224586868595
1,natops_train_155,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,1,5.739713455947207,0.0004439014698538439,6.021559680448945,0.0004411668396544253,5.880636568198076
1,natops_train_155,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,5.734029204769594,0.0004498598815270847,6.021321287665407,0.0004414308657675629,5.877675246217501
2,natops_train_75,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,3,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,5.943735019821716,0.0004424874167815948,6.389043144051061,0.00044066963857242766,6.166389081936389
2,natops_train_75,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,3,-1.0,0.05,0.025,0.49999999999,0.4999999999925,1,5.945137310630896,0.00044650432551324404,6.386954498295239,0.00044045322790763845,6.1660459044630676
2,natops_train_75,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,3,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,5.9473892167368705,0.00045844283283194527,6.383620160315483,0.0004401529099798937,6.165504688526177
3,natops_train_85,0.25,small,1,1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,5.7504091406115165,0.0004433897060361084,6.099880773765684,0.0004408103071326992,5.9251449571886
3,natops_train_85,0.5,mid,1,1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,1,5.750893435315825,0.00045022991696678035,6.099399260138086,0.00044073100618220544,5.9251463477269555
3,natops_train_85,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,5.7519261311772,0.00047200956890959696,6.098632091063777,0.0004406426811353631,5.9252791111204886
4,natops_train_103,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,8,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,5.98827467060742,0.000441949766145885,6.1871317910863635,0.00044086664703953506,6.087703230846891
4,natops_train_103,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,8,-1.0,0.05,0.025,0.49999999999,0.4999999999925,0,5.98818455589122,0.00044550704193868976,6.187623489182823,0.0004408609751104353,6.087904022537021
4,natops_train_103,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,8,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,5.9873690029059645,0.00045662385585113987,6.188415038233523,0.0004409261450522838,6.087892020569743
5,natops_train_72,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,6,1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,5.871293292909907,0.00044149336054275515,5.883206630682656,0.00044095367130910857,5.877249961796281
5,natops_train_72,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,6,1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.869065753446568,0.00044360064820424104,5.884163113841012,0.0004410634215470747,5.87661443364379
5,natops_train_72,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,6,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.866007683895744,0.00045017726750498643,5.8856959190943865,0.00044136956184945915,5.875851801495065
6,natops_train_31,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,7,1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.823148420629496,0.0004415613102224296,5.614166541595493,0.0004408986997754028,5.718657481112494
6,natops_train_31,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,7,1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.818355084993161,0.0004436291169311496,5.614205701924444,0.0004409657683156295,5.716280393458803
6,natops_train_31,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,7,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,4,5.813215057395966,0.00045042353497284487,5.614253232920179,0.0004412308020638954,5.713734145158073
7,natops_train_71,0.25,small,1,1.0,0.1,0.025,0.2499999999975,4,1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,5.500290057333149,0.0004431781381617268,5.410027413077951,0.00044097988051382584,5.45515873520555
7,natops_train_71,0.5,mid,1,1.0,0.1,0.05,0.499999999995,4,1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.498630112394147,0.00044910590982874684,5.410240730745214,0.0004411037598445592,5.454435421569681
7,natops_train_71,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,4,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.49769960148952,0.00046735754092280053,5.4105666935872,0.0004414071229916306,5.454133147538361
8,natops_train_177,0.25,small,8,1.0,0.1,0.025,0.2499999999975,4,1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,6.110175675869975,0.00044223301831647984,6.351898934773446,0.0004409687553553279,6.23103730532171
