anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
0,atrialfibrillation_train_1,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,0,0.011254312874460572,0.0001262766435033968
0,atrialfibrillation_train_1,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,0,0.011214025009284551,0.00012554113987310497
0,atrialfibrillation_train_1,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,0,0.011145579479639086,0.00012490475367900336
1,atrialfibrillation_train_14,0.25,small,8,1.0,0.1,0.025,0.2499999999975,2,0.0369862414519213,0.00012861632162950538
1,atrialfibrillation_train_14,0.5,mid,8,1.0,0.1,0.05,0.499999999995,2,0.037103582845128186,0.00013036171155835635
1,atrialfibrillation_train_14,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,2,0.037280113475276946,0.00013401226075934088
2,atrialfibrillation_train_0,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,0,0.0062839108782479156,0.00012711192770496912
2,atrialfibrillation_train_0,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,0,0.006257984878809889,0.00012707270631674602
2,atrialfibrillation_train_0,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,0,0.006215309944237651,0.0001272745675913969
3,atrialfibrillation_train_2,0.25,small,0,1.0,0.1,0.025,0.2499999999975,0,0.0017809649029675576,0.00012954687156791796
3,atrialfibrillation_train_2,0.5,mid,0,1.0,0.1,0.05,0.499999999995,0,0.0017901648980864831,0.00013188622574650895
3,atrialfibrillation_train_2,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,0,0.0018044219200566275,0.0001357831701196007
4,atrialfibrillation_train_12,0.25,small,7,1.0,0.1,0.025,0.2499999999975,2,0.0006679072085185226,0.00012711768166545826
4,atrialfibrillation_train_12,0.5,mid,7,1.0,0.1,0.05,0.499999999995,2,0.000665370303930623,0.00012714434160593534
4,atrialfibrillation_train_12,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,2,0.0006611350376872462,0.00012757483082000208
5,atrialfibrillation_train_7,0.25,small,2,1.0,0.1,0.025,0.2499999999975,1,0.00972178775969704,0.00012889896049367088
5,atrialfibrillation_train_7,0.5,mid,2,1.0,0.1,0.05,0.499999999995,1,0.009713436253310365,0.00013063032426119153
5,atrialfibrillation_train_7,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,1,0.009699885422882092,0.00013363948454412817
6,atrialfibrillation_train_11,0.25,small,0,-1.0,0.1,0.025,0.2499999999975,2,0.004211649991267558,0.00012508304788786694
6,atrialfibrillation_train_11,0.5,mid,0,-1.0,0.1,0.05,0.499999999995,2,0.004190812123567956,0.00012295718288833534
6,atrialfibrillation_train_11,0.9,edge,0,-1.0,0.1,0.09000000000000001,0.899999999991,2,0.004156407732827082,0.000119697256321741
7,atrialfibrillation_train_5,0.25,small,7,1.0,0.1,0.025,0.2499999999975,1,0.010877703487150274,0.00012719810403265315
7,atrialfibrillation_train_5,0.5,mid,7,1.0,0.1,0.05,0.499999999995,1,0.01085740416966054,0.00012746417699201134
7,atrialfibrillation_train_5,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,1,0.01082182317117867,0.0001286036373373785
8,atrialfibrillation_train_4,0.25,small,8,1.0,0.1,0.025,0.2499999999975,0,0.004870757770347552,0.00012853787020471107
8,atrialfibrillation_train_4,0.5,mid,8,1.0,0.1,0.05,0.499999999995,0,0.004879464589309534,0.00013003863472773754
8,atrialfibrillation_train_4,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,0,0.00489191018134977,0.00013295231620138708
9,atrialfibrillation_train_13,0.25,small,3,1.0,0.1,0.025,0.2499999999975,2,0.005000735130663682,0.00012984223440789562
9,atrialfibrillation_train_13,0.5,mid,3,1.0,0.1,0.05,0.499999999995,2,0.005020065797114744,0.00013255196409639792
9,atrialfibrillation_train_13,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,2,0.005050076052151068,0.0001372048693586825
10,atrialfibrillation_train_9,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,1,0.00824343733228631,0.00012576016693301457
10,atrialfibrillation_train_9,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,1,0.008250975206402188,0.0001243308736582815
10,atrialfibrillation_train_9,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,1,0.008262915278247547,0.00012222517972457962
11,atrialfibrillation_train_8,0.25,small,1,1.0,0.1,0.025,0.2499999999975,1,0.0044642672662342335,0.00013003786222955758
11,atrialfibrillation_train_8,0.5,mid,1,1.0,0.1,0.05,0.499999999995,1,0.00448236923802831,0.00013285042469057183
11,atrialfibrillation_train_8,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,1,0.004510620287773979,0.00013746535340237908
