anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
0,heartbeat_train_60,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,1,9.308238528137464,0.0007019016814421548
0,heartbeat_train_60,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,1,9.301594194570193,0.0007009190310154487
0,heartbeat_train_60,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.290986639403766,0.0006994250896827917
1,heartbeat_train_103,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,1,11.027097369244757,0.0007033243698734994
1,heartbeat_train_103,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,1,11.027880079198441,0.0007037677603390683
1,heartbeat_train_103,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,1,11.029158354264045,0.0007045657488578379
2,heartbeat_train_151,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,1,10.899590705308352,0.0007027873940185083
2,heartbeat_train_151,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,1,10.902166999745642,0.0007026876839267998
2,heartbeat_train_151,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,1,10.906302798397363,0.0007026007755565294
3,heartbeat_train_112,0.25,small,1,1.0,0.1,0.025,0.2499999999975,1,9.77454109141555,0.0007043732639047787
3,heartbeat_train_112,0.5,mid,1,1.0,0.1,0.05,0.499999999995,1,9.774764814735985,0.0007058433918488303
3,heartbeat_train_112,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,1,9.775122361908391,0.0007082362163227992
4,heartbeat_train_130,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,1,9.718738443834011,0.0007015104060943258
4,heartbeat_train_130,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,1,9.716832877438597,0.0007001173803337851
4,heartbeat_train_130,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.713783076818887,0.0006979276258045513
5,heartbeat_train_108,0.25,small,2,1.0,0.1,0.025,0.2499999999975,1,10.869961189456255,0.0007032418531559798
5,heartbeat_train_108,0.5,mid,2,1.0,0.1,0.05,0.499999999995,1,10.871598676449464,0.0007036003053050384
5,heartbeat_train_108,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,1,10.87427051687756,0.0007042570895295382
6,heartbeat_train_19,0.25,small,0,-1.0,0.1,0.025,0.2499999999975,0,9.226262934494052,0.0007018991377194506
6,heartbeat_train_19,0.5,mid,0,-1.0,0.1,0.05,0.499999999995,0,9.228741831735556,0.0007008971884893423
6,heartbeat_train_19,0.9,edge,0,-1.0,0.1,0.09000000000000001,0.899999999991,0,9.232708623757969,0.0006993373577980602
7,heartbeat_train_159,0.25,small,1,1.0,0.1,0.025,0.2499999999975,1,8.826349389211781,0.0007043625327094518
7,heartbeat_train_159,0.5,mid,1,1.0,0.1,0.05,0.499999999995,1,8.827365153317919,0.000705820745389304
7,heartbeat_train_159,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,1,8.828988409110067,0.0007081921295231617
8,heartbeat_train_56,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,0,10.647746025702888,0.0007033260869542853
8,heartbeat_train_56,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,0,10.649003743744334,0.0007037879169091373
8,heartbeat_train_56,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,0,10.651032636948981,0.0007046515874980886
9,heartbeat_train_54,0.25,small,4,1.0,0.1,0.025,0.2499999999975,0,9.625724339906522,0.000703119936391078
9,heartbeat_train_54,0.5,mid,4,1.0,0.1,0.05,0.499999999995,0,9.623277255034939,0.0007033724125139918
9,heartbeat_train_54,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,0,9.619369018126426,0.0007038919656164924
10,heartbeat_train_111,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,1,9.453262534504992,0.0007026392139313894
