anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
0,natops_train_38,0.25,small,5,1.0,0.1,0.025,0.2499999999975,3,5.685660078387796,0.00044111426272992694
0,natops_train_38,0.5,mid,5,1.0,0.1,0.05,0.499999999995,3,5.683101403437365,0.0004420850628463929
0,natops_train_38,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,3,5.679945996292383,0.0004454029076617969
1,natops_train_155,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,5.742742790714482,0.0004417649438210761
1,natops_train_155,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,5.739713455947207,0.0004439014698538439
1,natops_train_155,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,5.734029204769594,0.0004498598815270847
2,natops_train_75,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,1,5.943735019821716,0.0004424874167815948
2,natops_train_75,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,1,5.945137310630896,0.00044650432551324404
2,natops_train_75,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,1,5.9473892167368705,0.00045844283283194527
3,natops_train_85,0.25,small,1,1.0,0.1,0.025,0.2499999999975,1,5.7504091406115165,0.0004433897060361084
3,natops_train_85,0.5,mid,1,1.0,0.1,0.05,0.499999999995,1,5.750893435315825,0.00045022991696678035
3,natops_train_85,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,1,5.7519261311772,0.00047200956890959696
4,natops_train_103,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,0,5.98827467060742,0.000441949766145885
4,natops_train_103,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,0,5.98818455589122,0.00044550704193868976
4,natops_train_103,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.9873690029059645,0.00045662385585113987
5,natops_train_72,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,3,5.871293292909907,0.00044149336054275515
5,natops_train_72,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,3,5.869065753446568,0.00044360064820424104
5,natops_train_72,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.866007683895744,0.00045017726750498643
6,natops_train_31,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,4,5.823148420629496,0.0004415613102224296
6,natops_train_31,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,4,5.818355084993161,0.0004436291169311496
6,natops_train_31,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.813215057395966,0.00045042353497284487
7,natops_train_71,0.25,small,1,1.0,0.1,0.025,0.2499999999975,3,5.500290057333149,0.0004431781381617268
7,natops_train_71,0.5,mid,1,1.0,0.1,0.05,0.499999999995,3,5.498630112394147,0.00044910590982874684
7,natops_train_71,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,3,5.49769960148952,0.00046735754092280053
8,natops_train_177,0.25,small,8,1.0,0.1,0.025,0.2499999999975,0,6.110175675869975,0.00044223301831647984
8,natops_train_177,0.5,mid,8,1.0,0.1,0.05,0.499999999995,0,6.1108881533400465,0.0004459551605463786
8,natops_train_177,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,0,6.112554179824285,0.000457359526457207
9,natops_train_53,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,2,5.910784750888362,0.0004417857475393269
9,natops_train_53,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,2,5.910239418835003,0.00044481509686231997
9,natops_train_53,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,2,5.909279944836389,0.0004543207324878105
10,natops_train_157,0.25,small,4,1.0,0.1,0.025,0.2499999999975,4,5.575499699195908,0.000442607918454311
10,natops_train_157,0.5,mid,4,1.0,0.1,0.05,0.499999999995,4,5.576025177783681,0.00044719284408744107
10,natops_train_157,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,4,5.5786121035333185,0.00046102811429784565
11,natops_train_7,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,5,5.829986146221469,0.00044148764279454167
11,natops_train_7,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,5,5.82955701836126,0.00044404792729763374
11,natops_train_7,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,5,5.825993826501624,0.0004517582773211891
12,natops_train_84,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,1,6.097862349363772,0.00044271025159020865
12,natops_train_84,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,1,6.099799581291414,0.0004478300309809143
12,natops_train_84,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,1,6.102921382786515,0.0004638597825213679
13,natops_train_48,0.25,small,2,1.0,0.1,0.025,0.2499999999975,0,5.739346404722027,0.00044209283698209696
13,natops_train_48,0.5,mid,2,1.0,0.1,0.05,0.499999999995,0,5.738601291386189,0.00044591008695100514
13,natops_train_48,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,0,5.737302323094371,0.000457870873025807
14,natops_train_175,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,3,5.713685176883109,0.00044152522131784845
14,natops_train_175,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,3,5.711444707283339,0.00044379980114913156
14,natops_train_175,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.706657887018695,0.00045066770921370125
15,natops_train_77,0.25,small,6,1.0,0.1,0.025,0.2499999999975,2,5.613101805940663,0.00044204435803343726
15,natops_train_77,0.5,mid,6,1.0,0.1,0.05,0.499999999995,2,5.6117340052127975,0.0004451266747194164
15,natops_train_77,0.9,edge,6,1.0,0.1,0.09000000000000001,0.899999999991,2,5.60931047304047,0.00045437358202725993
16,natops_train_13,0.25,small,7,1.0,0.1,0.025,0.2499999999975,5,5.583211988379252,0.00044132809729638015
16,natops_train_13,0.5,mid,7,1.0,0.1,0.05,0.499999999995,5,5.580863591391221,0.00044354713202186005
16,natops_train_13,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,5,5.576735601046898,0.0004506651852568376
17,natops_train_47,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,0,5.755630209663139,0.0004427611811058276
17,natops_train_47,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,0,5.756128194673932,0.00044762362444541694
17,natops_train_47,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.756791150185585,0.00046233512891031436
18,natops_train_162,0.25,small,7,1.0,0.1,0.025,0.2499999999975,1,6.173538218376444,0.000442238411920789
18,natops_train_162,0.5,mid,7,1.0,0.1,0.05,0.499999999995,1,6.1733870123477494,0.00044721756343518764
18,natops_train_162,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,1,6.172628742016273,0.00046388700906907976
19,natops_train_117,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,3,5.428176307076048,0.0004428335910920644
19,natops_train_117,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,3,5.4233633396445935,0.00044875587809566146
19,natops_train_117,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.418844696383235,0.0004676005717376443
20,natops_train_95,0.25,small,0,-1.0,0.1,0.025,0.2499999999975,4,5.674474244212131,0.00044143010558332207
20,natops_train_95,0.5,mid,0,-1.0,0.1,0.05,0.499999999995,4,5.673722663221928,0.00044382684934765853
20,natops_train_95,0.9,edge,0,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.671526671728574,0.0004513872406381523
