dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,wdba_k_mean,wdba_k_std,wdba_max_iter_mean,wdba_max_iter_std,wdba_tau_mean,wdba_tau_std
articularywordrecognition,wdba_sameclass,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.9708562304040566,0.008451703828247387,0.0077492916101612,0.01846743125077242,2200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9816507936507937,0.03178175767539081,21.333333333333332,8.082903768654761,0.0,0.0,0.0,0.0,32.31808580432941,2.473662100018898,5.0,0.0,5.0,0.0,24.735612987783526,0.21830262216689714
atrialfibrillation,wdba_sameclass,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.3112763779430446,0.023089811971497995,0.07673314339981006,0.09571789014126696,120.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8518518518518517,0.25660011963983376,24.666666666666668,9.237604307034013,120.0,0.0,120.0,0.0,24.02953548298683,5.677081428575384,5.0,0.0,5.0,0.0,6.304379858249827,0.7392328704451775
basicmotions,wdba_sameclass,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,9.84165733330883,2.944902384348343,5.0,0.0,5.0,0.0,69.2880315202708,1.8447013287654686
cricket,wdba_sameclass,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.9860139860139862,0.0,-0.004662004662004526,0.008074828939715003,860.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,676.5565892926921,37.09650355054686,5.0,0.0,5.0,0.0,46.830215669660824,0.3158538148819045
epilepsy,wdba_sameclass,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9586103624081828,0.011981237159341407,0.0001641236630130991,0.015678223512366272,1090.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,32.58199057935659,2.7037980660202794,5.0,0.0,5.0,0.0,22.228941971998342,0.20032685262120314
ering,wdba_sameclass,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.7726425828702798,0.08585020861739956,0.025721175025683263,0.10485195993912998,240.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9259259259259259,0.12830005981991688,24.666666666666668,8.386497083606082,240.0,0.0,240.0,0.0,3.0344063933589496,0.27150588292580585,5.0,0.0,5.0,0.0,11.121779263603793,0.17868512839115047
ethanolconcentration,wdba_sameclass,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.2838204901117192,0.01598505424404605,0.004666795006291201,0.011594290993198083,2080.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3687234900644804,0.037316981953617524,22.0,5.196152422706632,0.0,0.0,0.0,0.0,2612.9349115136624,47.89300026187994,5.0,0.0,5.0,0.0,411560.858957154,6601.596353926445
fingermovements,wdba_sameclass,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.5697561712437285,0.01000477368498311,0.08913583705010537,0.04177997929444917,2520.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6812394872461613,0.008271650156936117,20.666666666666668,2.5166114784235836,0.0,0.0,0.0,0.0,13.773148727331622,1.280447081459191,5.0,0.0,5.0,0.0,1344.7596516771507,24.277994098658105
handmovementdirection,wdba_sameclass,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.36940528831465413,0.014446574582233166,0.1597140137466374,0.04044795811811661,1280.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.49202153148231575,0.039902393369100425,24.666666666666668,4.509249752822894,0.0,0.0,0.0,0.0,83.64515554367487,0.8982813473385541,5.0,0.0,5.0,0.0,10037.844162718155,34.381584381125855
handwriting,wdba_sameclass,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.40327345356016026,0.04011341520294545,0.0031734358723839655,0.055865660387028324,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3726851851851851,0.07352370771872035,23.333333333333332,6.110100926607787,400.0,0.0,400.0,0.0,27.06854114299252,0.9016839986818074,5.0,0.0,5.0,0.0,18.87836408630926,0.33276499086641537
har,wdba_sameclass,2.0,1.0,,,0.9348949434714856,0.0006228747812612752,0.9516529298591497,0.007977414078170942,0.016757986387664067,0.008032609537617136,58810.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9928819324688699,0.003235968571107903,30.0,0.0,0.0,0.0,0.0,0.0,502.4572401106707,1.4014828747441503,5.0,0.0,5.0,0.0,8.466929598901892,0.028662316640069428
heartbeat,wdba_sameclass,2.0,1.0,,,0.6530270182885037,0.01673649152957013,0.6762975616035242,0.006728074971639893,0.02327054331502053,0.016844881407523146,1630.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7226950487493936,0.07304792042435747,21.666666666666668,7.234178138070234,0.0,0.0,0.0,0.0,344.01184517133515,1.6467952649945066,5.0,0.0,5.0,0.0,42.948705265785996,2.0025331531176715
japanesevowels,wdba_sameclass,2.0,1.0,,,0.9661509590323788,0.009167563041868563,0.9748549646117772,0.007682807272662324,0.008704005579398233,0.0043356966190912765,2160.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9875679875679876,0.021532877172573465,23.666666666666668,7.767453465154029,0.0,0.0,0.0,0.0,20.009882423017796,3.487885925616921,5.0,0.0,5.0,0.0,2.5441708683478206,0.025510667023259305
libras,wdba_sameclass,2.0,1.0,,,0.5604970086490186,0.47026135162447846,0.8878378194299182,0.03301640385003017,0.3273408107808996,0.4538856357783425,1440.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8834920634920636,0.04504917388280605,25.0,6.928203230275509,0.0,0.0,0.0,0.0,9.71639406766432,0.8969571645463283,5.0,0.0,5.0,0.0,1.4538497455797914,0.023626348931855192
motorimagery,wdba_sameclass,2.0,1.0,,,0.436153208624094,0.05260533084918073,0.408425344758768,0.03487376145800228,-0.027727863865325997,0.03890435750510162,2220.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.576328975908256,0.04219123621630871,16.333333333333332,3.055050463303893,0.0,0.0,0.0,0.0,23318.423478084693,87.44436412455553,5.0,0.0,5.0,0.0,4283.406027453285,47.0726427177359
