dataset,seed,algo,model,base_f1,mba_f1,gain
natops,1,lraes,resnet1d,0.9113937941789533,0.9373000436629222,0.025906249483968913
natops,2,lraes,resnet1d,0.9549397172347991,0.7844279258752943,-0.17051179135950478
natops,3,lraes,resnet1d,0.9662711654925226,0.8810018067889133,-0.0852693587036093
natops,1,lraes,resnet1d,0.9603716290295896,0.9350406829398427,-0.025330946089746953
natops,2,lraes,resnet1d,0.9020578472295862,0.925639967246671,0.023582120017084818
natops,3,lraes,resnet1d,0.8931373928964979,0.9093877350616193,0.016250342165121445
basicmotions,1,lraes,resnet1d,1.0,0.9494949494949495,-0.0505050505050505
basicmotions,2,lraes,resnet1d,1.0,1.0,0.0
basicmotions,3,lraes,resnet1d,1.0,1.0,0.0
handmovementdirection,1,lraes,resnet1d,0.33528473555253835,0.2873394458760312,-0.04794528967650713
handmovementdirection,2,lraes,resnet1d,0.24614878209348257,0.34762911507097555,0.10148033297749298
handmovementdirection,3,lraes,resnet1d,0.3052644566421108,0.3481600517975623,0.042895595155451494
uwavegesturelibrary,1,lraes,resnet1d,0.7969387077843137,0.8364608692064055,0.03952216142209175
uwavegesturelibrary,2,lraes,resnet1d,0.7901427350891728,0.8055736118370472,0.015430876747874467
uwavegesturelibrary,3,lraes,resnet1d,0.8360289129341797,0.8173839438663096,-0.018644969067870054
epilepsy,1,lraes,resnet1d,0.9432822992210583,0.8608418162987377,-0.08244048292232065
epilepsy,2,lraes,resnet1d,0.9637314094128384,0.9717806041335453,0.008049194720706865
epilepsy,3,lraes,resnet1d,0.9289862098685628,0.9647607702997816,0.03577456043121874
pendigits,1,lraes,resnet1d,0.9877398764652743,0.9736958108663127,-0.014044065598961541
pendigits,2,lraes,resnet1d,0.9820230268986008,0.9879973420225461,0.005974315123945306
pendigits,3,lraes,resnet1d,0.9882215031942432,0.987126855931065,-0.0010946472631782056
racketsports,1,lraes,resnet1d,0.9144935791217895,0.895829522590086,-0.018664056531703554
racketsports,2,lraes,resnet1d,0.8630296963630297,0.9144935791217895,0.051463882758759794
racketsports,3,lraes,resnet1d,0.9017124628313941,0.8782127560772347,-0.023499706754159355
articularywordrecognition,1,lraes,resnet1d,0.9866084524171481,0.9732847481021394,-0.013323704315008733
articularywordrecognition,2,lraes,resnet1d,0.9836599033816426,0.9763753463927377,-0.0072845569889048445
articularywordrecognition,3,lraes,resnet1d,0.9799359886490321,0.9834274247491638,0.003491436100131695
libras,1,lraes,resnet1d,0.909101114666332,0.9172510162944946,0.008149901628162537
libras,2,lraes,resnet1d,0.9321885352257009,0.883392259026442,-0.04879627619925886
libras,3,lraes,resnet1d,0.8383497735052463,0.9176638401855793,0.07931406668033303
japanesevowels,1,lraes,resnet1d,0.9238742997304333,0.9834604724101587,0.059586172679725324
japanesevowels,2,lraes,resnet1d,0.9406551271406897,0.9734844696166418,0.03282934247595215
japanesevowels,3,lraes,resnet1d,0.9200352707089672,0.9870319170923503,0.0669966463833831
cricket,1,lraes,resnet1d,0.9720279720279721,0.9860139860139862,0.013986013986014068
cricket,2,lraes,resnet1d,0.9721250971250971,1.0,0.027874902874902907
cricket,3,lraes,resnet1d,0.9860139860139862,0.9860139860139862,0.0
handwriting,1,lraes,resnet1d,0.48660255075724357,0.5284651904077827,0.04186263965053916
handwriting,2,lraes,resnet1d,0.48755867752713183,0.5309330116326344,0.043374334105502566
handwriting,3,lraes,resnet1d,0.46386491690880305,0.564549851304281,0.10068493439547799
ering,1,lraes,resnet1d,0.8213044155202108,0.8357915533367448,0.01448713781653399
ering,2,lraes,resnet1d,0.8199382641459506,0.830217175477786,0.010278911331835339
ering,3,lraes,resnet1d,0.8547815955093295,0.8842333675642454,0.029451772054915892
ethanolconcentration,1,lraes,resnet1d,0.2238642689371716,0.3030219939976643,0.07915772506049268
ethanolconcentration,2,lraes,resnet1d,0.29246961991902887,0.27727148330596607,-0.015198136613062796
ethanolconcentration,3,lraes,resnet1d,0.283898204506318,0.2958147334432931,0.011916528936975146
