dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,mba_f1,gain,f1_gain_pct,base_stop_epoch,mba_stop_epoch,base_best_val_f1,mba_best_val_f1
articularywordrecognition,1,success,,10,10,25.0,45.0,220.0,220.0,lraes,resnet1d,0.9768293368467282,0.98032077294686,0.0034914361001316,0.3574253568158519,30.0,23.0,0.9786666666666668,1.0
articularywordrecognition,2,success,,10,10,25.0,45.0,220.0,220.0,lraes,resnet1d,0.9665312658356138,0.9759381642512076,0.0094068984155938,0.973263646489228,25.0,25.0,1.0,0.9626666666666668
articularywordrecognition,3,success,,10,10,25.0,45.0,220.0,220.0,lraes,resnet1d,0.9662384668471624,0.972751839464883,0.0065133726177204,0.6740956986403047,25.0,30.0,0.9786666666666668,1.0
atrialfibrillation,1,success,,10,9,3.0,3.0,12.0,12.0,lraes,resnet1d,0.2407407407407407,0.2666666666666666,0.0259259259259259,10.76922629585985,30.0,30.0,0.5555555555555555,0.5555555555555555
atrialfibrillation,2,success,,10,9,3.0,3.0,12.0,12.0,lraes,resnet1d,0.3205128205128205,0.3205128205128205,0.0,0.0,16.0,26.0,0.5555555555555555,0.5555555555555555
atrialfibrillation,3,success,,10,9,3.0,3.0,12.0,12.0,lraes,resnet1d,0.199074074074074,0.264069264069264,0.06499518999519,32.64873020194259,17.0,16.0,0.5555555555555555,0.5555555555555555
basicmotions,1,success,,10,10,4.0,21.0,32.0,32.0,lraes,resnet1d,1.0,1.0,0.0,0.0,30.0,30.0,1.0,1.0
basicmotions,2,success,,10,10,4.0,21.0,32.0,32.0,lraes,resnet1d,1.0,1.0,0.0,0.0,30.0,30.0,1.0,1.0
basicmotions,3,success,,10,10,4.0,21.0,32.0,32.0,lraes,resnet1d,1.0,1.0,0.0,0.0,30.0,30.0,1.0,1.0
cricket,1,success,,10,10,12.0,21.0,86.0,86.0,lraes,resnet1d,0.986013986013986,0.9581390831390832,-0.0278749028749027,-2.8270288701035264,30.0,30.0,1.0,1.0
cricket,2,success,,10,10,12.0,21.0,86.0,86.0,lraes,resnet1d,0.972027972027972,0.986013986013986,0.0139860139860139,1.4388487728378572,30.0,30.0,1.0,1.0
cricket,3,success,,10,10,12.0,21.0,86.0,86.0,lraes,resnet1d,0.972027972027972,0.972027972027972,0.0,0.0,30.0,30.0,1.0,1.0
epilepsy,1,success,,10,10,4.0,6.0,109.0,109.0,lraes,resnet1d,0.963896808426388,0.9220892818516117,-0.0418075265747763,-4.337344192028725,30.0,30.0,1.0,1.0
epilepsy,2,success,,10,10,4.0,6.0,109.0,109.0,lraes,resnet1d,0.957535885167464,0.8849113124067196,-0.0726245727607445,-7.584526731707442,30.0,30.0,1.0,1.0
