dataset,model,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean
articularywordrecognition,patchtst,0.00027190774203,0.02640157442473993,1.1309715455776688,0.21310525546684125
articularywordrecognition,resnet1d,0.00027187467431336667,0.0263916952566583,1.130063859248892,0.21136448504525288
articularywordrecognition,timesnet,0.00027176661528113333,0.02639488976848243,1.1293671757660402,0.21107167394651616
basicmotions,patchtst,0.00022239998661456668,0.008238520057070134,1.0897804446598838,0.15360054071014184
basicmotions,resnet1d,0.00022149707756316666,0.0082265833315925,1.0900254532944957,0.15285649295740156
basicmotions,timesnet,0.00022146599527673332,0.008214371293596768,1.0883614402377335,0.14858316657712764
cricket,patchtst,0.00022185126112126666,0.012949644189582101,1.112439265215201,0.16976875120386392
cricket,resnet1d,0.00022161015665263334,0.0129351310836184,1.112404403883189,0.1697507704434562
cricket,timesnet,0.00022178552490526666,0.0129475847267642,1.112320258188496,0.17003971570764861
epilepsy,patchtst,0.0001571358709674,0.0038986202497268995,1.0765019104419358,0.12552151218311916
epilepsy,resnet1d,0.00015709790641336668,0.0038968394825948335,1.0774531307828026,0.12421382172215238
epilepsy,timesnet,0.00015723747686683333,0.0038884559242782332,1.0783116566555853,0.12571844926328837
ethanolconcentration,patchtst,0.00016410763170053336,5.616358749335384e-09,1.2215802842484225,0.2939540362666081
ethanolconcentration,resnet1d,0.0001628765266685333,5.599709129607247e-09,1.2102676513859865,0.2818865470540992
ethanolconcentration,timesnet,0.00016363825841613335,5.6111413435286056e-09,1.2120171026998114,0.2838398843382533
handmovementdirection,patchtst,0.00028513731790276664,1.1129310571262792e-07,1.0800575910137151,0.14195463940191108
handmovementdirection,resnet1d,0.00028531557039223335,1.1130466291418203e-07,1.0800900819971249,0.14255664754650188
handmovementdirection,timesnet,0.00028530924467546666,1.1130495529109862e-07,1.0796233480920019,0.14204698699432408
har,resnet1d,0.0002704000239809,2.952976391691623,1.0507519863834036,0.1077114641930114
racketsports,patchtst,0.00022178285751393333,0.00012604433860813333,1.0958305945539004,0.15407655088767894
racketsports,resnet1d,0.00022176395128616666,0.0001260171526061,1.0952815434972243,0.15294953343447104
racketsports,timesnet,0.00022168574606526667,0.00012597483447276668,1.0951589446190337,0.15299765256410255
selfregulationscp2,patchtst,0.00023906541855746666,1.1508975059410308e-05,1.0696483014964528,0.12924154546044322
selfregulationscp2,resnet1d,0.00023877558617516666,1.1503661294196804e-05,1.0697290818744376,0.12927623336687877
selfregulationscp2,timesnet,0.00023885694468719999,1.1504191516255571e-05,1.0710110457982176,0.12954381255736983
uwavegesturelibrary,patchtst,0.00015762865197103333,0.001738132335435,1.09172504617017,0.13474353051184385
uwavegesturelibrary,resnet1d,0.00015699012994153334,0.0017329601544474,1.0890066893835295,0.1313553306775153
uwavegesturelibrary,timesnet,0.0001572544666832,0.0016740975214217,1.0888741427339144,0.1313132798412497
