dataset,seed,status,algo,model,base_f1,mba_f1,gain,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,mba_stop_epoch,f1_gain_pct,base_best_val_f1,mba_best_val_f1,fail_reason,requested_k_dir,effective_k_dir
articularywordrecognition,1,success,lraes,resnet1d,0.9630660720921592,0.983501800614844,0.0204357285226849,0.0002720074977236,0.0271035180870831,1.135094080804437,0.2182879793600211,0.9999999999899996,3.913112969615949,0.0089126698672771,0.45,17.0,15.0,2.121944380861233,0.984,1.0,,,
atrialfibrillation,1,success,lraes,resnet1d,0.2649572649572649,0.3333333333333333,0.0683760683760683,0.0001310845231437,0.0271741156412573,1.0751175048441048,0.1277519064917879,0.9999999999899996,1.0436398834191232,0.0240272655307004,0.3333333333333333,30.0,29.0,25.806441873052577,0.5555555555555555,0.5555555555555555,,,
basicmotions,1,success,lraes,resnet1d,1.0,1.0,0.0,0.0002238812104032,0.0074855711756476,1.0895584095441908,0.1594219551796566,0.99999999999,4.414288785911918,0.0032187955919653,0.45,30.0,30.0,0.0,1.0,1.0,,,
cricket,1,success,lraes,resnet1d,0.9434565434565436,1.0,0.0565434565434564,0.0002220657713115,0.0130763675353726,1.113242589994679,0.1687068037462679,0.9999999999899996,2.0181944375652288,0.0220958014950156,0.5,19.0,30.0,5.99322257526304,1.0,1.0,,,
epilepsy,1,success,lraes,resnet1d,0.9718253968253968,0.9716905901116428,-0.000134806713754,0.0001566787293401,0.0041046208878806,1.0743228153216782,0.1230235486376949,0.9999999999899994,1.4579571049529363,0.0012569557875394,0.55,30.0,30.0,-0.0138714938221381,1.0,1.0,,,
ering,1,success,lraes,resnet1d,0.4227298551732708,0.350320188003379,-0.0724096671698917,0.0001813482547083,0.001321693154567,1.0964266514492802,0.1445322183762598,0.99999999999,1.0850636770009447,-0.0698712598532438,0.65,18.0,13.0,-17.129059884155147,0.4444444444444444,0.5555555555555555,,,
ethanolconcentration,1,success,lraes,resnet1d,0.2106028071385942,0.2573253566477644,0.0467225495091701,0.0001622104341807,5.423812934371495e-09,1.1945007953158602,0.2662786905561684,0.9999999999899996,1.165743966528321,-0.0379185250494629,0.6,11.0,30.0,22.185139865340435,0.2713933691756272,0.4644466073414905,,,
fingermovements,1,success,lraes,resnet1d,0.5192307692307692,0.4294013901857039,-0.0898293790450652,0.0004772180504833,6.7118971242055e-05,1.1104937680792712,0.2164913137929936,0.9999999999899998,6.124161271064866,-0.0037373197497799,0.45,23.0,12.0,-17.300469669329527,0.6405372405372405,0.6437246963562753,,,
handmovementdirection,1,success,lraes,resnet1d,0.2973381730187537,0.3289203463622068,0.031582173343453,0.0002853801355629,1.1124753883892626e-07,1.076774425211774,0.1388672687772156,0.9999999999899996,0.9899009169526742,0.0075783438747748,0.45,27.0,28.0,10.62163071804116,0.4330128205128205,0.3746965452847806,,,
handwriting,1,success,lraes,resnet1d,0.468329084391123,0.4523529866406175,-0.0159760977505054,0.0001570212004303,0.00032421424993,1.0770949538252712,0.1142652072789611,0.851065283842587,0.2429830989535751,0.0112371518276631,0.4,30.0,27.0,-3.411296644106432,0.3708333333333333,0.4458333333333333,,,
har,1,success,lraes,resnet1d,0.9360152783451092,0.945049939530014,0.009034661184905,0.000270563978438,2.9534219295751805,1.0510785325932892,0.1081342833307787,0.9896848140505228,1.2218957990441432,-0.0047496457351371,0.65,30.0,30.0,0.9652257210643768,0.9702782344291778,0.9755008058945428,,,
heartbeat,1,success,lraes,resnet1d,0.6564672293942403,0.6177003410059676,-0.0387668883882726,0.0007037708009461,9.579952429481114,1.0467392784368013,0.1217899293809217,0.9999999999899998,4.120208436999549,-0.0065894130035303,0.65,24.0,17.0,-5.905379697119901,0.7602339181286549,0.646551724137931,,,
japanesevowels,1,success,lraes,resnet1d,0.974135040281902,0.9559558688027672,-0.0181791714791348,0.0003153909203578,2.4620015940183637,1.201151802714456,0.3165900061819985,0.9999999999899996,5.394679412581859,0.0412017130292952,0.35,25.0,30.0,-1.8661857813561704,0.9627039627039626,1.0,,,
